"Page not found.","Сторінка не знайдена."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Дякуємо Вам за те, що поділились з нами Вашою думкою чи задали додаткове Запитання. Ми спробуємо відповісти Вам якомога швидше."
"An error occurred while processing your form. Please try again later.","Сталася помилка під час обробки вашої форми. Будь ласка, спробуйте ще раз пізніше."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Обов'язкові поля"
"Write Us","Напишіть нам"
"Jot us a note and we’ll get back to you as quickly as possible.","Напишіть нам коротку нотатку, і ми зв'яжемося з Вами якнайшвидше."
"Name","Назва"
"Email","Електронна пошта"
"Phone Number","Номер телефону"
"What’s on your mind?","Що у Вас на думці?"
"Submit","Підтвердити"
"Contact Form","Контактна форма"
"Phone","Phone"
"Message","Message"
"Contacts Section","Cекція контактів"
"Contacts","Контакти"
"Contact Us","Зв'яжіться з нами"
"Enable Contact Us","Увімкнути Зв'яжіться з нами"
"Email Options","Опції електронної пошти"
"Send Emails To","Надсилати електронні листи на"
"Email Sender","Відправник електронного листа"
"Email Template","Шаблон електронного листа"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон електронного листа обрано на основі теми відступання, коли опція ""За замовчуванням"" обрана."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
