"Page not found.","Страница не найдена."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Спасибо за обращение к нам с вашими комментариями и вопросами. Мы ответим вам очень скоро."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
"* Required Fields","* Обязательные поля"
"Write Us","Напишите нам"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible."
"Name","Название"
"Email","Электронная почта"
"Phone Number","Номер телефона"
"What’s on your mind?","What’s on your mind?"
"Submit","Отправить"
"Contact Form","Контактная форма"
"Phone","Phone"
"Message","Message"
"Contacts Section","Раздел контактов"
"Contacts","Контакты"
"Contact Us","Обратная связь"
"Enable Contact Us","Enable Contact Us"
"Email Options","Параметры E-mail"
"Send Emails To","Отправить Email"
"Email Sender","Отправитель электронной почты"
"Email Template","Шаблон Письма"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон E-mail выбран на основе темы резервного варианта при выборе параметра «По умолчанию»."
