"Page not found.","Página no encontrada."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Gracias por contactarnos con sus comentarios y preguntas. Pronto le responderemos."
"An error occurred while processing your form. Please try again later.","Se produjo un error al procesar su formulario. Por favor, inténtelo de nuevo más tarde."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Campos obligatorios"
"Write Us","Escríbenos"
"Jot us a note and we’ll get back to you as quickly as possible.","Tomamos nota y te responderemos lo antes posible."
"Name","Nombre"
"Email","Correo electrónico"
"Phone Number","Número de teléfono"
"What’s on your mind?","¿Qué está en su mente?"
"Submit","Enviar"
"Contact Form","Formulario de contacto"
"Phone","Phone"
"Message","Mensaje"
"Contacts Section","Sección de contacto"
"Contacts","Contactos"
"Contact Us","Contáctenos"
"Enable Contact Us","Habilitar contacte con nosotros"
"Email Options","Opciones de correo electrónico"
"Send Emails To","Enviar correos electrónicos a"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
