"Page not found.","Pagina non trovata."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Grazie per averci contattato con i vostri commenti e domande. Vi risponderemo al più presto."
"An error occurred while processing your form. Please try again later.","Si è verificato un errore durante l'invio dei dati. Per favore riprova più tardi."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Campi obbligatori"
"Write Us","Scrivici"
"Jot us a note and we’ll get back to you as quickly as possible.","Lasciaci una nota e ti risponderemo il più presto possibile."
"Name","Nome"
"Email","Email"
"Phone Number","Numero di telefono"
"What’s on your mind?","A che cosa stai pensando?"
"Submit","Invia"
"Contact Form","Modulo di Contatto"
"Phone","Phone"
"Message","Message"
"Contacts Section","Sezione contatti"
"Contacts","Contatti"
"Contact Us","Contattaci"
"Enable Contact Us","Abilita contattaci"
"Email Options","Opzioni email"
"Send Emails To","Invia email a"
"Email Sender","Mittente email"
"Email Template","Template email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Il template email scelto basato su fallback del tema quando è selezionata l'opzione ""Predefinito""."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
