"Page not found.","Pagina niet gevonden."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Bedankt dat je contact met ons opnam. Je kan spoedig op ons antwoord rekenen."
"An error occurred while processing your form. Please try again later.","Er ging iets mis tijdens het verwerken van je formulier. Probeer het later nog eens."
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
"* Required Fields","* Verplichte velden"
"Write Us","Neem contact met ons op"
"Jot us a note and we’ll get back to you as quickly as possible.","Laat een vraag of opmerking achter en wij zullen hier zo spoedig mogelijk op terugkomen."
"Name","Naam"
"Email","E-mail"
"Phone Number","Telefoonnummer"
"What’s on your mind?","Wat is je vraag?"
"Submit","Bevestig"
"Contact Form","Contactformulier"
"Phone","Phone"
"Message","Message"
"Contacts Section","Contact sectie"
"Contacts","Contacten"
"Contact Us","Neem contact met ons op"
"Enable Contact Us","‘Mail ons’ inschakelen"
"Email Options","E-mail opties"
"Send Emails To","E-mails versturen aan"
"Email Sender","Afzender E-mail"
"Email Template","E-mail template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
