"Page not found.","പേജ് കണ്ടെത്തിയില്ല."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","നിങ്ങളുടെ അഭിപ്രായങ്ങളും ചോദ്യങ്ങളും ഞങ്ങളെ ബന്ധപ്പെടുത്തിയതിന് നന്ദി. ഞങ്ങൾ നിങ്ങളോട് ഉടൻ പ്രതികരിക്കും."
"An error occurred while processing your form. Please try again later.","നിങ്ങളുടെ ഫോം പ്രോസസ്സ് ചെയ്യുമ്പോൾ ഒരു പിശക് സംഭവിച്ചു. പിന്നീട് വീണ്ടും ശ്രമിക്കുക."
"Name is missing","പേര് കാണുന്നില്ല"
"Comment is missing","അഭിപ്രായം കാണുന്നില്ല"
"Invalid email address","അസാധുവായ ഇമെയിൽ വിലാസം"
"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"Write Us","ഞങ്ങൾക്ക് എഴുതുക"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible."
"Name","Name"
"Email","Email"
"Phone Number","Phone Number"
"What’s on your mind?","What’s on your mind?"
"Submit","Submit"
"Contact Form","Contact Form"
"Phone","Phone"
"Message","Message"
"Contacts Section","Contacts Section"
"Contacts","Contacts"
"Contact Us","Contact Us"
"Enable Contact Us","Enable Contact Us"
"Email Options","Email Options"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
