"Page not found.","Pàgina no trobada."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Gràcies per contactar amb nosaltres amb els seus comentaris i preguntes. Li respondrem molt aviat."
"An error occurred while processing your form. Please try again later.","S'ha produït un error en processar el formulari. Si us plau, intenteu-ho més tard."
"Name is missing","Falta el nom"
"Comment is missing","Falta el comentari"
"Invalid email address","L'adreça de correu electrònic no és vàlida"
"* Required Fields","* Camps obligatoris"
"Write Us","Escriviu-nos"
"Jot us a note and we’ll get back to you as quickly as possible.","Escriviu-nos una nota i us respondrem tan aviat com sigui possible."
"Name","Nom"
"Email","Correu electrònic"
"Phone Number","Número de telèfon"
"What’s on your mind?","En què penseu?"
"Submit","Enviar"
"Contact Form","Formulari de contacte"
"Phone","Telèfon"
"Message","Missatge"
"Contacts Section","Secció de contactes"
"Contacts","Contactes"
"Contact Us","Contacteu-nos"
"Enable Contact Us","Activa Contacteu-nos"
"Email Options","Opcions de correu electrònic"
"Send Emails To","Envia correus electrònics a"
"Email Sender","Remitent de Correu electrònic"
"Email Template","Plantilla de correu electrònic"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correu electrònic escollida en funció del recurs de recuperació del tema quan s'ha seleccionat l'opció ""Predeterminat""."
"We can't process your request right now. Sorry, that's all we know.","No podem processar la vostra sol·licitud ara mateix. Ho sentim, això és tot el que sabem."
"Name: %name","Nom: %name"
"Email: %email","Correu electrònic: %email"
"Phone Number: %telephone","Número de telèfon: %telephone"
"Comment: %comment","Comentari: %comment"
"Enter the Name and try again.","Introduïu el nom i torneu-ho a provar."
"Enter the comment and try again.","Introduïu el comentari i torneu-ho a provar."
"The email address is invalid. Verify the email address and try again.","L’adreça de correu electrònic no és vàlida. Verifiqueu l'adreça de correu electrònic i torneu-ho a provar."
