"Page not found.","Pagina niet gevonden."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Bedankt dat u contact met ons opnam. U kunt spoedig op ons antwoord rekenen."
"An error occurred while processing your form. Please try again later.","Er ging iets mis tijdens het verwerken van uw formulier. Probeer het later nog eens."
"Name is missing","Naam ontbreekt"
"Comment is missing","Opmerking ontbreekt"
"Invalid email address","Ongeldig e-mailadres"
"* Required Fields","* Verplichte velden"
"Write Us","Neem contact met ons op"
"Jot us a note and we’ll get back to you as quickly as possible.","Laat een vraag of opmerking achter en wij zullen hier zo spoedig mogelijk op terugkomen."
"Name","Naam"
"Email","E-mail"
"Phone Number","Telefoonnummer"
"What’s on your mind?","Wat is uw vraag?"
"Submit","Bevestig"
"Contact Form","Contactformulier"
"Phone","Telefoonnummer"
"Message","Bericht"
"Contacts Section","Contact sectie"
"Contacts","Contacten"
"Contact Us","Neem contact met ons op"
"Enable Contact Us","‘Mail ons’ inschakelen"
"Email Options","E-mail opties"
"Send Emails To","E-mails versturen aan"
"Email Sender","Afzender E-mail"
"Email Template","E-mail template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"We can't process your request right now. Sorry, that's all we know.","We kunnen uw aanvraag nu niet verwerken. Sorry, dat is alles wat we weten."
"Name: %name","Naam: %name"
"Email: %email","E-mailadres: %email"
"Phone Number: %telephone","Telefoonnummer: %telephone"
"Comment: %comment","Reactie: %comment"
"Enter the Name and try again.","Voer de naam in en probeer het opnieuw."
"Enter the comment and try again.","Voer de opmerking in en probeer het opnieuw."
"The email address is invalid. Verify the email address and try again.","E-mailadres is ongeldig. Controleer en probeer opnieuw."
