"Page not found.","Lehte ei leitud."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Thanks for contacting us with your comments and questions. We'll respond to you very soon."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Kohustuslikud väljad"
"Write Us","Kirjutage meile"
"Jot us a note and we’ll get back to you as quickly as possible.","Jätke meile teade ja me võtame teiega ühendust esimesel võimalusel."
"Name","Nimi"
"Email","E-post"
"Phone Number","Telefon"
"What’s on your mind?","Millest mõtled?"
"Submit","Saada"
"Contact Form","Kontakti vorm"
"Phone","Phone"
"Message","Message"
"Contacts Section","Kontaktid"
"Contacts","Kontaktid"
"Contact Us","Võta ühendust"
"Enable Contact Us","Luba võta ühendust"
"Email Options","E-posti parameetrid"
"Send Emails To","Saada kiri"
"Email Sender","E-posti saatja"
"Email Template","E-kirja põhi"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
