"Gift Wrapping","Envolver para regalo"
"Add Gift Wrapping","Agregar envoltura de regalo"
"Save and Continue Edit","Guardar y continuar editando"
"Are you sure you want to delete this gift wrapping?","¿Estás seguro que desea eliminar esta envoltura de regalo?"
"Edit Gift Wrapping ""%1""","Editar envoltura de regalo ""%1"""
"New Gift Wrapping","Nueva envoltura de regalo"
"Gift Wrapping Information","Información de la envoltura de regalo"
"Gift Wrapping Design","Diseño de envoltura de regalo"
"Websites","Sitios web"
"Status","Estatus"
"Enabled","Habilitado"
"Disabled","Deshabilitada"
"Price","Precio"
"Image","Imagen"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSEITE]"
"[STORE VIEW]","[VISTA DE TIENDA]"
"Please request the correct gift wrapping.","Por favor, solicite la envoltura de regalo correcta."
"You updated a total of %1 records.","Actualizaste un total de %1 registros."
"Something went wrong while updating the wrapping(s) status.","Algo salió mal al actualizar el estado de la envoltura."
"You deleted the gift wrapping.","Eliminó la envoltura de regalos."
"%1","%1"
"Please select items.","Por favor selecciona productos."
"You deleted a total of %1 records.","Ha eliminado un total de %1 registro(s)."
"You have not uploaded the image.","No ha subido la imagen."
"You saved the gift wrapping.","Guardaste la envoltura de regalo."
"We can't save the gift wrapping right now.","No podemos guardar la envoltura de regalo en este momento."
"We can't update the image right now.","No podemos actualizar la imagen en este momento."
"Please select","Por favor, seleccione"
"Excluding Tax","Impuestos no incluídos"
"Including Tax","Impuestos incluídos"
"Including and Excluding Tax","Inclusión y exclusión de impuestos"
"None","Ninguno"
"The image content must be valid data.","El contenido de la imagen deben ser datos válidos."
"The image extension ""%1"" not allowed.","La extensión de imagen ""%1"" no esta permitida."
"Provided image name contains forbidden characters.","Nombre de archivo que provee contiene caracteres prohibidos."
"The image MIME type is not valid or not supported.","La imagen tipo MIME no es válido o no admitido."
"Gift Wrapping with specified ID ""%1"" not found.","Regalo con ID especificado ""%1"" no encontrado."
"Please enter valid currency code: %1","Ingrese código de moneda válido: %1"
"Unable to remove gift wrapping %1","No se puede quitar la envoltura de regalo %1"
"Printed Card","Tarjeta impresa"
"Use Config Settings","Usar opciones de configuración"
"Use Default Value","Usar Valor Predeterminado"
"Leave a box blank if you don't want to add gift wrapping for whole order.","Deje una opción en blanco si no desea añadir envoltorio de regalo para toda la orden."
"Price Excl. Tax","Precio excl impuesto"
"Price Incl. Tax","Precio incluido impuestos"
"Send Gift Receipt","Enviar recibo de regalo"
"Add Printed Card","Añadir tarjeta impresa"
"Gift Wrapping for the Entire Order","Papel para regalo para el pedido completo"
"Other Gift Options","Otras opciones de regalo"
"Excl. Tax","Impuestos NO Incl."
"Incl. Tax","Impuestos incl."
"Preview","Vista previa"
"Gift wrapping","Envoltura de regalo"
"Printed card","Tarjeta impresa"
"Gift receipt","Recibo de regalo"
"Pick a paper of your choice (optional)","Escoge un papel de su elección (opcional)"
"No image","Sin imagen"
"Remove","Eliminar"
"Gift Receipt","Recibo de regalo"
"Allow Gift Wrapping on Order Level","Permitir envoltura de regalo a nivel pedido"
"Allow Gift Wrapping for Order Items","Permitir envoltura de regalo para los artículos ordenados"
"Allow Gift Receipt","Permitir recibo de regalo"
"Allow Printed Card","Permitir tarjeta impresa"
"Default Price for Printed Card","Precio predeterminado para tarjeta impresa"
"Tax Class for Gift Options","Clase de impuesto para las opciones de regalo"
"Display Gift Wrapping Prices","Mostrar precios de envoltura de regalo"
"Display Printed Card Prices","Mostrar precios de tarjetas impresas"
"Delete","Borrar"
"Are you sure you want to delete the selected gift wrappings?","¿Está seguro que desea eliminar las envolturas de regalo seleccionado?"
"Change Status","Cambiar Estado"
"ID","Número de Identificación (ID)"
"Gift Wrap Design","Diseño de envoltura de regalo"
"Action","Acción"
"Edit","Editar"
"Custom Price","Precio personalizado"
"An item needs to be selected. Select and try again.","Un elemento debe ser seleccionado. Seleccione y vuelva a intentarlo."
"Gift wrapping with the %1 ID wasn't found. Verify the ID and try again.","No se ha encontrado el envoltorio de regalo con el ID %1. Verifique el ID y vuelva a intentarlo."
"A valid currency code wasn't entered. Enter a valid %1 currency code and try again.","No se ingresó un código válido. Ingrese un código %1 válido e intente nuevamente."
"The ""%1"" gift wrapping couldn't be removed.","El envoltorio de regalo ""%1"" no se pudo quitar."
