"Back","പിന്നിലേക്കു"
"Done","കഴിഞ്ഞിരിക്കുന്നു"
"Retry","വീണ്ടും ശ്രമിക്കുക"
"'Action Details - #' .","'പ്രവർത്തന വിശദാംശങ്ങൾ - #'."
"%1 item(s) have been scheduled for update.""","അപ്‌ഡേറ്റിനായി %1 ഇനം (ങ്ങൾ) ഷെഡ്യൂൾ ചെയ്‌തു. """
"Bulk Actions Log","ബൾക്ക് പ്രവർത്തന ലോഗ്"
"Bulk uuid %bulkUuid not exist","ബൾക്ക് uuid %bulUuid നിലവിലില്ല"
"Topic %1","വിഷയം %1"
"Something went wrong while processing the request.","അഭ്യർത്ഥന പ്രോസസ്സ് ചെയ്യുമ്പോൾ എന്തോ കുഴപ്പം സംഭവിച്ചു."
"Error processing %key element of input data","ഇൻപുട്ട് ഡാറ്റയുടെ %key ഘടകം പ്രോസസ്സ് ചെയ്യുന്നതിൽ പിശക്"
"Sorry, something went wrong during product prices update. Please see log for details.","ക്ഷമിക്കണം, ഉൽപ്പന്ന വില അപ്‌ഡേറ്റ് സമയത്ത് എന്തോ കുഴപ്പം സംഭവിച്ചു. വിശദാംശങ്ങൾക്കായി ലോഗ് കാണുക."
"%1 item(s) are currently being updated.","%1 ഇനം (കൾ‌) നിലവിൽ‌ അപ്‌ഡേറ്റുചെയ്യുന്നു."
"Task ""%1"": ","ടാസ്ക് ""%1"": "
"%1 item(s) have been scheduled for update.","%1 ഇനം (കൾ‌) അപ്‌ഡേറ്റിനായി ഷെഡ്യൂൾ‌ ചെയ്‌തു."
"%1 item(s) have been successfully updated.","%1 ഇനം (കൾ‌) വിജയകരമായി അപ്‌ഡേറ്റുചെയ്‌തു."
"%1 item(s) failed to update","%1 item(s) failed to update"
"Details","Details"
"View Details","View Details"
"Dismiss","Dismiss"
"Pending, in queue...","Pending, in queue..."
"%1 items selected for mass update","%1 items selected for mass update"
", %1 successfully updated",", %1 successfully updated"
", %1 failed to update",", %1 failed to update"
"Something went wrong.","Something went wrong."
"Action Log","Action Log"
"Report","Report"
"Bulk Actions","Bulk Actions"
"Action Logs","Action Logs"
"Days Saved in Log","Days Saved in Log"
"Description of Operation","Description of Operation"
"Summary","Summary"
"Start Time","Start Time"
"Items to Retry","Items to Retry"
"To retry, select the items and click “Retry”.","To retry, select the items and click “Retry”."
"Items That Can’t Be Updated.","Items That Can’t Be Updated."
"ID","ID"
"Status","Status"
"Meta Information","Meta Information"
"Error","Error"
"Dismiss All Completed Tasks","Dismiss All Completed Tasks"
"Action Details - #","Action Details - #"
"Number of Records Affected","Number of Records Affected"
