"Back","Terug"
"Done","Gereed"
"Retry","Probeer opnieuw"
"'Action Details - #' .","'transactiedetails - #'."
"%1 item(s) have been scheduled for update.""","%1 product(en) zijn gepland voor een update."""
"Bulk Actions Log","Bulkacties logboek"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid bestaat niet"
"Topic %1","Onderwerp %1"
"Something went wrong while processing the request.","Er ging iets mis tijdens het verwerken van het verzoek."
"Error processing %key element of input data","Fout bij verwerking van element %key van invoergegevens"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, er ging iets mis tijdens het bijwerken van productprijzen. Bekijk het logboek voor meer informatie."
"%1 item(s) are currently being updated.","%1 item(s) worden momenteel bijgewerkt."
"Task ""%1"": ","Taak ""%1"": "
"%1 item(s) have been scheduled for update.","%1 product(en) zijn gepland voor update."
"%1 item(s) have been successfully updated.","%1 product(en) zijn succesvol bijgewerkt."
"%1 item(s) failed to update","Bijwerken van %1 product(en) mislukt"
"Details","Gegevens"
"View Details","Bekijk details"
"Dismiss","Verlaat"
"Pending, in queue...","In behandeling, in de wachtrij..."
"%1 items selected for mass update","%1 producten geselecteerd om in bulk bij te werken"
", %1 successfully updated",", %1 succesvol bijgewerkt"
", %1 failed to update",", %1 bijwerken mislukt"
"Something went wrong.","Er is iets fout gegaan."
"Action Log","Actie logboek"
"Report","Rapportages"
"Bulk Actions","Bulkacties"
"Action Logs","Actie logboek"
"Days Saved in Log","Dagen opgeslagen in logboek"
"Description of Operation","Beschrijving van de werking"
"Summary","Samenvatting"
"Start Time","Begin Tijd"
"Items to Retry","Probeer de volgende producten opnieuw"
"To retry, select the items and click “Retry”.","Om opnieuw te proberen, selecteer de producten en klik op ""probeer opnieuw""."
"Items That Can’t Be Updated.","Objecten die niet bijgewerkt kunnen worden."
"ID","ID"
"Status","status"
"Meta Information","Meta informatie"
"Error","Foutmelding"
"Dismiss All Completed Tasks","Verwijder alle voltooide taken"
"Action Details - #","Actiedetails - #"
"Number of Records Affected","Aantal getroffen registraties"
