"Back","Retour"
"Done","Fait"
"Retry","Réessayer"
"'Action Details - #' .","'Details de l'action - #'."
"%1 item(s) have been scheduled for update.""","%1 élément(s) est/sont prêt(s) pour une mise à jour."""
"Bulk Actions Log","Journal des action par lot"
"%1 item(s) are currently being updated.","%1 élément(s) en cours d'actualisation."
"Task ""%1"": ","Tâche « %1 » : "
"%1 item(s) have been scheduled for update.","%1 élément(s) ont été programmés pour une mise à jour."
"%1 item(s) have been successfully updated.","%1 élément(s) ont été mis à jour avec succès."
"%1 item(s) failed to update","%1 élément(s) n'a/ont pas pu être mis à jour"
"Details","Détails"
"View Details","Voir les détails"
"Dismiss","Rejeter"
"Pending, in queue...","En attente, dans la file d’attente..."
"%1 items selected for mass update","%1 éléments sélectionnés pour la mise à jour massive"
", %1 successfully updated",", %1 mis à jour avec succès"
", %1 failed to update",", %1 : échec de la mise à jour"
"Something went wrong.","Un problème est survenu."
"Action Log","Journal d'actions"
"Bulk Actions","Actions par lot"
"Days Saved in Log","Jours enregistrés dans le journal"
"Description of Operation","Description de l'opération"
"Summary","Sommaire"
"Start Time","Heure de début"
"Items to Retry","Éléments à réessayer"
"To retry, select the items and click “Retry”.","Pour réessayer, sélectionnez les éléments et cliquez sur « Réessayer »."
"Items That Can’t Be Updated.","Éléments qui ne peuvent pas être mis à jour."
"ID","ID"
"Status","Statut"
"Meta Information","Meta information"
"Error","Erreur"
"Dismiss All Completed Tasks","Annuler toutes les tâches complétées"
"Action Details - #","Details de l'action - #"
"Number of Records Affected","Nombre d’enregistrements affectés"
