"Back","Tilbake"
"Done","Utført"
"Retry","Prøv på nytt"
"'Action Details - #' .","'Handlingsdetaljer - #'."
"%1 item(s) have been scheduled for update.""","%1 item(s) have been scheduled for update."""
"Bulk Actions Log","Bulk Actions Log"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Noe gikk galt under arbeidet av denne forespørselenen."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 item(s) are currently being updated."
"Task ""%1"": ","Oppgave ""%1"": "
"%1 item(s) have been scheduled for update.","%1 item(s) have been scheduled for update."
"%1 item(s) have been successfully updated.","%1 item(s) have been successfully updated."
"%1 item(s) failed to update","%1 item(s) failed to update"
"Details","Detaljer"
"View Details","Vis detaljer"
"Dismiss","Avbryt"
"Pending, in queue...","Venter, i kø..."
"%1 items selected for mass update","%1 items selected for mass update"
", %1 successfully updated",", %1 successfully updated"
", %1 failed to update",", %1 failed to update"
"Something went wrong.","Noe gikk galt."
"Action Log","Handlingslogg"
"Report","Rapport"
"Bulk Actions","Massehandlinger"
"Action Logs","Action Logs"
"Days Saved in Log","Days Saved in Log"
"Description of Operation","Description of Operation"
"Summary","Sammendrag"
"Start Time","Starttid"
"Items to Retry","Items to Retry"
"To retry, select the items and click “Retry”.","To retry, select the items and click “Retry”."
"Items That Can’t Be Updated.","Items That Can’t Be Updated."
"ID","ID"
"Status","Status"
"Meta Information","Meta-informasjon"
"Error","Feil"
"Dismiss All Completed Tasks","Forkaste alle fullførte oppgaver"
"Action Details - #","Handlings-detaljer -#"
"Number of Records Affected","Antall poster som påvirkes"
