"Back","Torna"
"Done","Fet"
"Retry","Reintentar"
"'Action Details - #' .","'Detalls - #' ."
"%1 item(s) have been scheduled for update.""","%1 producte(s) s'ha programat per actualitzar."""
"Bulk Actions Log","Registre d'accions massives"
"Bulk uuid %bulkUuid not exist","El conjunt d'UUIDs %bulkUuid no existeix"
"Topic %1","Tema %1"
"Something went wrong while processing the request.","Alguna cosa ha anat malament mentre es processava la sol·licitud."
"Error processing %key element of input data","Error processant l'element %key de les dades d'entrada"
"Sorry, something went wrong during product prices update. Please see log for details.","Ho sentim, alguna cosa ha anat malament en el procés d'actualització dels preus. Vegeu els detalls al registre."
"%1 item(s) are currently being updated.","%1 producte(s) estant sent actualitzats."
"Task ""%1"": ","Tasca ""%1"": "
"%1 item(s) have been scheduled for update.","%1 producte(s) programat(s) per actualitzar."
"%1 item(s) have been successfully updated.","%1 producte(s) actualitzat(s) correctament."
"%1 item(s) failed to update","Ha fallat l'actualització de/d' %1 producte(s)"
"Details","Detalls"
"View Details","Veure detalls"
"Dismiss","Descartar"
"Pending, in queue...","Pendent, a la cua..."
"%1 items selected for mass update","%1 productes seleccionats per actualitzar"
", %1 successfully updated",", %1 actualitzat correctament"
", %1 failed to update",", %1 ha fallat l'actualització"
"Something went wrong.","Alguna cosa ha anat malament."
"Action Log","Registre d'activitat"
"Report","Informe"
"Bulk Actions","Accions massives"
"Action Logs","Registre d'Activitats"
"Days Saved in Log","Dies desats al registre"
"Description of Operation","Descripció d'operació"
"Summary","Resum"
"Start Time","Hora d'inici"
"Items to Retry","Elements per reintentar"
"To retry, select the items and click “Retry”.","Per reintentar-ho, selecciona i clica ""Reintentar""."
"Items That Can’t Be Updated.","Productes que no es poden actualitzar."
"ID","ID"
"Status","Estat"
"Meta Information","Informació Meta"
"Error","Error"
"Dismiss All Completed Tasks","Descartar les tasques completades"
"Action Details - #","Detalls - #"
"Number of Records Affected","Nombre de registres afectats"
