"Back","ආපසු"
"Done","කළා"
"Retry","නැවත උත්සාහ කරන්න"
"'Action Details - #' .","'ක්‍රියා විස්තර - #' ."
"%1 item(s) have been scheduled for update.""","%1 අයිතම(ය) යාවත්කාලීන කිරීම සඳහා කාලසටහන්ගත කර ඇත."""
"Bulk Actions Log","තොග ක්‍රියා ලොගය"
"Bulk uuid %bulkUuid not exist","තොග uuid %bulkUuid නොපවතී"
"Topic %1","මාතෘකාව %1"
"Something went wrong while processing the request.","ඉල්ලීම සකසන අතරතුර යම් දෙයක් වැරදී ඇත."
"Error processing %key element of input data","ආදාන දත්තවල %ප්‍රධාන අංගය සැකසීමේ දෝෂයකි"
"Sorry, something went wrong during product prices update. Please see log for details.","සමාවන්න, නිෂ්පාදන මිල යාවත්කාලීන කිරීමේදී යමක් වැරදී ඇත. විස්තර සඳහා කරුණාකර ලොගය බලන්න."
"%1 item(s) are currently being updated.","%1 අයිතම(ය) දැනට යාවත්කාලීන වෙමින් පවතී."
"Task ""%1"": ","කාර්යය ""%1"": "
"%1 item(s) have been scheduled for update.","%1 අයිතම(ය) යාවත්කාලීන කිරීම සඳහා කාලසටහන්ගත කර ඇත."
"%1 item(s) have been successfully updated.","%1 අයිතම(ය) සාර්ථකව යාවත්කාලීන කර ඇත."
"%1 item(s) failed to update","%1 අයිතම(ය) යාවත්කාලීන කිරීමට අසමත් විය"
"Details","විස්තර"
"View Details","තොරතුරු පෙන්වන්න"
"Dismiss","අස් කරන්න"
"Pending, in queue...","පොරොත්තුවෙන්, පෝලිමේ..."
"%1 items selected for mass update","විශාල යාවත්කාලීන කිරීම සඳහා අයිතම %1 ක් තෝරා ඇත"
", %1 successfully updated",", %1 සාර්ථකව යාවත්කාලීන කරන ලදී"
", %1 failed to update",", %1 යාවත්කාලීන කිරීමට අසමත් විය"
"Something went wrong.","මොකක්හරි වැරැද්දක් වෙලා."
"Action Log","ක්රියාකාරී ලොගය"
"Report","වාර්තාව"
"Bulk Actions","තොග ක්රියාවන්"
"Action Logs","ක්රියාකාරී ලඝු-සටහන්"
"Days Saved in Log","ලොගයේ සුරැකි දින"
"Description of Operation","මෙහෙයුමේ විස්තරය"
"Summary","සාරාංශය"
"Start Time","ආරම්භක වේලාව"
"Items to Retry","නැවත උත්සාහ කිරීමට අයිතම"
"To retry, select the items and click “Retry”.","නැවත උත්සාහ කිරීමට, අයිතම තෝරා ""නැවත උත්සාහ කරන්න"" ක්ලික් කරන්න."
"Items That Can’t Be Updated.","යාවත්කාලීන කළ නොහැකි අයිතම."
"ID","හැඳුනුම්පත"
"Status","තත්ත්වය"
"Meta Information","මෙටා තොරතුරු"
"Error","දෝෂයකි"
"Dismiss All Completed Tasks","සියලුම සම්පූර්ණ කළ කාර්යයන් ඉවත දමන්න"
"Action Details - #","ක්‍රියා විස්තර - #"
"Number of Records Affected","බලපෑමට ලක් වූ වාර්තා ගණන"
