"Back","Назад"
"Done","Урађено"
"Retry","Pokusaj ponovo"
"'Action Details - #' .","'Прикажи детаље - #' ."
"%1 item(s) have been scheduled for update.""","%1 ставкa(е) су планиране за ажурирање”"
"Bulk Actions Log","Евиденција масовне радње"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 ставка(е) се тренутно ажурира."
"Task ""%1"": ","Задатак „%1”: "
"%1 item(s) have been scheduled for update.","%1 ставкa(е) су планиране за ажурирање”."
"%1 item(s) have been successfully updated.","%1 ставку(е) је успешно ажурирано."
"%1 item(s) failed to update","Није успео ажурирати %1 ставку(е)"
"Details","Детаљи"
"View Details","Прикажи детаље"
"Dismiss","Одбаци"
"Pending, in queue...","Необрађено, у реду чекања..."
"%1 items selected for mass update","%1 одабране ставке за масовно ажурирање"
", %1 successfully updated",", %1 је успешно ажурирано"
", %1 failed to update",", %1 није успео ажурирати"
"Something went wrong.","Нешто кренуло наопако."
"Action Log","Дневник активности"
"Report","Report"
"Bulk Actions","Масовне радње"
"Action Logs","Action Logs"
"Days Saved in Log","Дани сачувани у дневнику"
"Description of Operation","Опис операција"
"Summary","Резиме"
"Start Time","Време почетка"
"Items to Retry","Ставке за поновни покушај"
"To retry, select the items and click “Retry”.","За понови покушај, изабрати ставке и кликните на дугме „Покушај поново”."
"Items That Can’t Be Updated.","Ставке које није могуће ажурирати."
"ID","ИД"
"Status","Статус"
"Meta Information","Мета информације"
"Error","Greška"
"Dismiss All Completed Tasks","Одбацити све завршене задатке"
"Action Details - #","Детаљи акције - #"
"Number of Records Affected","Број записа који је утицао на"
