"Back","Orqaga"
"Done","Bajarildi"
"Retry","Qayta urinib ko'ring"
"'Action Details - #' .","'Aksiyaning tafsilotlari - #'."
"%1 item(s) have been scheduled for update.""","Yangilash uchun rejalashtirilgan ob'ektlar soni: %1."""
"Bulk Actions Log","Ommaviy tadbirlar jurnali"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 ta element(lar) hozir yangilanmoqda."
"Task ""%1"": ","""%1"" vazifasi: "
"%1 item(s) have been scheduled for update.","Yangilash uchun %1 yangilash rejalashtirilmoqda."
"%1 item(s) have been successfully updated.","%1 element(lar) muvaffaqiyatli yangilandi."
"%1 item(s) failed to update","%1 element(lar) yangilanmadi"
"Details","Batafsil"
"View Details","Batafsil ma'lumot"
"Dismiss","Rad etish"
"Pending, in queue...","Kutish, navbatda..."
"%1 items selected for mass update","Ommaviy yangilanish uchun tanlangan %1 ta element"
", %1 successfully updated",", %1 muvaffaqiyatli yangilandi"
", %1 failed to update",", %1 muvaffaqiyatli yangilanmadi"
"Something went wrong.","Nimadir noto'g'ri bajarildi."
"Action Log","Ro'yxatdan o'tish jurnali"
"Report","Report"
"Bulk Actions","Ommaviy operatsiyalar"
"Action Logs","Action Logs"
"Days Saved in Log","Kundalik arxivlar saqlandi"
"Description of Operation","Operatsiya tavsifi"
"Summary","Xulosa"
"Start Time","Boshlanish vaqti"
"Items to Retry","Qaytariladigan narsalar"
"To retry, select the items and click “Retry”.","Takrorlash uchun elementlarni tanlang va ""Qayta ishlating"" tugmasini bosing."
"Items That Can’t Be Updated.","Yangilanib bo'lmaydigan ma'lumotlar."
"ID","ID"
"Status","Holat"
"Meta Information","Meta ma'lumoti"
"Error","Xato"
"Dismiss All Completed Tasks","Barcha tugallangan vazifalarni yashirish"
"Action Details - #","Aktsiya detallari - #"
"Number of Records Affected","Ro'yxatdan o'tkazilgan yozuvlar soni"
