"Back","Trở lại"
"Done","Đã thực hiện"
"Retry","Thử lại"
"'Action Details - #' .","'Hành động thông tin chi tiết - #'."
"%1 item(s) have been scheduled for update.""","%1 mã (s) đã được lên lịch cập nhật."""
"Bulk Actions Log","Hàng loạt hành động đăng nhập"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 mã (s) hiện đang được cập nhật."
"Task ""%1"": ","Nhiệm vụ ""%1"": "
"%1 item(s) have been scheduled for update.","%1 mã (s) đã được lên lịch cập nhật."
"%1 item(s) have been successfully updated.","%1 mã (s) đã được cập nhật thành công."
"%1 item(s) failed to update","%1 thất bại để cập nhật mã (s)"
"Details","Chi tiết"
"View Details","Xem chi tiết"
"Dismiss","Loại bỏ"
"Pending, in queue...","Đang chờ xử lý, trong hàng đợi..."
"%1 items selected for mass update","%1 cập nhật các mục đã được chọn"
", %1 successfully updated",", %1 cập nhật thành công"
", %1 failed to update",", %1 cập nhật thất bại"
"Something went wrong.","Đã xảy ra lỗi."
"Action Log","Nhật ký hành động"
"Report","Report"
"Bulk Actions","Hàng loạt hành động"
"Action Logs","Action Logs"
"Days Saved in Log","Ngày này được lưu trong nhật ký"
"Description of Operation","Mô tả hoạt động"
"Summary","Tóm tắt"
"Start Time","Thời Gian Bắt Đầu"
"Items to Retry","Items to Retry"
"To retry, select the items and click “Retry”.","Để thử lại, chọn các mục và nhấp vào ""Thử lại""."
"Items That Can’t Be Updated.","Items That Can’t Be Updated."
"ID","ID"
"Status","Trạng thái"
"Meta Information","Thông tin meta"
"Error","Lỗi"
"Dismiss All Completed Tasks","Bỏ qua tất cả hoàn thành nhiệm vụ"
"Action Details - #","Hành động thông tin chi tiết - #"
"Number of Records Affected","Số lượng hồ sơ bị ảnh hưởng"
