"Back","Tagasi"
"Done","Valmis"
"Retry","Proovige uuesti"
"'Action Details - #' .","'Vaata lähemalt - #' ."
"%1 item(s) have been scheduled for update.""","%1 item(s) have been scheduled for update."""
"Bulk Actions Log","Hulgitoimingute logi"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 üksust hetkel uuendatakse."
"Task ""%1"": ","Toiming ""%1"": "
"%1 item(s) have been scheduled for update.","%1 item(s) have been scheduled for update."
"%1 item(s) have been successfully updated.","%1 item(s) have been successfully updated."
"%1 item(s) failed to update","%1 item(s) failed to update"
"Details","Üksikasjad"
"View Details","Vaata lähemalt"
"Dismiss","Loobu"
"Pending, in queue...","Ootel, järjekorras..."
"%1 items selected for mass update","%1 items selected for mass update"
", %1 successfully updated",", %1 successfully updated"
", %1 failed to update",", %1 failed to update"
"Something went wrong.","Something went wrong."
"Action Log","Tegevuste logi"
"Report","Report"
"Bulk Actions","Hulgitoimingud"
"Action Logs","Action Logs"
"Days Saved in Log","Päeva salvestatakse logisse"
"Description of Operation","Toimingu kirjeldus"
"Summary","Kokkuvõte"
"Start Time","Algusaeg"
"Items to Retry","Items to Retry"
"To retry, select the items and click “Retry”.","To retry, select the items and click “Retry”."
"Items That Can’t Be Updated.","Items That Can’t Be Updated."
"ID","ID"
"Status","Staatus"
"Meta Information","Metainformatsioon"
"Error","Viga"
"Dismiss All Completed Tasks","Vabasta kõik lõpetatud ülesanded"
"Action Details - #","Vaata lähemalt - #"
"Number of Records Affected","Mõjutatud kirjete arv"
