"Back","Atrás"
"Done","Hecho"
"Retry","Reintentar"
"'Action Details - #' .","'Detalles de la acción - #'."
"%1 item(s) have been scheduled for update.""","%1 de elemento(s) han sido catalogados para actualizacion"
"Bulk Actions Log","Registro de acciones en volumen"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid no existe"
"Topic %1","Tema %1"
"Something went wrong while processing the request.","Algo salió mal al procesar la solicitud."
"Error processing %key element of input data","Error al procesar el elemento clave % de datos de entrada"
"Sorry, something went wrong during product prices update. Please see log for details.","Lo sentimos, algo salió mal durante la actualización de los precios del producto. Por favor, consulte el registro para más detalles."
"%1 item(s) are currently being updated.","%1 elemento(s) esta siendo actualizado."
"Task ""%1"": ","Tarea ""%1"": "
"%1 item(s) have been scheduled for update.","%1 de elemento(s) han sido catalogados para actualizacion."
"%1 item(s) have been successfully updated.","%1 elemento(s) han sido actualizados correctamente."
"%1 item(s) failed to update","%1 elemento(s) fallo al actualizarse"
"Details","Detalles"
"View Details","Mostrar detalles"
"Dismiss","Descartar"
"Pending, in queue...","Pendiente, en lista de espera..."
"%1 items selected for mass update","%1 elementos seleccionados para la actualización masiva"
", %1 successfully updated",", %1 actualizado correctamente"
", %1 failed to update",", %1 no pudo actualizar"
"Something went wrong.","Algo salió mal."
"Action Log","Registro de acciones"
"Report","Informe"
"Bulk Actions","Acciones masivas"
"Action Logs","Registro de acciones"
"Days Saved in Log","Días guardados en registro"
"Description of Operation","Descripción de la operación"
"Summary","Resumen"
"Start Time","Hora de inicio"
"Items to Retry","Elementos a reintentar"
"To retry, select the items and click “Retry”.","Para volver a intentar, seleccione los elementos y haga clic en ""Reintentar""."
"Items That Can’t Be Updated.","Elementos que no se pueden actualizar."
"ID","Número de Identificación (ID)"
"Status","Estatus"
"Meta Information","Meta Información"
"Error","Error"
"Dismiss All Completed Tasks","Descartar Todas las Tareas Completadas"
"Action Details - #","Detalles de la acción - #"
"Number of Records Affected","Número de registros afectados"
