"Back","이전"
"Done","완료"
"Retry","재시도"
"'Action Details - #' .","'Action Details - #' ."
"%1 item(s) have been scheduled for update.""","%1 item(s) have been scheduled for update."""
"Bulk Actions Log","Bulk Actions Log"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 item(s) are currently being updated."
"Task ""%1"": ","Task ""%1"": "
"%1 item(s) have been scheduled for update.","%1 item(s) have been scheduled for update."
"%1 item(s) have been successfully updated.","%1 item(s) have been successfully updated."
"%1 item(s) failed to update","%1 item(s) failed to update"
"Details","상세 정보"
"View Details","자세히 보기"
"Dismiss","Dismiss"
"Pending, in queue...","Pending, in queue..."
"%1 items selected for mass update","%1 items selected for mass update"
", %1 successfully updated",", %1 successfully updated"
", %1 failed to update",", %1 failed to update"
"Something went wrong.","Something went wrong."
"Action Log","Action Log"
"Report","Report"
"Bulk Actions","Bulk Actions"
"Action Logs","Action Logs"
"Days Saved in Log","Days Saved in Log"
"Description of Operation","Description of Operation"
"Summary","제목"
"Start Time","시작 시간"
"Items to Retry","Items to Retry"
"To retry, select the items and click “Retry”.","To retry, select the items and click “Retry”."
"Items That Can’t Be Updated.","Items That Can’t Be Updated."
"ID","ID"
"Status","상태"
"Meta Information","Meta Information"
"Error","에러"
"Dismiss All Completed Tasks","Dismiss All Completed Tasks"
"Action Details - #","Action Details - #"
"Number of Records Affected","Number of Records Affected"
