"Back","ย้อนกลับ"
"Done","เสร็จสิ้น"
"Retry","ลองอีกครั้ง"
"'Action Details - #' .","'รายละเอียดการดำเนินการ - #'"
"%1 item(s) have been scheduled for update.""","%1 รายการถูกกำหนดให้อัปเดตแล้ว"""
"Bulk Actions Log","บันทึกการดำเนินการเป็นกลุ่ม"
"Bulk uuid %bulkUuid not exist","Uuid จำนวนมาก %bulkUuid ไม่มีอยู่"
"Topic %1","หัวข้อ %1"
"Something went wrong while processing the request.","เกิดข้อผิดพลาดขณะดำเนินการตามคำขอ"
"Error processing %key element of input data","เกิดข้อผิดพลาดในการประมวลผล % องค์ประกอบสำคัญของข้อมูลอินพุต"
"Sorry, something went wrong during product prices update. Please see log for details.","ขออภัย มีบางอย่างผิดพลาดระหว่างการอัปเดตราคาผลิตภัณฑ์ โปรดดูบันทึกสำหรับรายละเอียด"
"%1 item(s) are currently being updated.","กำลังอัปเดต %1 รายการในขณะนี้"
"Task ""%1"": ","งาน ""%1"": "
"%1 item(s) have been scheduled for update.","%1 รายการได้รับการกำหนดเวลาสำหรับการอัปเดตแล้ว"
"%1 item(s) have been successfully updated.","อัปเดต %1 รายการเรียบร้อยแล้ว"
"%1 item(s) failed to update","%1 รายการล้มเหลวในการอัปเดต"
"Details","รายละเอียด"
"View Details","ดูรายละเอียด"
"Dismiss","อนุญาตให้ออกไป"
"Pending, in queue...","รออยู่ในคิว..."
"%1 items selected for mass update","เลือก %1 รายการสำหรับการอัปเดตจำนวนมาก"
", %1 successfully updated",", %1 อัปเดตสำเร็จแล้ว"
", %1 failed to update",", %1 ล้มเหลวในการอัปเดต"
"Something went wrong.","บางอย่างผิดพลาด."
"Action Log","บันทึกการดำเนินการ"
"Report","รายงาน"
"Bulk Actions","การดำเนินการเป็นกลุ่ม"
"Action Logs","บันทึกการดำเนินการ"
"Days Saved in Log","วันที่บันทึกไว้ใน Log"
"Description of Operation","คำอธิบายของ Operation"
"Summary","ภาพรวม"
"Start Time","วันที่เริ่มต้น"
"Items to Retry","รายการที่จะลองอีกครั้ง"
"To retry, select the items and click “Retry”.","หากต้องการลองอีกครั้ง ให้เลือกรายการแล้วคลิก ""ลองใหม่"""
"Items That Can’t Be Updated.","รายการที่ไม่สามารถอัปเดตได้"
"ID","ไอดี"
"Status","สถานะ"
"Meta Information","ข้อมูลเมตา"
"Error","ข้อผิดพลาด"
"Dismiss All Completed Tasks","ปิดงานที่เสร็จสมบูรณ์ทั้งหมด"
"Action Details - #","รายละเอียดการดำเนินการ - #"
"Number of Records Affected","จำนวนบันทึกที่ได้รับผลกระทบ"
