"You created the order.","Вие направихте поръчката."
"Order saving error: %1","Грешка при запазване на поръчката: %1"
"Please choose a payment method.","Моля, изберете метод на плащане."
"We can't process your order right now. Please try again later.","Не можем да обработим поръчката ви в момента. Моля, опитайте отново по-късно."
"An error occurred on the server. Please try to place the order again.","Възникна грешка в сървъра. Моля опитайте се да поставите поръчката отново."
"Credit Card: xxxx-%1","Кредитна карта: xxxx-%1"
"amount %1","сума %1"
"failed.","неуспешен."
"successful.","успешен."
"Authorize.Net Transaction ID %1.","Оторизация. № на транзакция %1."
"authorize","оторизирай"
"authorize and capture","оторизирай и запиши"
"capture","заснемане"
"refund","възстановяване"
"void","анулирай"
"Gateway error: %1","Терминал грешка: %1"
"Something went wrong in the payment gateway.","Нещо се обърка в портала на плащане."
"Invalid amount for capture.","Невалидна стойност за записване."
"Payment capturing error.","Грешка в заснемането на плащането."
"Invalid transaction ID.","ID на невалидна транзакция."
"Payment voiding error.","Грешка при анулиране на плащането."
"Invalid amount for refund.","Невалидна сума за възстановяване."
"Payment refunding error.","Грешка в плщането за възстановяване."
"The transaction was declined because the response hash validation failed.","Транзакцията е отказана поради неуспешна проверка на хеш валидация."
"This payment didn't work out because we can't find this order.","Това плащане не е успешно, защото не можем да намерим тази поръчка."
"There was a payment authorization error.","Възникна грешка при оторизиране на плащане."
"Please enter a transaction ID to authorize this payment.","Въведете ID на транзакция, за да се разреши това плащане."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Нещо се обърка: платената сума не съответства на размера на поръчката. Моля, поправете това и опитайте отново."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Тразнакция %1 е одобрена. Сума %2. Статусът на операцията е ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Транзакция %1 е била анулиран/отказана. Състоянието на транзакцията е ""%2"". Сума %3."
"Authorize Only","Само Authorize"
"Authorize and Capture","Оторизирай и запиши"
"Unable to get transaction details. Try again later.","Не може да получи данни за транзакцията. Опитайте отново по-късно."
"Electronic payments save the trees.","Електронните плащания спасяват дървета."
"Credit Card Type","Тип кредитна карта"
"Please Select","Моля изберете"
"Credit Card Number","Номер на кредитната карта"
"Expiration Date","Срок на валидност"
"Card Verification Number","Номер за проверка на картата"
"Fraud Detection ","Разкриване на измами "
"FDS Filter Action","FDS филтър действие"
"AVS Response","AVS отговор"
"Card Code Response","Отговор за код на картата"
"CAVV Response","CAVV отговор"
"Fraud Filters","Филтри за измами"
"Place Order","Направи поръчка"
"Sorry, but something went wrong. Please contact the seller.","За съжаление, но нещо се обърка. Моля свържете се с продавача."
"Authorize.net Direct Post","Authorize.net директен пост"
"Enabled","Активиран"
"Payment Action","Платежно действие"
"Title","Заглавиe"
"API Login ID","ID на регистрация на API"
"Transaction Key","Транзакция ключ"
"Merchant MD5","Търговец MD5"
"New Order Status","Статус нова поръчка"
"Test Mode","Тестов режим"
"Gateway URL","URL терминал"
"Transaction Details URL","URL на транзакционна информация"
"Accepted Currency","Приемани валути"
"Debug","Дебъг"
"Email Customer","Имейл на клиент"
"Merchant's Email","Имейл на търговец"
"Credit Card Types","Типове кредитни карти"
"Credit Card Verification","Проверка на кредитна карта"
"Payment from Applicable Countries","Плащане от приложимите страни"
"Payment from Specific Countries","Плащане от определени страни"
"Minimum Order Total","Минимална стойност на поръчка"
"Maximum Order Total","Максимална стойност на поръчка"
"Sort Order","Ред на сортиране"
"Cannot place order.","Не може да направите поръчка."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Не може да направите поръчка. Моля, опитайте отново по-късно."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
