"You created the order.","Te lõite tellimuse."
"Order saving error: %1","Tellimuse salvestamise tõrge: %1"
"Please choose a payment method.","Valige makseviisi."
"We can't process your order right now. Please try again later.","Hetkel ei saa teie tellimust töödelda. Palun proovige hiljem uuesti."
"An error occurred on the server. Please try to place the order again.","Serveril ilmes probleem. Palun proovige tellimus uuesti esitada."
"Credit Card: xxxx-%1","Krediitkaart: xxxx-%1"
"amount %1","summa %1"
"failed.","nurjus."
"successful.","Õnnestus."
"Authorize.Net Transaction ID %1.","Authorize.Net tehingu ID %1."
"authorize","luba"
"authorize and capture","lubada ja salvesta"
"capture","hõiva"
"refund","tagastus"
"void","tühine"
"Gateway error: %1","Värava viga: %1"
"Something went wrong in the payment gateway.","Midagi läks valesti ja makseväravas."
"Invalid amount for capture.","Ebakorrektne summa hõiveks."
"Payment capturing error.","Viga makse hõivamises."
"Invalid transaction ID.","Sobimatu kande ID."
"Payment voiding error.","Makse tühistamise viga."
"Invalid amount for refund.","Tagastamiseks ebakorrektne summa."
"Payment refunding error.","Makse tagastamise viga."
"The transaction was declined because the response hash validation failed.","Tehingust keelduti, sest vastuse hashi valideerimine nurjus."
"This payment didn't work out because we can't find this order.","See makse ei läinud läbi, sest me ei leia sellst tellimust."
"There was a payment authorization error.","Makse autoriseerimisel esines viga."
"Please enter a transaction ID to authorize this payment.","Palun lisage tehingu ID, et seda makset autoriseerida."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Midagi läks valesti. Makstud summa ja Tellimuse summa ei klapi. Palun korrigeerige ja proovige uuesti."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Tehing %1 kiideti heaks. Summa %2. Tehingu staatus on ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Tehingust %1 on keeldutud või see on tühistatud. Tehingu staatus on ""%2"". Summa %3."
"Authorize Only","Lubada ainult"
"Authorize and Capture","Lubada ja salvesta"
"Unable to get transaction details. Try again later.","Ei suutnud saada tehingu andmeid. Palun proovige hiljem uuesti."
"Electronic payments save the trees.","Elektrooniline makse säästab puid."
"Credit Card Type","Krediitkaardi tüüp"
"Please Select","Palun valige"
"Credit Card Number","Krediitkaardi number"
"Expiration Date","Aegumiskuupäev"
"Card Verification Number","Kaardi turvakood"
"Fraud Detection ","Pettuse tuvastamine "
"FDS Filter Action","FDS Filtri tegevus"
"AVS Response","AVS vastus"
"Card Code Response","Kaardi koodi vastus"
"CAVV Response","CAVV vastus"
"Fraud Filters","Pettuse filtrid"
"Place Order","Esita tellimus"
"Sorry, but something went wrong. Please contact the seller.","Vabandage, midagi läks valesti. Palun võtke müüjaga ühnudst."
"Authorize.net Direct Post","Authorize.net otse postitus"
"Enabled","Lubatud"
"Payment Action","Makse tegevus"
"Title","Pealkiri"
"API Login ID","API Login ID"
"Transaction Key","Tehingu võti"
"Merchant MD5","Kaupmehe MD5"
"New Order Status","Uue tellimuse staatus"
"Test Mode","Testrežiim"
"Gateway URL","Värava URL"
"Transaction Details URL","Tehingu üksikasjade URL"
"Accepted Currency","Lubatud valuutad"
"Debug","Silumine"
"Email Customer","Kliendi email"
"Merchant's Email","Kaupmehe e-mail"
"Credit Card Types","Krediitkaardi tüübid"
"Credit Card Verification","Krediitkaardi andmete kinnitus"
"Payment from Applicable Countries","Maksed sobivatest maadest"
"Payment from Specific Countries","Maksed konkreetsetest maadest"
"Minimum Order Total","Minimaalne tellimuse summa"
"Maximum Order Total","Maksimaalne tellimuse summa"
"Sort Order","Sorteerimise järjekord"
"Cannot place order.","Ei saa sisestada."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Ei saa tellida. Palun proovige hiljem uuesti."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
