"You created the order.","Anda membuat pesanan."
"Order saving error: %1","Kesalahan penyimpanan Pesanan: %1"
"Please choose a payment method.","Silahkan pilih metode pembayaran."
"We can't process your order right now. Please try again later.","We can't process your order right now. Please try again later."
"An error occurred on the server. Please try to place the order again.","Terjadi kesalahan pada server. Silakan mencoba untuk memesan kembali."
"Credit Card: xxxx-%1","Kartu Kredit: xxxx-%1"
"amount %1","jumlah% 1"
"failed.","gagal."
"successful.","sukses."
"Authorize.Net Transaction ID %1.","Authorize.Net ID Transaksi% 1."
"authorize","izinkan"
"authorize and capture","izinkan dan tangkap"
"capture","tangkap"
"refund","pengembalian dana"
"void","kosong"
"Gateway error: %1","Gateway error: %1"
"Something went wrong in the payment gateway.","Ada yang tidak beres di gateway pembayaran."
"Invalid amount for capture.","Jumlah tidak valid untuk ditangkap."
"Payment capturing error.","Kesalahan Pembayaran ditangkap."
"Invalid transaction ID.","Transaksi ID tidak valid."
"Payment voiding error.","Membatalkan pembayaran error."
"Invalid amount for refund.","Jumlah pengembalian dana tidak valid."
"Payment refunding error.","Pengembalian uang pembayaran error."
"The transaction was declined because the response hash validation failed.","Transaksi ditolak karena respon pengesahan gagal."
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order."
"There was a payment authorization error.","Terjadi kesalahan otorisasi pembayaran."
"Please enter a transaction ID to authorize this payment.","Masukkan ID transaksi untuk mengotorisasi pembayaran ini."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaksi% 1 telah disetujui. Jumlah% 2. status transaksi adalah ""% 3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaksi% 1 telah dibatalkan / ditolak. status transaksi adalah ""% 2"". Jumlah% 3."
"Authorize Only","Hanya otorisasi"
"Authorize and Capture","Otorisasi dan Tangkapan"
"Unable to get transaction details. Try again later.","Tidak dapat mendapatkan rincian transaksi. Coba lagi nanti."
"Electronic payments save the trees.","Pembayaran elektronik menyelamatkan pepohonan."
"Credit Card Type","Tipe Kartu Kredit"
"Please Select","Silahkan pilih"
"Credit Card Number","Nomor Kartu Kredit"
"Expiration Date","Tanggal kadaluarsa"
"Card Verification Number","Nomor Verifikasi Kartu"
"Fraud Detection ","Deteksi penipuan "
"FDS Filter Action","Tindakan Menyaring FDS"
"AVS Response","Tanggapan AVS"
"Card Code Response","Kode Kartu Tanggapan"
"CAVV Response","Tanggapan CAVV"
"Fraud Filters","Penyaringan Penipuan"
"Place Order","Tempat Pesanan"
"Sorry, but something went wrong. Please contact the seller.","Maaf, tapi ada yang tidak beres. Silahkan hubungi penjualnya."
"Authorize.net Direct Post","Authorize.net Posting langsung"
"Enabled","Diaktifkan"
"Payment Action","Tindakan Pembayaran"
"Title","Judul"
"API Login ID","API Login ID"
"Transaction Key","Kunci Transaksi"
"Merchant MD5","Penjual MD5"
"New Order Status","Status Pesanan Baru"
"Test Mode","Mode Uji"
"Gateway URL","Pintu Masuk URL"
"Transaction Details URL","Transaksi Detail URL"
"Accepted Currency","Mata uang yang diterima"
"Debug","Menulusuri"
"Email Customer","Email pelanggan"
"Merchant's Email","Email Penjual"
"Credit Card Types","Tipe Kartu Kredit"
"Credit Card Verification","Verivikasi Kartu Kredit"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara-Negara tertentu"
"Minimum Order Total","Total Pesanan minimum"
"Maximum Order Total","Total Pesanan Maksimal"
"Sort Order","Urutan"
"Cannot place order.","Cannot place order."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Tidak dapat menempatkan pesanan. Silakan coba lagi nanti."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
