"You created the order.","Heu creat la comanda."
"Order saving error: %1","Error desant la comanda: %1"
"Please choose a payment method.","Si us plau, seleccioneu un mètode de pagament."
"We can't process your order right now. Please try again later.","No podem processar la comanda ara. Si us plau, proveu-ho més tard."
"An error occurred on the server. Please try to place the order again.","Hi ha hagut un error al servidor. Torneu a provar de fer la comanda si us plau."
"Credit Card: xxxx-%1","Targeta de crèdit: xxxx-%1"
"amount %1","quantitat %1"
"failed.","ha fallat."
"successful.","correcte."
"Authorize.Net Transaction ID %1.","ID de transacció Authorize.Net: %1."
"authorize","autoritzar"
"authorize and capture","autoritzar i capturar"
"capture","capturar"
"refund","reemborsament"
"void","buit"
"Gateway error: %1","Error de passarel·la: %1"
"Something went wrong in the payment gateway.","Alguna cosa ha fallat a la passarel·la de pagament."
"Invalid amount for capture.","Import no vàlid per a la captura."
"Payment capturing error.","Error capturant el pagament."
"Invalid transaction ID.","ID de transacció no vàlid."
"Payment voiding error.","Error d’anul·lació del pagament."
"Invalid amount for refund.","Import no vàlid per a la devolució."
"Payment refunding error.","Error de reemborsament del pagament."
"The transaction was declined because the response hash validation failed.","La transacció s'ha rebutjat perquè la validació del hash de resposta ha fallat."
"This payment didn't work out because we can't find this order.","El pagament no ha funcionat per que no podem trobar aquesta comanda."
"There was a payment authorization error.","S'ha produït un error en l'autorització de pagament."
"Please enter a transaction ID to authorize this payment.","Si us plau, introduïu un identificador de transacció per autoritzar aquest pagament."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Alguna cosa no ha funcionat: el total del pagament no coincideix amb el total de la comanda. Si us plau, rectifiqueu-ho i proveu-ho de nou."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","La transacció %1 s'ha aprovat. Import %2. L’estat de la transacció és ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","La transacció %1 ha estat anul·lada/rebutjada. L'estat de la transacció és ""%2"". Import %3."
"Authorize Only","Només Autoritzar"
"Authorize and Capture","Autoritzar i capturar"
"Unable to get transaction details. Try again later.","No es poden obtenir els detalls de la transacció. Torneu-ho a provar més tard."
"Electronic payments save the trees.","Els pagaments electrònics salven els arbres."
"Credit Card Type","Tipus de Targeta de Crèdit"
"Please Select","Si us plau, seleccioneu"
"Credit Card Number","Número de Targeta de Crèdit"
"Expiration Date","Data de caducitat"
"Card Verification Number","Número de Verificació de Targeta"
"Fraud Detection ","Detecció de Frau "
"FDS Filter Action","Acció del filtre FDS"
"AVS Response","Resposta AVS"
"Card Code Response","Resposta de Codi de Targeta"
"CAVV Response","Resposta CAVV"
"Fraud Filters","Filtres de Frau"
"Place Order","Realitzar Comanda"
"Sorry, but something went wrong. Please contact the seller.","Ho sentim, però alguna cosa ha anat malament. Si us plau, poseu-vos en contacte amb el venedor."
"Authorize.net Direct Post","Post directe d'Authorize.net"
"Enabled","Habilitat"
"Payment Action","Acció de pagament"
"Title","Títol"
"API Login ID","ID d'accés de l'API"
"Transaction Key","Clau de Transacció"
"Merchant MD5","MD5 del Venedor"
"New Order Status","Nou estat de la comanda"
"Test Mode","Mode de Prova"
"Gateway URL","URL de la passarel·la"
"Transaction Details URL","Detalls de la URL de la Transacció"
"Accepted Currency","Moneda Acceptada"
"Debug","Depuració"
"Email Customer","Correu Electrònic del Client"
"Merchant's Email","Correu Electrònic del Venedor"
"Credit Card Types","Tipus de Targeta de Crèdit"
"Credit Card Verification","Verificació de la Targeta de Crèdit"
"Payment from Applicable Countries","Pagament de Països Acceptats"
"Payment from Specific Countries","Pagament de Països Específics"
"Minimum Order Total","Total Mínim de la Comanda"
"Maximum Order Total","Total Màxim de la Comanda"
"Sort Order","Criteri d'Ordenació"
"Cannot place order.","No es pot realitzar la comanda."
"'Gateway error: ' .","'Error de passarel·la: ' ."
"Unable to place order. Please try again later.","No s'ha pogut realitzar la comanda. Si us plau, intenteu-ho més tard."
"A server error stopped your order from being placed. Please try to place your order again.","Un error del servidor ha impedit la seva comanda. Si us plau, proveu de tornar a fer la vostra comanda."
"The transaction details are unavailable. Please try again later.","Els detalls de la transacció no estan disponibles. Si us plau, intenteu-ho més tard."
"Authorize.Net Direct Post (Deprecated)","Post directe Authorize.Net (Obsolet)"
"Signature Key","Clau de Signatura"
