"You created the order.","Jūs izveidojāt pasūtījumu."
"Order saving error: %1","Kļūda saglabājot pasūtījumu: %1"
"Please choose a payment method.","Izvēlieties maksāšanas veidu."
"We can't process your order right now. Please try again later.","Nevaram pašlaik apstrādāt Jūsu pasūtījumu. Mēģiniet vēlāk."
"An error occurred on the server. Please try to place the order again.","Servera kļūda. Mēģiniet pasūtījumu izveidot vēlreiz."
"Credit Card: xxxx-%1","Kredītkarte: xxxx-%1"
"amount %1","skaits %1"
"failed.","neizdevās."
"successful.","veiksmīgi."
"Authorize.Net Transaction ID %1.","Authorize.Net transakcijas ID %1."
"authorize","autorizēt"
"authorize and capture","autorizēt un saņemt"
"capture","saņemt"
"refund","atmaksāt"
"void","anulēt"
"Gateway error: %1","Vārtejas kļūda: %1"
"Something went wrong in the payment gateway.","Notikusi kļūda maksājuma vārtejā."
"Invalid amount for capture.","Nepareiza summa saņemšanai."
"Payment capturing error.","Maksājuma saņemšanas kļūda."
"Invalid transaction ID.","Nepareizs transakcijas ID."
"Payment voiding error.","Maksājuma anulācijas kļūda."
"Invalid amount for refund.","Nepareiza atmaksas summa."
"Payment refunding error.","Atmaksas maksājuma kļūda."
"The transaction was declined because the response hash validation failed.","Transakcija tika atcelta, jo atbildes hash validācija bija nepareiza."
"This payment didn't work out because we can't find this order.","Maksājums neizdevās, jo nevar atrast šo pasūtījumu."
"There was a payment authorization error.","Maksājuma autorizācijas kļūda."
"Please enter a transaction ID to authorize this payment.","Ievadiet transakcijas ID lai autorizētu šo maksājumu."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Kļūda: samaksātā summa neatbilst pasūtījuma summai. Izlabojiet un mēģiniet vēlreiz."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transakcija %1 tika apstiprināta. Summa %2. Transakcijas statuss ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transakcija %1 tika anulēta/noraidīta. Transakcijas statuss ir ""%2"". Summa %3."
"Authorize Only","Tikai autorizācija"
"Authorize and Capture","Autorizēt un saņemt"
"Unable to get transaction details. Try again later.","Nevar saņemt transakcijas detaļas. Mēģiniet vēlāk."
"Electronic payments save the trees.","Elektroniskiem maksājumi pasargā dabu."
"Credit Card Type","Kredītkartes veids"
"Please Select","Lūdzu izvēlieties"
"Credit Card Number","Kredītkartes numurs"
"Expiration Date","Derīguma termiņš"
"Card Verification Number","Kredītkartes pārbaudes kods"
"Fraud Detection ","Krāpšanas noteikšana "
"FDS Filter Action","FDS filtra darbība"
"AVS Response","AVS atbilde"
"Card Code Response","Kodu kartes atbilde"
"CAVV Response","CAVV atbilde"
"Fraud Filters","Krāpšanas filtri"
"Place Order","Veikt pasūtījumu"
"Sorry, but something went wrong. Please contact the seller.","Atvainojiet, notikusi kļūda. Sazinieties ar pārdevēju."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Enabled","Ieslēgts"
"Payment Action","Maksājuma darbība"
"Title","Nosaukums"
"API Login ID","API Login ID"
"Transaction Key","Transakcijas atslēga"
"Merchant MD5","Tirgotāja MD5"
"New Order Status","Jauna pasūtījuma statuss"
"Test Mode","Testa režīms"
"Gateway URL","Vārtejas URL"
"Transaction Details URL","Transakcijas informācijas URL"
"Accepted Currency","Akceptētā valūta"
"Debug","Atkļūdot"
"Email Customer","E-pasta klientam"
"Merchant's Email","Tirgotāja e-pasts"
"Credit Card Types","Kredītkaršu veidi"
"Credit Card Verification","Kredītkartes pārbaude"
"Payment from Applicable Countries","Maksājumi no pieejamām valstīm"
"Payment from Specific Countries","Maksājumi no noteiktām valstīm"
"Minimum Order Total","Minimālā pasūtījuma summa"
"Maximum Order Total","Maksimālā pasūtījuma summa"
"Sort Order","Kārtošanas secība"
"Cannot place order.","Nevar izveidot pasūtījumu."
"'Gateway error: ' .","'Vārtejas kļūda: ' ."
"Unable to place order. Please try again later.","Nevar izveidot pasūtījumu. Mēģiniet vēlāk."
"A server error stopped your order from being placed. Please try to place your order again.","Servera kļūdas dēļ pasūtījuma izveidošana ir pārtraukt. Mēģiniet pasūtījumu izveidot vēlreiz."
"The transaction details are unavailable. Please try again later.","Transakcijas informācija nav pieejama. Mēģiniet vēlāk vēlreiz."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Novecojis)"
"Signature Key","Paraksta atslēga"
