"You created the order.","Você criou a encomenda."
"Order saving error: %1","Erro na gravação da encomenda: %1"
"Please choose a payment method.","Por favor, escolha um método de pagamento."
"We can't process your order right now. Please try again later.","De momento não é possível processar a sua encomenda. Por favor tente novamente mais tarde."
"An error occurred on the server. Please try to place the order again.","Ocorreu um erro no servidor. Por favor, tente fazer o pedido novamente."
"Credit Card: xxxx-%1","Cartão de Crédito: xxxx-%1"
"amount %1","montante %1"
"failed.","falhou."
"successful.","sucesso."
"Authorize.Net Transaction ID %1.","ID da Transação Authorize.Net: %1."
"authorize","autorizar"
"authorize and capture","autorizar e capturar"
"capture","capturar"
"refund","reembolsar"
"void","anular"
"Gateway error: %1","Erro de gateway: %1"
"Something went wrong in the payment gateway.","Algo correu mal no gateway de pagamentos."
"Invalid amount for capture.","Quantia inválida para captura."
"Payment capturing error.","Erro na captura do pagamento."
"Invalid transaction ID.","O ID da transação é inválido."
"Payment voiding error.","Erro na anulação do pagamento."
"Invalid amount for refund.","Valor inválido para reembolso."
"Payment refunding error.","Erro no reembolso do pagamento."
"The transaction was declined because the response hash validation failed.","A transação foi recusada porque a validação do hash da resposta falhou."
"This payment didn't work out because we can't find this order.","O pagamento não foi efetuado porque não foi possível encontrar a encomenda."
"There was a payment authorization error.","Houve um erro na autorização do pagamento."
"Please enter a transaction ID to authorize this payment.","Por favor introduza o ID de uma transação para autorizar este pagamento."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Algo correu mal: o valor pago não coincide com o valor da encomenda. Por favor corrija o valor e tente novamente."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","A transação %1 foi aprovada. A quantidade é %2. O estado da transação é ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","A transacção %1 foi anulada/recusada. O estado da transacção é ""%2"". A quantidade é %3."
"Authorize Only","Autorizar apenas"
"Authorize and Capture","Autorizar e capturar"
"Unable to get transaction details. Try again later.","De momento é impossível obter os detalhes da transação. Por favor tente mais tarde."
"Electronic payments save the trees.","Pagamentos eletrónicos salvam árvores."
"Credit Card Type","Tipo de cartão de crédito"
"Please Select","Por favor selecione"
"Credit Card Number","Número de cartão de crédito"
"Expiration Date","Data de validade"
"Card Verification Number","Número de verificação de cartão"
"Fraud Detection ","Detecção de fraudes "
"FDS Filter Action","Ação do filtro FDS"
"AVS Response","Resposta AVS"
"Card Code Response","Resposta Card Code"
"CAVV Response","Resposta CAVV"
"Fraud Filters","Filtros de fraude"
"Place Order","Encomendar"
"Sorry, but something went wrong. Please contact the seller.","Pedimos desculpa, mas algo correu mal. Por favor contacte o vendedor."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Enabled","Ativo"
"Payment Action","Ação de Pagamento"
"Title","Título"
"API Login ID","ID de Login da API"
"Transaction Key","Chave de Transação"
"Merchant MD5","MD5 do Comerciante"
"New Order Status","Estado da Nova Encomenda"
"Test Mode","Modo de Teste"
"Gateway URL","URL do Gateway"
"Transaction Details URL","URL dos Detalhes da Transação"
"Accepted Currency","Moedas Aceites"
"Debug","Depurar"
"Email Customer","Enviar Email ao Cliente"
"Merchant's Email","E-mail do Comerciante"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação do Cartão de Crédito"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Minimum Order Total","Valor Mínimo da Encomenda"
"Maximum Order Total","Valor Máximo da Encomenda"
"Sort Order","Ordenação"
"Cannot place order.","Não é possível efetuar a encomenda."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Não foi possível efetuar a encomenda. Por favor, tente novamente mais tarde."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
