"You created the order.","Bạn đã đặt hàng."
"Order saving error: %1","Lỗi lưu đơn hàng: %1"
"Please choose a payment method.","Chọn một phương thức thanh toán."
"We can't process your order right now. Please try again later.","Chúng tôi không thể xử lý đơn hàng của bạn ngay bây giờ. Xin vui lòng thử lại sau."
"An error occurred on the server. Please try to place the order again.","Lỗi xuất hiện trên máy chủ. Hãy thử đặt hàng lại một lần nữa."
"Credit Card: xxxx-%1","Thẻ tín dụng: xxxx-%1"
"amount %1","số tiền %1"
"failed.","thất bại."
"successful.","thành công."
"Authorize.Net Transaction ID %1.","Authorize.Net ID giao dịch %1."
"authorize","ủy quyền"
"authorize and capture","Ủy quyền và chấp nhận giao dịch"
"capture","xác nhận giao dịch"
"refund","hoàn trả"
"void","hủy"
"Gateway error: %1","Lỗi cổng thanh toán: %1"
"Something went wrong in the payment gateway.","Có vấn để ở cổng thanh toán."
"Invalid amount for capture.","Số tiền không đúng cho xác nhận giao dịch."
"Payment capturing error.","Lỗi xác nhận giao dịch."
"Invalid transaction ID.","Giao dịch ID không đúng."
"Payment voiding error.","Lỗi hủy thanh toán."
"Invalid amount for refund.","Số tiền hoàn trả không đúng."
"Payment refunding error.","Lỗi thanh toán hoàn trả."
"The transaction was declined because the response hash validation failed.","Giao dịch bị từ chối bởi vì chuỗi xác nhận thất bại."
"This payment didn't work out because we can't find this order.","Thanh toán không được thực hiện do không tìm thấy đơn hàng tương ứng."
"There was a payment authorization error.","Lỗi ủy quyền thanh toán."
"Please enter a transaction ID to authorize this payment.","Vui lòng điền ID giao dịch để ủy quyền thanh toán."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Số tiền thanh toán và tiền đơn hàng khác nhau. Hãy kiểm tra lại."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 has been approved. Amount %2. Transaction status is ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3."
"Authorize Only","Chỉ ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"Unable to get transaction details. Try again later.","Không thể nhận được chi tiết giao dịch. Thử lại lần nữa."
"Electronic payments save the trees.","Electronic payments save the trees."
"Credit Card Type","Loại thẻ tín dụng"
"Please Select","Vui lòng chọn"
"Credit Card Number","Số thẻ tín dụng"
"Expiration Date","Ngày hết hạn"
"Card Verification Number","Số xác minh thẻ"
"Fraud Detection ","Phát hiện gian lận "
"FDS Filter Action","Hoạt động lọc FDS"
"AVS Response","Phản hồi AVS Response"
"Card Code Response","Phản hồi mã thẻ"
"CAVV Response","Phản hồi CAVV"
"Fraud Filters","Bộ lọc gian lận"
"Place Order","Đặt hàng"
"Sorry, but something went wrong. Please contact the seller.","Xin lỗi, nhưng có gì đó đã đi sai. Xin vui lòng liên hệ với dịch vụ khách hàng của PayPal."
"Authorize.net Direct Post","Phương Thức Thanh Toán Direct Post của Authorize.net"
"Enabled","Cho phép"
"Payment Action","Hành động thanh toán"
"Title","Tiêu đề"
"API Login ID","ID Đăng Nhập qua API"
"Transaction Key","Mã Giao Dịch"
"Merchant MD5","Mã Khóa Merchant MD5"
"New Order Status","Trạng thái đơn hàng mới"
"Test Mode","Chế độ dùng thử"
"Gateway URL","Đường Dẫn URL của Cổng Thanh Toán"
"Transaction Details URL","Đường Dẫn đến Chi Tiết Giao Dịch"
"Accepted Currency","Tiền Tệ Được Chấp Nhận"
"Debug","Sửa Lỗi"
"Email Customer","Địa Chỉ Email Khách Hàng"
"Merchant's Email","Địa Chỉ Email Người Bán"
"Credit Card Types","Các Loại Thẻ Tín Dụng"
"Credit Card Verification","Xác Minh Thẻ Tín Dụng"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Minimum Order Total","Giá Trị Đơn Hàng Tối Thiểu"
"Maximum Order Total","Giá Trị Đơn Hàng Tối Đa"
"Sort Order","Thứ tự sắp xếp"
"Cannot place order.","Không thể đặt hàng."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Không thể đặt hàng. Xin vui lòng thử lại sau."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
