"You created the order.","Vi ste kreirali narudžbinu."
"Order saving error: %1","Redosled čuvanja greške: %1"
"Please choose a payment method.","Odaberite način plaćanja."
"We can't process your order right now. Please try again later.","We can't process your order right now. Please try again later."
"An error occurred on the server. Please try to place the order again.","Došlo je do greške na serveru. Pokušajte da ponovo pošaljete porudžbinu."
"Credit Card: xxxx-%1","Kreditna kartica: xxxx-%1"
"amount %1","iznos %1"
"failed.","nije uspelo."
"successful.","uspešno."
"Authorize.Net Transaction ID %1.","Authorize.Net transakcija ID %1."
"authorize","ovlašćen"
"authorize and capture","ovlašćen i prihvaćen"
"capture","prihvati"
"refund","povraćaj novca"
"void","poništi"
"Gateway error: %1","Greška u prolazu: %1"
"Something went wrong in the payment gateway.","Došlo je do greške pri prolasku plaćanja."
"Invalid amount for capture.","Neispravna vrednost za prihvaćanje."
"Payment capturing error.","Greška pri prihvatanju plaćanja."
"Invalid transaction ID.","Neispravan ID transakcije."
"Payment voiding error.","Greška kod poništavanja plaćanja."
"Invalid amount for refund.","Neispravna vrednost za povraćaj novca."
"Payment refunding error.","Greška kod povraćaja novca."
"The transaction was declined because the response hash validation failed.","Transakcija je odbijena jer nije prošla proveru podataka."
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order."
"There was a payment authorization error.","Došlo je do greške pri autorizaciji plaćanja."
"Please enter a transaction ID to authorize this payment.","Molim uneti ID transakcije za autorizaciju ovog plaćanja."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transakcija %1 je odobrena. Vrednost %2. Status transakcije je ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transakcija %1 je odbijena/poništena. Status transakcije je ""%2"". Vrednost je %3."
"Authorize Only","Samo odobriti"
"Authorize and Capture","Odobriti i prihvatiti"
"Unable to get transaction details. Try again later.","Nije moguće dobiti detalje o transakciji. Pokuštajte ponovo kasnije."
"Electronic payments save the trees.","Elektronsko plaćanje ćuva drveće."
"Credit Card Type","Vrsta kreditne kartice"
"Please Select","Molim odaberite"
"Credit Card Number","Broj kreditne kartice"
"Expiration Date","Datum isteka"
"Card Verification Number","Verifikacioni broj kartice"
"Fraud Detection ","Uočena prevara "
"FDS Filter Action","FDS Filter akcije"
"AVS Response","AVS odgovor"
"Card Code Response","Odgovor na kod kartice"
"CAVV Response","CAVV odgovor"
"Fraud Filters","Filteri prevare"
"Place Order","Postavite porudžbinu"
"Sorry, but something went wrong. Please contact the seller.","Žao nam je, ali nešto je krenulo pogrešno. Molim kontaktirati prodavca."
"Authorize.net Direct Post","Authorize.net Direktna pošta"
"Enabled","Omogućeno"
"Payment Action","Akcija plaćanja"
"Title","Naslov"
"API Login ID","API ID za prijavu"
"Transaction Key","Ključ transakcije"
"Merchant MD5","MD5 prodavca"
"New Order Status","Novi status porudžbine"
"Test Mode","Režim testa"
"Gateway URL","URL adresa mrežnog prolaza"
"Transaction Details URL","Detalji transakcije URL adrese"
"Accepted Currency","Prihvaćene valute"
"Debug","Otklanjanje grešaka"
"Email Customer","E-pošte kupca"
"Merchant's Email","E-mail trgovca"
"Credit Card Types","Vrsta kreditne kartice"
"Credit Card Verification","Verifikacija kreditne kartice"
"Payment from Applicable Countries","Plaćanja iz privaćenih zemalja"
"Payment from Specific Countries","Plaćanja iz određenih zemalja"
"Minimum Order Total","Minimalna vrednost porudžbine"
"Maximum Order Total","Maksimalna vrednost porudžbine"
"Sort Order","Redosled porudžbina"
"Cannot place order.","Cannot place order."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Nije moguće postaviti narudžbinu. Pokušajte ponovo kasnije."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
