"You created the order.","ඔබ ඇණවුම නිර්මාණය කළා."
"Order saving error: %1","ඇණවුම් සුරැකීමේ දෝෂය: %1"
"Please choose a payment method.","කරුණාකර ගෙවීම් ක්‍රමයක් තෝරන්න."
"We can't process your order right now. Please try again later.","අපට දැන් ඔබගේ ඇණවුම ක්‍රියාවට නැංවිය නොහැක. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"An error occurred on the server. Please try to place the order again.","සේවාදායකයේ දෝෂයක් ඇති විය. කරුණාකර නැවත ඇණවුම කිරීමට උත්සාහ කරන්න."
"Credit Card: xxxx-%1","ක්රෙඩිට් කාඩ්: xxxx-%1"
"amount %1","මුදල %1"
"failed.","අසාර්ථක විය."
"successful.","සාර්ථක."
"Authorize.Net Transaction ID %1.","Authorize.Net Transaction ID %1."
"authorize","අවසරලත්"
"authorize and capture","අවසර දීම සහ අල්ලා ගැනීම"
"capture","අල්ලා ගැනීම"
"refund","ආපසු ගෙවීම"
"void","හිස්"
"Gateway error: %1","ද්වාර දෝෂය: %1"
"Something went wrong in the payment gateway.","ගෙවීම් දොරටුවේ යම් දෙයක් වැරදී ඇත."
"Invalid amount for capture.","අල්ලා ගැනීම සඳහා වලංගු නොවන මුදල."
"Payment capturing error.","ගෙවීම් ග්‍රහණය කිරීමේ දෝෂයකි."
"Invalid transaction ID.","වලංගු නොවන ගනුදෙනු හැඳුනුම්පතක්."
"Payment voiding error.","ගෙවීම් අවලංගු කිරීමේ දෝෂයකි."
"Invalid amount for refund.","ආපසු ගෙවීම සඳහා වලංගු නොවන මුදලක්."
"Payment refunding error.","ගෙවීම් ආපසු ගෙවීමේ දෝෂයකි."
"The transaction was declined because the response hash validation failed.","ප්‍රතිචාර හැෂ් වලංගු කිරීම අසාර්ථක වූ නිසා ගනුදෙනුව ප්‍රතික්ෂේප විය."
"This payment didn't work out because we can't find this order.","අපට මෙම ඇණවුම සොයාගත නොහැකි නිසා මෙම ගෙවීම ක්‍රියාත්මක වූයේ නැත."
"There was a payment authorization error.","ගෙවීම් අවසර දීමේ දෝෂයක් ඇති විය."
"Please enter a transaction ID to authorize this payment.","මෙම ගෙවීම අනුමත කිරීමට ගනුදෙනු හැඳුනුම්පතක් ඇතුළු කරන්න."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","යම් දෙයක් වැරදී ඇත: ගෙවූ මුදල ඇණවුම් මුදලට නොගැලපේ. කරුණාකර මෙය නිවැරදි කර නැවත උත්සාහ කරන්න."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","ගනුදෙනු %1 අනුමත කර ඇත. මුදල %2. ගනුදෙනු තත්ත්වය ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","%1 ගනුදෙනුව අවලංගු/ප්‍රතික්ෂේප කර ඇත. ගනුදෙනු තත්ත්වය ""%2"" වේ. මුදල %3."
"Authorize Only","අවසර දීම පමණි"
"Authorize and Capture","අවසර දීම සහ අල්ලා ගැනීම"
"Unable to get transaction details. Try again later.","ගනුදෙනු විස්තර ලබා ගැනීමට නොහැකි විය. පසුව නැවත උත්සාහ කරන්න."
"Electronic payments save the trees.","ඉලෙක්ට්රොනික ගෙවීම් ගස් ඉතිරි කරයි."
"Credit Card Type","ක්රෙඩිට් කාඩ් වර්ගය"
"Please Select","කරුණාකර තෝරන්න"
"Credit Card Number","ණය පත් අංකය"
"Expiration Date","කල්පිරෙන දිනය"
"Card Verification Number","කාඩ් සත්යාපනය අංකය"
"Fraud Detection ","වංචා අනාවරණය "
"FDS Filter Action","FDS පෙරහන් ක්‍රියාව"
"AVS Response","AVS ප්‍රතිචාරය"
"Card Code Response","කාඩ්පත් කේත ප්‍රතිචාරය"
"CAVV Response","CAVV ප්‍රතිචාරය"
"Fraud Filters","වංචා පෙරහන්"
"Place Order","ඇනවුම කරන්න"
"Sorry, but something went wrong. Please contact the seller.","කණගාටුයි, නමුත් යමක් වැරදී ඇත. කරුණාකර විකුණුම්කරු අමතන්න."
"Authorize.net Direct Post","Authorize.net සෘජු තැපැල්"
"Enabled","සබල කර ඇත"
"Payment Action","ගෙවීම් ක්‍රියාව"
"Title","ශීර්ෂය"
"API Login ID","API පිවිසුම් ID"
"Transaction Key","ගනුදෙනු යතුර"
"Merchant MD5","වෙළෙන්දා MD5"
