"You created the order.","注文を作成しました"
"Order saving error: %1","注文保存エラー: %1"
"Please choose a payment method.","支払方法を選択してください。"
"We can't process your order right now. Please try again later.","クレジットカード: xxxx-%1"
"An error occurred on the server. Please try to place the order again.","サーバーでエラーが発生しました。もう一度注文してください。"
"Credit Card: xxxx-%1","クレジットカード: xxxx-%1"
"amount %1","額 %1"
"failed.","失敗。"
"successful.","成功。"
"Authorize.Net Transaction ID %1.","Authorize.Net Transaction ID %1"
"authorize","承認"
"authorize and capture","承認と取込"
"capture","取込"
"refund","返金"
"void","無効"
"Gateway error: %1","ゲートウェイエラー: %1"
"Something went wrong in the payment gateway.","支払いゲートウェイで問題が発生しました。"
"Invalid amount for capture.","取込のための無効な額"
"Payment capturing error.","支払い取込エラー"
"Invalid transaction ID.","無効なトランザクション ID."
"Payment voiding error.","支払い無効エラー"
"Invalid amount for refund.","返金のための無効な額"
"Payment refunding error.","支払い返金エラー"
"The transaction was declined because the response hash validation failed.","レスポンスハッシュ認証が失敗したためトランザクションは拒否されました。"
"This payment didn't work out because we can't find this order.","この注文が見つからなかったので支払いは実行されませんでした。"
"There was a payment authorization error.","支払い認証エラーが起きました。"
"Please enter a transaction ID to authorize this payment.","この支払を承認するためにトランザクションIDを入力してください。"
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","問題が発生しました: 支払われた額は注文額にマッチしません。修正後に再度修正してください。"
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","トランザクション %1 承認されました。 額%2。 トランザクションステータスは ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","トランザクション %1 は無効化/却下されました。トランザクションステータスは ""%2""。 額 %3。"
"Authorize Only","認証のみ"
"Authorize and Capture","認証と取込"
"Unable to get transaction details. Try again later.","トランザクション詳細が得られませんでした。再度お試しください。"
"Electronic payments save the trees.","電子決済はエコロジーです。"
"Credit Card Type","クレジットカード会社"
"Please Select","選択してください"
"Credit Card Number","クレジットカード番号"
"Expiration Date","有効期限日"
"Card Verification Number","セキュリティコード"
"Fraud Detection ","詐欺行為検知"
"FDS Filter Action","FDS フィルターアクション"
"AVS Response","AVS レスポンス"
"Card Code Response","カードコードレスポンス"
"CAVV Response","CAVV レスポンス"
"Fraud Filters","詐欺行為フィルター"
"Place Order","注文を確定する"
"Sorry, but something went wrong. Please contact the seller.","申し訳ありませんが、何か問題が発生しました。販売業者にご連絡してください。"
"Authorize.net Direct Post","Authorize.net ダイレクトポスト"
"Enabled","有効"
"Payment Action","決済アクション"
"Title","タイトル"
"API Login ID","APIログインID"
"Transaction Key","トランザクションキー"
"Merchant MD5","マーチャントMD5"
"New Order Status","新規注文ステータス"
"Test Mode","テストモード"
"Gateway URL","ゲートウェイURL"
"Transaction Details URL","トランザクション詳細のURL"
"Accepted Currency","支払可能通貨"
"Debug","デバッグ"
"Email Customer","顧客メールアドレス"
"Merchant's Email","マーチャントメールアドレス"
"Credit Card Types","クレジットカード種別"
"Credit Card Verification","カード確認番号"
"Payment from Applicable Countries","支払方法を適用できる国"
"Payment from Specific Countries","特定の国からの支払い"
"Minimum Order Total","注文合計最小値"
"Maximum Order Total","注文合計最大値"
"Sort Order","表示順"
"Cannot place order.","注文ができません。"
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","ご注文を確定できません。時間をおいてお試しください。"
"A server error stopped your order from being placed. Please try to place your order again.","サーバーエラーにより、注文が中止されました。 もう一度やり直してください。"
"The transaction details are unavailable. Please try again later.","トランザクション詳細が利用できません。後で再度お試し下さい。"
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
