"You created the order.","Objednávka byla vytvořena."
"Order saving error: %1","Chyba při ukládání objednávky: %1"
"Please choose a payment method.","Zvolte způsob platby prosím."
"We can't process your order right now. Please try again later.","Vaši objednávku nelze momentálně zpracovat. Opakujte akci později prosím."
"An error occurred on the server. Please try to place the order again.","Na serveru došlo k chybě. Zkuste provést objednávku znovu."
"Credit Card: xxxx-%1","Číslo karty: xxxx-%1"
"amount %1","částka %1"
"failed.","chyba."
"successful.","úspěšná."
"Authorize.Net Transaction ID %1.","Authorize.Net transakce ID %1."
"authorize","schválit"
"authorize and capture","schválit a získat"
"capture","získat"
"refund","vrátit"
"void","anulovat"
"Gateway error: %1","Chyba brány: %1"
"Something went wrong in the payment gateway.","V platební bráně nastala chyba."
"Invalid amount for capture.","Neplatná částka pro získání."
"Payment capturing error.","Při získání platby nastala chyba."
"Invalid transaction ID.","Neplatné ID transakce."
"Payment voiding error.","Při anulování platby nastala chyba."
"Invalid amount for refund.","Chybná částka ke vrácení."
"Payment refunding error.","Při vrácení platby nastala chyba."
"The transaction was declined because the response hash validation failed.","Transakce byla zamítnuta, protože reakce na ověřovací algoritmus selhala."
"This payment didn't work out because we can't find this order.","Platbu nelze zpracovat, protože tuto objednávku nelze najít."
"There was a payment authorization error.","Při schválení platby nastala chyba."
"Please enter a transaction ID to authorize this payment.","Ke schválení této platby zadejte ID transakce."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Něco se pokazilo: zaplacená částka neodpovídá hodnotě objednávky. Opravte hodnotu prosím a opakujte akci."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transakce %1 byla schválena. Částka %2. Stav transakce je ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transakce %1 byla anulována/odmítnuta. Stav transakce je ""%2"". Částka %3."
"Authorize Only","Pouze schválit"
"Authorize and Capture","Schválit a získat"
"Unable to get transaction details. Try again later.","Podrobnosti transakce nelze získat. Opakujte akci později."
"Electronic payments save the trees.","Elektronické platby chrání stromy."
"Credit Card Type","Typ platební karty"
"Please Select","Vyberte"
"Credit Card Number","Číslo platební karty"
"Expiration Date","Datum expirace"
"Card Verification Number","Ověřovací číslo karty"
"Fraud Detection ","Detekce podvodů "
"FDS Filter Action","Akce filtru FDS"
"AVS Response","AVS odpověď"
"Card Code Response","Odpověď kódu karty"
"CAVV Response","CAVV odpověď"
"Fraud Filters","Filtry podvodů"
"Place Order","Objednat"
"Sorry, but something went wrong. Please contact the seller.","Omlouváme se, ale něco se pokazilo. Kontaktujte naší zákaznickou linku."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Enabled","Zapnuto"
"Payment Action","Platební akce"
"Title","Název"
"API Login ID","API Login ID"
"Transaction Key","Transakční klíč"
"Merchant MD5","MD5 obchodníka"
"New Order Status","Stav nové objednávky"
"Test Mode","Testovací režim"
"Gateway URL","URL brány"
"Transaction Details URL","URL detailů transakce"
"Accepted Currency","Akceptovaná měna"
"Debug","Ladící režim"
"Email Customer","E-mail zákazníka"
"Merchant's Email","E-mail obchodníka"
"Credit Card Types","Typy platebních karet"
"Credit Card Verification","Ověření platební karty"
"Payment from Applicable Countries","Platby z dostupných zemí"
"Payment from Specific Countries","Platby ze zvolených zemí"
"Minimum Order Total","Minimální hodnota objednávky"
"Maximum Order Total","Maximální hodnota objednávky"
"Sort Order","Řadit podle"
"Cannot place order.","Objednávku nelze vytvořit."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Objednávku se nepodařilo odeslat, zkuste to prosím později."
"A server error stopped your order from being placed. Please try to place your order again.","Chyba serveru zastavila zadávání objednávky. Zkuste prosím objednávku znovu zadat."
"The transaction details are unavailable. Please try again later.","Podrobnosti o transakcích nejsou dostupné. Prosím, zkuste to opět později."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
