"You created the order.","Ви сте креирали наруџбину."
"Order saving error: %1","Редослед чувања грешке: %1"
"Please choose a payment method.","Одаберите начин плаћања."
"We can't process your order right now. Please try again later.","Не можемо обрадити вашу поруџбину сада. Покушајте касније."
"An error occurred on the server. Please try to place the order again.","Дошло је до грешке на серверу. Покушајте да поново пошаљете поруџбину."
"Credit Card: xxxx-%1","Кредитна картица: xxxx-%1"
"amount %1","износ %1"
"failed.","није успело."
"successful.","успешно."
"Authorize.Net Transaction ID %1.","Аутхоризе.Нет трансакција ИД %1."
"authorize","овлашћен"
"authorize and capture","овлашћен и прихваћен"
"capture","прихвати"
"refund","повраћај новца"
"void","поништи"
"Gateway error: %1","Грешка у пролазу: %1"
"Something went wrong in the payment gateway.","Дошло је до грешке при проласку плаћања."
"Invalid amount for capture.","Неисправна вредност за прихваћање."
"Payment capturing error.","Грешка при прихватању плаћања."
"Invalid transaction ID.","Неисправан ИД трансакције."
"Payment voiding error.","Грешка код поништавања плаћања."
"Invalid amount for refund.","Неисправна вредност за повраћај новца."
"Payment refunding error.","Грешка код повраћаја новца."
"The transaction was declined because the response hash validation failed.","Трансакција је одбијена јер није прошла проверу података."
"This payment didn't work out because we can't find this order.","Ово плаћање није успело јер не можемо пронаћи поруџбину."
"There was a payment authorization error.","Дошло је до грешке при ауторизацији плаћања."
"Please enter a transaction ID to authorize this payment.","Молим унети ИД трансакције за ауторизацију овог плаћања."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Дошло је до грешке: плаћени износ не одговара износу поруџбине. Исправите ово и покуушајте поново."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Трансакција %1 је одобрена. Вредност %2. Статус трансакције је ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Трансакција %1 је одбијена/поништена. Статус трансакције је ""%2"". Вредност је %3."
"Authorize Only","Само одобрити"
"Authorize and Capture","Одобрити и прихватити"
"Unable to get transaction details. Try again later.","Није могуће добити детаље о трансакцији. Покуштајте поново касније."
"Electronic payments save the trees.","Електронско плаћање ћува дрвеће."
"Credit Card Type","Врста кредитне картице"
"Please Select","Молим одаберите"
"Credit Card Number","Број кредитне картице"
"Expiration Date","Датум истека"
"Card Verification Number","Верификациони број картице"
"Fraud Detection ","Уочена превара"
"FDS Filter Action","ФДС Филтер акције"
"AVS Response","АВС одговор"
"Card Code Response","Одговор на код картице"
"CAVV Response","ЦАВВ одговор"
"Fraud Filters","Филтери преваре"
"Place Order","Поставите поруџбину"
"Sorry, but something went wrong. Please contact the seller.","Жао нам је, али нешто је кренуло погрешно. Молим контактирати продавца."
"Authorize.net Direct Post","Аутхоризе.нет Директна пошта"
"Enabled","Омогућено"
"Payment Action","Акција плаћања"
"Title","Наслов"
"API Login ID","АПИ ИД за пријаву"
"Transaction Key","Кључ трансакције"
"Merchant MD5","МД5 продавца"
"New Order Status","Нови статус поруџбине"
"Test Mode","Режим теста"
"Gateway URL","УРЛ адреса мрежног пролаза"
"Transaction Details URL","Детаљи трансакције УРЛ адресе"
"Accepted Currency","Прихваћене валуте"
"Debug","Отклањање грешака"
"Email Customer","Е-поште купца"
"Merchant's Email","Е-маил трговца"
"Credit Card Types","Врста кредитне картице"
"Credit Card Verification","Верификација кредитне картице"
"Payment from Applicable Countries","Плаћања из приваћених земаља"
"Payment from Specific Countries","Плаћања из одређених земаља"
"Minimum Order Total","Минимална вредност поруџбине"
"Maximum Order Total","Максимална вредност поруџбине"
"Sort Order","Редослед поруџбина"
"Cannot place order.","Није могуће поставити поруџбину."
"'Gateway error: ' .","Гатеwаy грешка: ' ."
"Unable to place order. Please try again later.","Није могуће поставити наруџбину. Покушајте поново касније."
"A server error stopped your order from being placed. Please try to place your order again.","Грешка на серверу је зауставила поруџбину. Покушајте да поставите ваше понуде поново."
"The transaction details are unavailable. Please try again later.","Детаљи трансакције нису доступни. Покушајте касније."
"Authorize.Net Direct Post (Deprecated)","Аутхоризе.Нет Директан Пост (Депрецатед)"
"Signature Key","Кључ Потписа"
