"You created the order.","Ви створили замовлення."
"Order saving error: %1","Помилка збереження замовлення: %1"
"Please choose a payment method.","Будь ласка, виберіть спосіб оплати."
"We can't process your order right now. Please try again later.","Наразі ми не можемо опрацювати ваше замовлення. Будь ласка, спробуйте ще раз пізніше."
"An error occurred on the server. Please try to place the order again.","На сервері сталася помилка. Будь ласка, спробуйте розмістити замовлення знову."
"Credit Card: xxxx-%1","Кредитна картка: xxxx-%1"
"amount %1","обсяг %1"
"failed.","не вдалося."
"successful.","успішно."
"Authorize.Net Transaction ID %1.","Ідентифікатор транзакції Authorize.Net %1."
"authorize","авторизувати"
"authorize and capture","авторизувати і блокувати"
"capture","блокувати"
"refund","повернення"
"void","недійсний"
"Gateway error: %1","Помилка шлюзу: %1"
"Something went wrong in the payment gateway.","Щось пішло не так у платіжному шлюзі."
"Invalid amount for capture.","Неприпустима сума для блокування."
"Payment capturing error.","Помилка блокування платежу."
"Invalid transaction ID.","Недійсний ідентифікатор транзакції."
"Payment voiding error.","Помилка анулювання платежу."
"Invalid amount for refund.","Неприпустима сума для повернення."
"Payment refunding error.","Помилка повернення платежу."
"The transaction was declined because the response hash validation failed.","Транзакцію було відхилено через невдалу валідацію хеша відповіді."
"This payment didn't work out because we can't find this order.","Цей платіж не спрацював, тому що ми не можемо знайти це замовлення."
"There was a payment authorization error.","Сталася помилка авторизації платежу."
"Please enter a transaction ID to authorize this payment.","Будь ласка, введіть ідентифікатор транзакції, щоб авторизувати цей платіж."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Щось пішло не так: сплачена сума не відповідає сумі замовлення. Будь ласка, виправте це і повторіть спробу."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Транзакція %1 була схвалена. Сума - %2. Статус транзакції - ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Транзакція %1 була анульована/відхилена. Статус транзакції - ""%2"". Сума - %3."
"Authorize Only","Тільки авторизувати"
"Authorize and Capture","Авторизувати та Захопити"
"Unable to get transaction details. Try again later.","Немає змоги отримати деталі транзакції. Повторіть спробу пізніше."
"Electronic payments save the trees.","Електронні платежі рятують ліс."
"Credit Card Type","Тип Кредитної Картки"
"Please Select","Виберіть, будь ласка"
"Credit Card Number","Номер Кредитної Картки"
"Expiration Date","Дата Збігає"
"Card Verification Number","Номер Підтвердження Картки"
"Fraud Detection ","Виявлення шахрайства "
"FDS Filter Action","Дія FDS-фільтра"
"AVS Response","Відповідь AVS"
"Card Code Response","Відповідь коду картки"
"CAVV Response","Відповідь CAVV"
"Fraud Filters","Фільтри шахрайства"
"Place Order","Розмістити Замовлення"
"Sorry, but something went wrong. Please contact the seller.","На жаль щось пішло не так. Будь ласка, зв'яжіться з продавцем."
"Authorize.net Direct Post","Пряме подання Authorize.net"
"Enabled","Ввімкнено"
"Payment Action","Дія Оплати"
"Title","Назва"
"API Login ID","Ідентифікатор логіну API"
"Transaction Key","Ключ транзакції"
"Merchant MD5","MD5 мерчанта"
"New Order Status","Статус нового замовлення"
"Test Mode","Тестовий режим"
"Gateway URL","URL-адреса шлюзу"
"Transaction Details URL","URL подробиць транзакції"
"Accepted Currency","Валюта, що приймається"
"Debug","Відладка"
"Email Customer","Написати ел. листа покупцеві"
"Merchant's Email","Електронна пошта мерчанта"
"Credit Card Types","Типи Кредитних Карток"
"Credit Card Verification","Перевірка кредитної картки"
"Payment from Applicable Countries","Платіж з Відповідних Країн"
"Payment from Specific Countries","Платіж з Конкретних Країн"
"Minimum Order Total","Мінімальний підсумок замовлення"
"Maximum Order Total","Максимальний підсумок замовлення"
"Sort Order","Порядок Сортування"
"Cannot place order.","Неможливо розмістити замовлення."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Не вдалося розмістити замовлення. Будь ласка, спробуйте ще раз пізніше."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
