"Billing Agreements","قراردادهای صورت حساب"
"ID","شناسه"
"Email","ايميل"
"First Name","نام"
"Last Name","نام خانوادگی"
"Reference ID","شناسه‌ی ارجاع"
"Status","وضعيت"
"Created","ايجاد شد"
"N/A","هیچ"
"Updated","به روز رسانی شده"
"Back","بازگشت"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Cancel","لغو"
"Billing Agreement #%1","توافقنامه صورتحساب #%1"
"General Information","اطلاعات عمومی"
"Related Orders","سفارش‌های مرتبط"
"Order","سفارش"
"Purchased","خریداری شده"
"Bill-to Name","صورتحساب به نام"
"Ship-to Name","ارسال به نام"
"Order Total","مجموع سفارش"
"Purchase Point","نقطه خرید"
"Billing Agreement View","مشاهده‌ی قرارداد صورت حساب"
"Are you sure you want to authorize full order amount?","Are you sure you want to authorize full order amount?"
"Authorize","Authorize"
"View Transaction Details","مشاهده‌ی جزییات تراکنش"
"Reference Information","اطلاعات ارجاع"
"Transaction Information","اطلاعات تراکنش"
"PayPal Fee Information","اطلاعات هزینه‌ی پی پال"
"PayPal Settlement Reports","گزارش‌های توافق پی پال"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","ما برای پیاده سازی گزارش های جدید، به سرور PayPal SFTP متصل می شویم. آیا مطمئن هستید که میخواهید ادامه دهید?"
"Fetch Updates","به روز رسانی‌های آوردن"
"button_label","برچسب دکمه"
"sandbox_button_label","sandbox_button_label"
"Help","کمک"
"Configure","پیکربندی"
"Close","بستن"
"Learn More","بیشتر بدانید"
"View Demo","مشاهده‌ی نمونه‌ی نمایشی"
"See terms","شرایط را ببینید"
"You will be redirected to the PayPal website.","شما به وب‌سایت پی پال هدایت خواهید شد."
"You will be redirected to the PayPal website when you place an order.","هنگامی که شما سفارشی بدهید به وب‌سایت پی پال هدایت خواهید شد."
"Incl. Tax","با مالیات"
"Billing Information","اطلاعات صورت حساب"
"Shipping Information","اطلاعات ارسال"
"Invalid block type","نوع بلوک نامعتبر"
"Please specify the correct billing agreement ID and try again.","لطفا شناسه موافقتنامه صورتحساب صحیح را مشخص کنید و دوباره امتحان کنید."
"You canceled the billing agreement.","توافقنامه صورتحساب را لغو کردید."
"We can't cancel the billing agreement.","ما نمی توانیم توافقنامه صورتحساب را لغو کنیم."
"You deleted the billing agreement.","توافقنامه صورتحساب را حذف کردید."
"We can't delete the billing agreement.","ما نمی توانیم توافقنامه صورتحساب را حذف کنیم."
"Payment authorization has been successfully created.","Payment authorization has been successfully created."
"Unable to make payment authorization.","Unable to make payment authorization."
"Reports","گزارش‌ ها"
"Sales","حراجی ها"
"View Transaction","مشاهده‌ی تراکنش"
"We found nothing to fetch because of an empty configuration.","به دلیل یک پیکربندی خالی، هیچ چیز برای پیکربندی یافت نشد."
"We fetched %1 report rows from ""%2@%3.""","ما %1 ردیف گزارش از ""%2@%3"" دریافت کردیم"
"We can't fetch reports from ""%1@%2.""","ما نمیتوانیم گزارش از ""%1@%2."" را دریافت کنیم"
"The billing agreement ""%1"" has been canceled.","توافقنامه صورتحساب ""%1"" لغو شده است."
"The billing agreement ""%1"" has been created.","توافقنامه صورتحساب ""%1"" ایجاد شده است."
"We couldn't finish the billing agreement wizard.","ما نمی توانیم ویزارد توافقنامه صورتحساب را پایان دهیم."
"We can't start the billing agreement wizard.","ما نمی توانیم ویزارد توافقنامه صورتحساب را شروع کنیم."
"Billing Agreement # %1","توافقنامه صورتحساب #%1"
"We can't initialize Express Checkout.","ما نمی توانیم پرداخت اکسپرس را راه اندازی کنیم."
"PayPal Express Checkout Token does not exist.","نشانه‌ی تسویه‌ی سریع پی پال موجود نیست."
"A wrong PayPal Express Checkout Token is specified.","یک اشتباه پی پال اکسپرس رمز پرداخت مشخص شده است."
"Express Checkout and Order have been canceled.","تسویه‌ی سریع و سفارش لغو شدند."
"Express Checkout has been canceled.","تسویه‌ی سریع لغو شد."
"Unable to cancel Express Checkout","قادر به لغو پرداخت اکسپرس نیست"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't process Express Checkout approval.","ما نمیتوانیم پرداخت اکسپرس را تأیید پردازش کنیم."
"We can't initialize Express Checkout review.","ما نمی توانیم بررسی پرداخت اکسپرس را راه اندازی کنیم."
"We can't update shipping method.","ما نمی توانیم روش حمل و نقل را به روز کنیم."
"We can't start Express Checkout.","ما نمی توانیم پرداخت اکسپرس را شروع کنیم."
"To check out, please sign in with your email address.","برای چک کردن، لطفا با آدرس ایمیل خود وارد شوید."
"Sorry, but something went wrong","با عرض پوزش، اشتباهی رخ داده است"
"Your payment has been declined. Please try again.","پرداخت شما لغو شده است لطفا دوباره تلاش کنید."
"Requested payment method does not match with order.","روش پرداخت درخواست با سفارش مطابقت ندارد."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","آیا شما مایل به امضای یک قرارداد صدور صورت حساب برای ساده کردن بیشتر خریدها با پی پال هستید؟"
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Authorization is not allowed.","Authorization is not allowed."
"Payment Gateway is unreachable at the moment. Please use another payment option.","دروازه پرداخت در حال حاضر قابل دسترس نیست. لطفا از گزینه پرداخت دیگری استفاده کنید."
"PayPal response hasn't required fields.","پاسخ به پی پال تا زمینه های مورد نیاز نمی باشد."
"Something went wrong while processing your order.","هنگام پردازش سفارش شما اشتباهی رخ داد."
"PayPal gateway has rejected request. %1","دروازه پی پال درخواست %1 را رد کرد"
"The PayPal gateway rejected the request. %1","دروازه پی پال درخواست %1 را رد کرد"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","متاسفم - اما ما نتوانستیم پرداخت شما را پردازش کنیم. لطفا روش پرداخت دیگری را امتحان کنید یا با ما تماس بگیرید تا بتوانیم به شما کمک کنیم."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","متاسفم - اما ما قادر به انجام معامله شما نیستیم. لطفا با ما تماس بگیرید تا بتوانیم به شما کمک کنیم."
"A match of the Shipping Address City, State, and Postal Code failed.","طتبیق آدرس حمل و نقل شهر، ایالت و کد پستی ناموفق بود."
"We can't place the order.","ما نمی توانیم سفارش بدهیم."
"The payment method code is not set.","کد روش پرداخت تنظیم نشده است."
"The reference ID is not set.","شناسه مرجع تنظیم نشده است."
