"Billing Agreements","Paypal Zahlungsfreigaben"
"ID","Id"
"Email","E-Mail"
"First Name","Vorname"
"Last Name","Nachname"
"Reference ID","Referenz ID"
"Status","Status"
"Created","Erstellt"
"N/A","Keine Angabe"
"Updated","Aktualisiert"
"Back","Zurück"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Cancel","Stornieren"
"Billing Agreement #%1","Zahlungsvereinbarung #%1"
"General Information","Allgemeine Information"
"Related Orders","Zugehörige Bestellungen"
"Order","Bestellung"
"Purchased","Gekauft"
"Bill-to Name","Rechnungsname"
"Ship-to Name","Versandname"
"Order Total","Bestellsumme"
"Purchase Point","Verkaufsort"
"Billing Agreement View","Abrechnungsvereinbarung ansehen"
"Are you sure you want to authorize full order amount?","Sind Sie sicher, dass Sie die Gesamtauftragssumme genehmigen möchten?"
"Authorize","Autorisieren"
"View Transaction Details","Transaktionsdetails anzeigen"
"Reference Information","Referenzinformationen"
"Transaction Information","Transaktionsinformationen"
"PayPal Fee Information","PayPal Gebühreninformation"
"PayPal Settlement Reports","PayPal Abrechnungen"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Wir verbinden mit dem PayPal-SFTP-Server, um neue Berichte abzurufen. Sind Sie sicher, dass Sie weitermachen möchten?"
"Fetch Updates","Aktualisierungen abrufen"
"button_label","button_label"
"sandbox_button_label","sandbox_button_label"
"Help","Hilfe"
"Configure","Konfigurieren"
"Close","Schließen"
"Learn More","Mehr erfahren"
"View Demo","Demo anzeigen"
"See terms","Allgemeine Geschäftsbedingungen ansehen"
"You will be redirected to the PayPal website.","Sie werden zur PayPal-Website weitergeleitet."
"You will be redirected to the PayPal website when you place an order.","Sie werden zur PayPal-Website weitergeleitet, wenn Sie eine Bestellung aufgeben."
"Incl. Tax","Inkl. MwSt."
"Billing Information","Bestellübersicht"
"Shipping Information","Versandinformation"
"Invalid block type","Ungültiger Block-Typ"
"Please specify the correct billing agreement ID and try again.","Bitte geben Sie die korrekte Abrechnungsvereinbarungs-ID ein und versuchen es erneut."
"You canceled the billing agreement.","Sie haben die Abrechnungsvereinbarung abgebrochen."
"We can't cancel the billing agreement.","Wir konnten die Abrechnungsvereinbarung nicht abbrechen."
"You deleted the billing agreement.","Sie haben die Abrechnungsvereinbarung gelöscht."
"We can't delete the billing agreement.","Wir konnten die Abrechnungsvereinbarung nicht löschen."
"Payment authorization has been successfully created.","Die Zahlungsautorisierung wurde erfolgreich erstellt."
"Unable to make payment authorization.","Zahlungsautorisierung nicht möglich."
"Reports","Berichte"
"Sales","Verkäufe"
"View Transaction","Transaktion anzeigen"
