"Billing Agreements","支払い同意"
"ID","ID"
"Email","Eメール"
"First Name","名"
"Last Name","姓"
"Reference ID","リファレンスID"
"Status","ステータス"
"Created","作成済"
"N/A","該当無し"
"Updated","更新"
"Back","戻る"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Cancel","キャンセル"
"Billing Agreement #%1","支払契約 #%1"
"General Information","全般情報"
"Related Orders","関連する注文"
"Order","注文"
"Purchased","購入済み"
"Bill-to Name","請求先名"
"Ship-to Name","送り先名"
"Order Total","注文合計"
"Purchase Point","購入店舗"
"Billing Agreement View","支払契約一覧"
"Are you sure you want to authorize full order amount?","全ての注文額を認証してもよろしいでしょうか。"
"Authorize","権限"
"View Transaction Details","トランザクション詳細見る。"
"Reference Information","リファレンス情報"
"Transaction Information","トランザクション情報"
"PayPal Fee Information","PayPal料金情報"
"PayPal Settlement Reports","PayPal決済レポート"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","新しいレポートを取り出すためにPayPal SFTPサーバーに接続しています。本当に続けますか？"
"Fetch Updates","アップデート取得"
"button_label","button_label"
"sandbox_button_label","sandbox_button_label"
"Help","ヘルプ"
"Configure","構成"
"Close","閉じる"
"Learn More","もっと詳しく"
"View Demo","デモ視聴"
"See terms","規約を見る"
"You will be redirected to the PayPal website.","PayPalウェブサイトに移動します。"
"You will be redirected to the PayPal website when you place an order.","注文を行なった時PayPalウェブサイトに移動します。"
"Incl. Tax","税込"
"Billing Information","請求先情報"
"Shipping Information","配送情報"
"Invalid block type","不正なブロックタイプ"
"Please specify the correct billing agreement ID and try again.","正しい支払契約IDを指定して再度お試しください。"
"You canceled the billing agreement.","支払契約をキャンセルしました。"
"We can't cancel the billing agreement.","支払い同意をキャンセルできません。"
"You deleted the billing agreement.","支払契約は削除しました。"
"We can't delete the billing agreement.","支払い同意は削除できませんでした。"
"Payment authorization has been successfully created.","支払いの承認が正常に作成されました。"
"Unable to make payment authorization.","支払いを承認できません"
"Reports","レポート"
"Sales","セールス"
"View Transaction","トランザクション一覧"
"We found nothing to fetch because of an empty configuration.","空の設定のためフェッチするものが見つかりませんでした。"
"We fetched %1 report rows from ""%2@%3."""," ""%2@%3."" の%1レポート列をフェッチしました。"
"We can't fetch reports from ""%1@%2."""," ""%1@%2."" のレポート列をフェッチしました。"
"The billing agreement ""%1"" has been canceled.",";支払契約 ""%1"" はキャンセルされました。"
"The billing agreement ""%1"" has been created.","支払契約 ""%1"" が作成されました。"
"We couldn't finish the billing agreement wizard.","支払い同意ウィザードが完了できませんでした。"
"We can't start the billing agreement wizard.","支払い同意ウィザードをスタートできませんでした。"
"Billing Agreement # %1","支払契約 # %1"
"We can't initialize Express Checkout.","エクスプレスチェックアウトを初期化できません。"
"PayPal Express Checkout Token does not exist.","PayPalエクスプレスチェックアウトトークンは存在しません。"
