"Billing Agreements","Acordos de Faturamento"
"ID","Id."
"Email","E-mail"
"First Name","Nome"
"Last Name","Sobrenome"
"Reference ID","ID de referência"
"Status","Situação"
"Created","Criado"
"N/A","Não Disponível"
"Updated","Atualizado"
"Back","Voltar"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Cancel","Cancelar"
"Billing Agreement #%1","Termos de Serviço de Faturamento #%1"
"General Information","Informações gerais"
"Related Orders","Pedidos relacionados"
"Order","Pedido"
"Purchased","Comprado"
"Bill-to Name","Nome de Cobrança"
"Ship-to Name","Nome de Entrega"
"Order Total","Total do Pedido"
"Purchase Point","Ponto de compra"
"Billing Agreement View","Visualizar Termos de Serviço de Faturamento"
"Are you sure you want to authorize full order amount?","Tem certeza que deseja autorizar o valor total do pedido?"
"Authorize","Autorizar"
"View Transaction Details","Exibir Detalhes da Transacção"
"Reference Information","Informação da Referência"
"Transaction Information","Informação de Transações"
"PayPal Fee Information","Informação da Taxa PayPal"
"PayPal Settlement Reports","Relatórios de Liquidação do PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Estamos a ligar ao servidor SFTP do PayPal para obter novos relatórios. Tem certeza que deseja continuar?"
"Fetch Updates","Buscar Atualizações"
"button_label","rótulo do botão"
"sandbox_button_label","sandbox_button_label"
"Help","Ajuda"
"Configure","Configurar"
"Close","Fechar"
"Learn More","Saiba Mais"
"View Demo","Ver Demonstração"
"See terms","Veja os termos"
"You will be redirected to the PayPal website.","Você será redirecionado para o site do PayPal."
"You will be redirected to the PayPal website when you place an order.","Será redirecionado para o site do PayPal quando confirmar o seu pedido."
"Incl. Tax","Imposto Incl."
"Billing Information","Dados de Cobrança"
"Shipping Information","Dados de Entrega"
"Invalid block type","Tipo de bloco inválido"
"Please specify the correct billing agreement ID and try again.","Por favor, especificar o ID de acordo de faturamento correto e tente novamente."
"You canceled the billing agreement.","Você cancelou o acordo de pagamento."
"We can't cancel the billing agreement.","Não podemos cancelar o acordo de faturamento."
"You deleted the billing agreement.","Eliminou o acordo de faturamento."
"We can't delete the billing agreement.","Não podemos excluir o acordo de faturamento."
"Payment authorization has been successfully created.","Autorização de pagamento criada com sucesso."
"Unable to make payment authorization.","Não foi possível efetivar a autorização de pagamento."
"Reports","Relatórios"
"Sales","Vendas"
"View Transaction","Ver Transação"
"We found nothing to fetch because of an empty configuration.","Não encontrámos nada para buscar devido à falta de configuração."
"We fetched %1 report rows from ""%2@%3.""","Obtivemos %1 linhas de relatório do ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","Não foi possível obter relatórios de ""%1@%2."""
