"Billing Agreements","Ententes de facturation"
"ID","Identifiant"
"Email","Email"
"First Name","Prénom"
"Last Name","Nom"
"Reference ID","Réference ID"
"Status","Statut"
"Created","Créé"
"N/A","N/A"
"Updated","Mis à jour"
"Back","Retour"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Cancel","Annuler"
"Billing Agreement #%1","Entente de facturation #%1"
"General Information","Informations générales"
"Related Orders","Les commandes connexes"
"Order","Commande"
"Purchased","Acheté"
"Bill-to Name","Nom (Fact.)"
"Ship-to Name","Nom (Livr.)"
"Order Total","Total de la commande"
"Purchase Point","Point de vente"
"Billing Agreement View","Vue de l'entente de facturation"
"Are you sure you want to authorize full order amount?","Êtes-vous sûr de vouloir autoriser le montant total de la commande ?"
"Authorize","Autoriser"
"View Transaction Details","Voir les détails de la transaction"
"Reference Information","Information sur la référence"
"Transaction Information","Information sur la transaction"
"PayPal Fee Information","Renseignements sur les frais PayPal"
"PayPal Settlement Reports","Rapports de règlements PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Nous nous connectons au serveur PayPal SFTP pour récupérer les nouveaux rapports. Etes-vous sûr de vouloir continuer ?"
"Fetch Updates","Recherche de mises à jour"
"button_label","Couleur de texte de bouton pour le gabarit Ogone"
"sandbox_button_label","sandbox_button_label"
"Help","Aide"
"Configure","Configurer"
"Close","Fermer"
"Learn More","En savoir plus"
"View Demo","Voir la Demo"
"See terms","Voir conditions"
"You will be redirected to the PayPal website.","Vous allez être redirigé vers le site PayPal."
"You will be redirected to the PayPal website when you place an order.","Vous serez redirigé vers le site de PayPal à l'issue de votre commande."
"Incl. Tax","TTC"
"Billing Information","Informations de facturation"
"Shipping Information","Informations de livraison"
"Invalid block type","Type de bloc non valide "
"Please specify the correct billing agreement ID and try again.","Veuillez indiquer le bon identifiant de l'accord de facturation et réessayer."
"You canceled the billing agreement.","Vous avez annulé l'accord de facturation."
"We can't cancel the billing agreement.","Nous ne pouvons pas annuler l'accord de facturation."
"You deleted the billing agreement.","Vous avez supprimé l'accord de facturation."
"We can't delete the billing agreement.","Nous ne pouvons pas supprimer l'accord de facturation."
"Payment authorization has been successfully created.","L'autorisation de paiement a été créée avec succès."
"Unable to make payment authorization.","Impossible d'effectuer une autorisation de paiement."
"Reports","Rapports"
"Sales","Ventes"
"View Transaction","Voir la transaction"
"We found nothing to fetch because of an empty configuration.","Nous n'avons rien trouvé à récupérer en raison d'une configuration vide."
"We fetched %1 report rows from ""%2@%3.""","Nous avons extrait les lignes du rapport %1 de ""%2@%3""."
"We can't fetch reports from ""%1@%2.""","Nous n'avons pas pu récupérer les rapports de '%1@%2""."
"The billing agreement ""%1"" has been canceled.","L'accord de facturation ""%1"" a été annulé."
"The billing agreement ""%1"" has been created.","L'accord de facturation ""%1"" a été créé."
"We couldn't finish the billing agreement wizard.","Nous n'avons pas pu terminer l'assistant de facturation."
"We can't start the billing agreement wizard.","Nous ne pouvons pas démarrer l'assistant de facturation."
"Billing Agreement # %1","Accord de facturation n° %1"
"We can't initialize Express Checkout.","Nous ne pouvons pas initialiser le paiement Express."
"PayPal Express Checkout Token does not exist.","Le jeton PayPal Express n'existe pas"
"A wrong PayPal Express Checkout Token is specified.","Le jeton pour PayPal Express Checkout est incorrect."
"Express Checkout and Order have been canceled.","Le paiement Express Checkout et la commande ont été annulés."
"Express Checkout has been canceled.","Le paiement Express Checkout a été annulé."
"Unable to cancel Express Checkout","Impossible d'annuler le paiement PayPal Express Checkout"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"We can't process Express Checkout approval.","Nous ne pouvons pas traiter l'approbation de paiement Express."
"We can't initialize Express Checkout review.","Nous ne pouvons pas initialiser l'évaluation de commande Express."
"We can't update shipping method.","Nous ne pouvons pas mettre à jour les mode de livraison."
"We can't start Express Checkout.","Nous ne pouvons pas commencer le paiement Express."
"To check out, please sign in with your email address.","Pour passer en caisse, veuillez vous connecter avec votre adresse e-mail."
"Sorry, but something went wrong","Désolé, une erreur s'est produite"
"Your payment has been declined. Please try again.","Votre paiement a été annulé. Tous les montants autorisés ont été libérés."
"Requested payment method does not match with order.","Le mode de paiement demandé ne correspond pas à la commande."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Souhaitez-vous signer une entente de facturation afin de rationaliser vos futurs achats avec PayPal ?"
"Error processing payment, please try again later.","Erreur lors du traitement du paiement, veuillez réessayer plus tard."
"Authorization is not allowed.","L'autorisation n'est pas autorisée."
"Payment Gateway is unreachable at the moment. Please use another payment option.","La passerelle de paiement est inaccessible pour le moment. Veuillez utiliser une autre option de paiement."
"PayPal response hasn't required fields.","La réponse de PayPal ne comporte pas les champs obligatoires."
"Something went wrong while processing your order.","Une erreur est survenue lors du traitement de votre commande."
"PayPal gateway has rejected request. %1","La passerelle PayPal a rejeté la demande. %1"
