"Billing Agreements","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳು"
"ID","ID"
"Email","ಮಿಂಚೆ"
"First Name","ಮೊದಲ ಹೆಸರು"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Reference ID","Reference ID"
"Status","ಸ್ಥಿತಿ"
"Created","ರಚಿಸಿದೆ"
"N/A","N/A"
"Updated","ಪರಿಷ್ಕರಿಸಿದೆ"
"Back","ಹಿಂದೆ"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Billing Agreement #%1","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳು#%1"
"General Information","ಸಾಮಾನ್ಯ ಮಾಹಿತಿ"
"Related Orders","ಸಂಬಂಧಿತ ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Order","ವ್ಯಾಪಾರಾದೇಶ"
"Purchased","ಖರೀದಿಸಿದೆ"
"Bill-to Name","ಬಿಲ್ಲಿಂಗ್ ಹೆಸರು"
"Ship-to Name","ರವಾನೆ ಹೆಸರು"
"Order Total","ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Purchase Point","ಖರೀದಿ ಬಿಂದು"
"Billing Agreement View","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳ ನೋಟ"
"Are you sure you want to authorize full order amount?","Are you sure you want to authorize full order amount?"
"Authorize","ದೃಢೀಕರಿಸಿ"
"View Transaction Details","ವ್ಯವಹಾರದ ವಿವರಗಳನ್ನು ವೀಕ್ಶಿಸಿ"
"Reference Information","Reference Information"
"Transaction Information","ವ್ಯವಹಾರದ ಮಾಹಿತಿ"
"PayPal Fee Information","PayPal ಶುಲ್ಕದ ಮಾಹಿತಿ"
"PayPal Settlement Reports","PayPal Settlement Reports"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Fetch Updates"
"button_label","button_label"
"sandbox_button_label","sandbox_button_label"
"Help","ಸಹಾಯ"
"Configure","ಸಂರಚಿಸಿ"
"Close","ಮುಚ್ಚಿರಿ"
"Learn More","ಹೆಚ್ಚು ತಿಳಿಯಿರಿ"
"View Demo","ಡೆಮೋ ವೀಕ್ಶಿಸಿ"
"See terms","ನಿಯಮಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"You will be redirected to the PayPal website.","ನಿಮ್ಮನ್ನು PayPal ಜಾಲತಾಣಕ್ಕೆ ಮರುನಿರ್ದೇಶಿಸಲಾಗುವುದು."
