"Billing Agreements","Perjanjian Tagihan"
"ID","Nomor"
"Email","Email"
"First Name","Nama Depan"
"Last Name","Nama Belakang"
"Reference ID","Nomor Referensi"
"Status","Keadaan"
"Created","Buat"
"N/A","N/A"
"Updated","Diperbarui"
"Back","Kembali"
"Are you sure you want to do this?","Apakah anda yakin ingin melakukan ini?"
"Cancel","Batal"
"Billing Agreement #%1","Perjanjian Tagihan #%1"
"General Information","Informasi Umum"
"Related Orders","Pesanan terkait"
"Order","Pesan"
"Purchased","Dibeli"
"Bill-to Name","Penagihan-untuk Nama"
"Ship-to Name","Kirim-untuk Nama"
"Order Total","Jumlah Pesanan"
"Purchase Point","Titik pembelian"
"Billing Agreement View","Melihat Perjanjian Penagihan"
"Are you sure you want to authorize full order amount?","Are you sure you want to authorize full order amount?"
"Authorize","Authorize"
"View Transaction Details","Melihat Rincian Transaksi"
"Reference Information","Informasi Referensi"
"Transaction Information","Informasi Transaksi"
"PayPal Fee Information","Informasi Biaya PayPal"
"PayPal Settlement Reports","Laporan Penyelesaian PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Kami terhubung ke server SFTP PayPal untuk mengambil laporan baru. Apakah anda yakin ingin melanjutkan?"
"Fetch Updates","Ambil Pembaruan"
"button_label","tombol_lebel"
"sandbox_button_label","sandbox_button_label"
"Help","Bantuan"
"Configure","Konfigurasi"
"Close","Tutup"
"Learn More","Pelajari Lagi"
"View Demo","Lihat Contoh"
"See terms","Lihat istilah"
"You will be redirected to the PayPal website.","Anda akan diarahkan ke situs PayPal."
"You will be redirected to the PayPal website when you place an order.","Anda akan diarahkan ke situs PayPal saat anda melakukan pemesanan."
"Incl. Tax","Termasuk Pajak"
"Billing Information","Informasi Penagihan"
"Shipping Information","Informasi Pengiriman"
"Invalid block type","Jenis blok tidak benar"
"Please specify the correct billing agreement ID and try again.","Harap tentukan nomor perjanjian penagihan yang benar dan coba lagi."
"You canceled the billing agreement.","Anda membatalkan perjanjian penagihan."
"We can't cancel the billing agreement.","We can't cancel the billing agreement."
"You deleted the billing agreement.","Anda menghapus perjanjian penagihan."
"We can't delete the billing agreement.","We can't delete the billing agreement."
"Payment authorization has been successfully created.","Payment authorization has been successfully created."
"Unable to make payment authorization.","Unable to make payment authorization."
"Reports","Laporan"
"Sales","Penjual"
"View Transaction","Lihat Transaksi"
"We found nothing to fetch because of an empty configuration.","Kami tidak menemukan apa-apa untuk diambil karena konfigurasi kosong."
"We fetched %1 report rows from ""%2@%3.""","Kami mengambil %1 baris laporan dari ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","Kami tidak dapat mengambil laporan dari ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","Perjanjian penagihan ""%1"" telah dibatalkan."
"The billing agreement ""%1"" has been created.","Perjanjian penagihan ""%1"" telah dibuat."
"We couldn't finish the billing agreement wizard.","We couldn't finish the billing agreement wizard."
"We can't start the billing agreement wizard.","We can't start the billing agreement wizard."
"Billing Agreement # %1","Perjanjian Penagihan # %1"
"We can't initialize Express Checkout.","We can't initialize Express Checkout."
"PayPal Express Checkout Token does not exist.","Token Checkout PayPal Express tidak ada."
"A wrong PayPal Express Checkout Token is specified.","Token Checkout PayPal Express yang salah ditentukan."
"Express Checkout and Order have been canceled.","Checkout ekspress dan Order telah dibatalkan."
"Express Checkout has been canceled.","Checkout Ekspres telah dibatalkan."
"Unable to cancel Express Checkout","Tidak dapat membatalkan Checkout Ekspres"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't process Express Checkout approval.","We can't process Express Checkout approval."
"We can't initialize Express Checkout review.","We can't initialize Express Checkout review."
"We can't update shipping method.","Kami tidak bisa memperbarui metode pengiriman."
"We can't start Express Checkout.","We can't start Express Checkout."
"To check out, please sign in with your email address.","Untuk memeriksa, silahkan masuk dengan alamat email anda."
"Sorry, but something went wrong","Maaf, tapi ada sesuatu yang salah"
"Your payment has been declined. Please try again.","Pembayaran anda telah ditolak Silahkan coba lagi."
"Requested payment method does not match with order.","Metode pembayaran yang diminta tidak sesuai dengan pesanan."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Apakah anda ingin menandatangani perjanjian penagihan untuk memperlancar pembelian lebih lanjut dengan PayPal?"
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Authorization is not allowed.","Authorization is not allowed."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Pembayaran Gateway tidak terjangkau saat ini. Harap gunakan pilihan pembayaran lain."
"PayPal response hasn't required fields.","PayPal response hasn't required fields."
"Something went wrong while processing your order.","Ada yang tidak benar saat memproses pesanan anda."
"PayPal gateway has rejected request. %1","Gateway PayPal menolak permintaan. %1"
"The PayPal gateway rejected the request. %1","Gateway PayPal menolak permintaan tersebut.%1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you."
"A match of the Shipping Address City, State, and Postal Code failed.","Gagal pertandingan pengiriman alamat Kota, negara dan kode pos."
"We can't place the order.","Kami tidak bisa melakukan pemesanan."
"The payment method code is not set.","Kode metode pembayaran tidak diatur."
"The reference ID is not set.","Nomor referensi tidak diatur."
"Unable to save Billing Agreement:","Tidak dapat menyimpan Perjanjian Penagihan:"
"Active","Aktif"
"Canceled","Dibatalkan"
"The customer ID is not set.","Nomor pelanggan tidak diatur."
"The Billing Agreement status is not set.","Status Perjanjian Penagihan tidak ditetapkan."
"The PayPal certificate does not exist.","Sertifikat PayPal tidak ada."
"We prefer PayPal (150 X 60)","Kami lebih memilih PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Kami lebih memilih PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Sekarang menerima PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Sekarang menerima PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pembayaran melalui PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Pembayaran melalui PayPal (150 X 40)"
"Shop now using (150 X 60)","Belanja sekarang pakai (150 X 60)"
"Shop now using (150 X 40)","Belanja sekarang pakai (150 X 40)"
"Dynamic","Dinamis"
"Static","Statis"
"Shortcut","Jalan pintas"
"Acceptance Mark Image","Gambar Tanda Terima"
"Authorization","Hak kuasa"
"Sale","Dijual"
"Yes","Ya"
"No","Tidak"
"For Virtual Quotes Only","Hanya untuk Penawaran Khusus Virtual"
"Auto","Otomatis"
"Ask Customer","Tanya pelanggan"
"Never","Jangan pernah"
"IPN (Instant Payment Notification) Only","IPN (Pemberitahuan Pembayaran Instan) Saja"
"API Signature","API Tanda tangan"
"API Certificate","API Sertifikat"
"The maximum number of child authorizations is reached.","Jumlah maksimum anak otorisasi tercapai."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","We'll authorize the amount of %1 as soon as the payment gateway approves it."
"The authorized amount is %1.","Jumlah yang dikembalikan adalah %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process."
"A payer is not identified.","Pembayar tidak dikenal."
"Cannot get secure form URL from PayPal","Tidak bisa mengamankan bentuk URL dari PayPal"
"Last Transaction ID","Nomor Transaksi terakhir"
"This customer didn't include a confirmed address.","This customer didn't include a confirmed address."
"The payment is authorized but not settled.","Pembayaran itu diotorisasi namun tidak diselesaikan."
"The payment eCheck is not cleared.","Pembayaran eCheck tidak dihapus."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism."
"The payment currency doesn't match any of the merchant's balances currency.","The payment currency doesn't match any of the merchant's balances currency."
"The payment is pending while it is being reviewed by PayPal for risk.","Pembayarannya tertunda saat sedang ditinjau oleh PayPal karena risiko."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Pembayaran sudah tertunda karena dibuat ke alamat email yang belum terdaftar atau dikonfirmasi."
"The merchant account is not yet verified.","Akun pedagang ada yang belum diverifikasi."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Pembayaran dilakukan melalui kartu kredit. Agar bisa menerima dana pedagang harus meningkatkan akun menjadi Business atau Premier status."
"Sorry, but something went wrong. Please contact PayPal customer service.","Maaf, tapi ada yang tidak benar. Silahkan hubungi layanan pelanggan PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Pengembalian terjadi pada transaksi ini karena menolak membayar oleh pelanggan anda."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Suatu pengembalian telah terjadi pada transaksi ini karena pelanggan anda melakukan garansi uang kembali."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Pengembalian terjadi pada transaksi ini karena ada keluhan tentang transaksi dari pelanggan anda."
"A reversal has occurred on this transaction because you have given the customer a refund.","Pengembalian terjadi pada transaksi ini karena anda telah memberikan pengembalian dana kepada pelanggan."
"Reversal of an adjustment.","Penyesuaian pengembalian."
"Transaction reversal due to fraud detected by PayPal administrators.","Pengembalian transaksi karena kecurangan yang terdeteksi oleh pengurus PayPal."
"Transaction reversal by PayPal administrators.","Pengembalian transaksi oleh pengurus PayPal."
"Reimbursement for a chargeback.","Pembayaran kembali untuk biaya tagihan."
"Settlement of a chargeback.","Penyelesaian tagihan balik."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Pembalikan terjadi pada transaksi ini karena pelanggan sengketa mencurigai tidak sah spoof."
"Buyer claims that he did not receive goods or service.","Pembeli mengklaim bahwa ia tidak menerima barang atau jasa."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Klaim pembeli bahwa barang atau jasa yang diterima berbeda dari merchant deskripsi barang atau jasa."
"Buyer claims that he/she did not authorize transaction.","Pembeli mengklaim bahwa ia/dia tidak mengotorisasi transaksi."
"A case that has been resolved and close requires a reimbursement.","Kasus yang telah diselesaikan dan dekat memerlukan penggantian."
"Buyer claims that a possible duplicate payment was made to the merchant.","Pembeli mengklaim bahwa kemungkinan duplikasi pembayaran dilakukan kepada pedagang."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Pembeli mengklaim bahwa kemungkinan duplikasi pembayaran dilakukan kepada pedagang."
"Unknown reason. Please contact PayPal customer service.","Alasan yang tidak diketahui. Silahkan hubungi PayPal layanan pelanggan."
"Payer ID","Nomor Pembayar"
"Payer Email","Email Pembayar"
"Payer Status","Status Pembayar"
"Payer Address ID","Nomor Alamat Pembayar"
"Payer Address Status","Status Alamat Pembayar"
"Merchant Protection Eligibility","Kelayakan Perlindungan Pedagang"
"Triggered Fraud Filters","Menyaring Pemicu Penipuan"
"Last Correlation ID","Nomor Korelasi Terakhir"
"Address Verification System Response","Respon Sistem Verifikasi Alamat"
"CVV2 Check Result by PayPal","CVV2 Cek Hasil oleh PayPal"
"AVS Street Match","AVS kecocokan Jalan"
"AVS zip","AVS zip"
"International AVS response","Tanggapan AVS internasional"
"Buyer's Tax ID","Buyer's Tax ID"
"Buyer's Tax ID Type","Buyer's Tax ID Type"
"Chargeback","Tagihan Kembali"
"Complaint","Keluhan"
"Dispute","Perselisihan"
"Matched Address only (no ZIP)","Alamat yang Cocok saja (kode pos)"
"Matched Address only (no ZIP) International","Alamat yang Cocok saja (kode pos) Internasional"
"No Details matched","Tidak ada Detail yang cocok"
"No Details matched. International","Tidak ada Detail yang cocok. Internasional"
"Exact Match.","Sudah cocok."
"Exact Match. Address and Postal Code. International","Sudah cocok. Alamat dan kode pos. Internasional"
"Exact Match. Address and Postal Code. UK-specific","Sudah cocok. Alamat dan Kode Pos. Khusus Inggris"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Tidak diizinkan untuk transaksi MOTO (Internet/Telepon)"
"N/A. Global Unavailable","N/A. Global tidak tersedia"
"N/A. International Unavailable","N/A. Internasional tidak tersedia"
"Matched five-digit ZIP only (no Address)","Cocok untuk lima digit POS saja (tanpa Alamat)"
"Matched Postal Code only (no Address)","Kode Pos yang Cocok saja (tanpa Alamat)"
"N/A. Retry","N/A. Mencoba kembali"
"N/A. Service not Supported","N/A. Layanan tidak didukung"
"N/A. Unavailable","N/A. Tidak tersedia"
"Matched whole nine-digit ZIP (no Address)","Cocokkan angka sembilan-digit POS (Tidak Alamat)"
"Yes. Matched Address and five-digit ZIP","Iya. Alamat yang Cocok dan lima digit POS"
"All the address information matched","Semua informasi alamat cocok"
"None of the address information matched","Tidak ada informasi alamat yang cocok"
"Part of the address information matched","Bagian dari informasi alamat cocok"
"N/A. The merchant did not provide AVS information","N/A. Pedagang itu tidak memberikan informasi AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Alamat yang tidak diperiksa, atau acquirer tidak mendapat respon. Layanan tidak tersedia"
"Matched (CVV2CSC)","Cocok (CVV2CSC)"
"No match","Tidak Cocok"
"N/A. Not processed","N/A. Tidak diproses"
"N/A. Service not supported","N/A. Layanan tidak didukung"
"N/A. Service not available","N/A. Layanan tidak tersedia"
"N/A. No response","N/A. Tidak ada respon"
"Matched (CVV2)","Cocok (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Pedagang tersebut belum menerapkan penanganan kode CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Pedagang mengindikasikan bahwa CVV2 tidak ada pada kartu"
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","Credit Card"
"ending","akhir"
"expires","berakhir"
"Note: %1","Catatan: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Tipe Kasus ""%2"". ID Kasus ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Sebuah perselisihan telah diselesaikan dan ditutup. %2 Jumlah transaksi %3."
"You notified customer about invoice #%1.","Anda memberi tahu pelanggan tentang faktur #%1."
"We cannot cancel this order.","Kami tidak dapat membatalkan pesanan ini."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Jumlah transaksi%3. ID Transaksi: ""%4"""
"You notified customer about creditmemo #%1.","Anda memberi tahu pelanggan tentang memo kredit #%1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Unable to fetch transaction details.","Tidak dapat mengambil rincian transaksi."
"Invalid method %1::%2","Metode tidak benar %1::%2"
"Transaction has been declined","Transaksi telah ditolak"
"Error processing payment. Please try again later.","Error processing payment. Please try again later."
"We cannot send the new order email.","Kami tidak dapat mengirim email pesanan baru."
"Payment error. %value was not found.","Kesalahan pembayaran. %nilai tidak ditemukan."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"You need an authorization transaction to void.","Anda memerlukan transaksi otorisasi untuk membatalkan."
"We can't issue a refund transaction because there is no capture transaction.","Kami Tidak Bisa Lakukan Kembalian Dana Transaksi Karena Disana Tidak Ada Tangkapan Transaksi."
"We cannot create a target file for reading reports.","Kami tidak dapat membuat file target untuk membaca laporan."
"Report Date","Tanggal laporan"
"Merchant Account","Akun Pedagang"
"Transaction ID","ID Transaksi"
"Invoice ID","Nomor faktur"
"PayPal Reference ID","Nomor referensi PayPal"
"PayPal Reference ID Type","Jenis Nomor Referensi PayPal"
"Event Code","Kode Acara"
"Event","Acara"
"Start Date","Mulai tanggal"
"Finish Date","Tanggal Selesai"
"Debit or Credit","Debet atau Kredit"
"Gross Amount","Jumlah kotor"
"Fee Debit or Credit","Debet Biaya atau Kredit"
"Fee Amount","Jumlah biaya"
"Custom","Khusus"
"Order ID","Memesan ID"
"Preapproved Payment ID","Nomor pembayaran yang telah disetujui sebelumnya"
"Subscription ID","Nomor berlangganan"
"Credit","Kredit"
"Debit","Debet"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposito (terus untuk sengketa atau investigasi lainnya)"
"ACH Deposit (Reversal)","Deposito ACH (Pembalikan)"
"ACH Funding for Funds Recovery from Account Balance","ACH dana untuk dana pemulihan dari saldo"
"ACH Withdrawal","ACH penarikan"
"Account-to-Account Payment, initiated by PayPal","Rekening ke rekening pembayaran, diprakarsai oleh PayPal"
"Auction Payment other than through eBay","Pembayaran Lelang selain melalui eBay"
"AutoSweep","Sapu Otomatis"
"Available Balance","Saldo Tersedia"
"Balance Manager Account Bonus","Bonus Akun Pengelola Saldo"
