"Billing Agreements","Συμφωνίες Χρέωσης"
"ID","ID"
"Email","Email"
"First Name","Όνομα"
"Last Name","Επώνυμο"
"Reference ID","ID Αναφοράς"
"Status","Κατάσταση"
"Created","Δημιουργήθηκε"
"N/A","Μ/Δ Μή Διαθέσιμο"
"Updated","Ενημερώθηκε"
"Back","Πίσω"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Cancel","Άκυρο"
"Billing Agreement #%1","Συμφωνία Χρέωσης #%1"
"General Information","Γενικές Πληροφορίες"
"Related Orders","Σχετικές Παραγγελίες"
"Order","Παραγγελία"
"Purchased","Αγοράστηκαν"
"Bill-to Name","Τιμολόγηση σε Όνομα"
"Ship-to Name","Αποστολή σε Όνομα"
"Order Total","Σύνολο Παραγγελίας"
"Purchase Point","Σημείο Αγοράς"
"Billing Agreement View","Προβολή συμφωνίας χρέωσης"
"Are you sure you want to authorize full order amount?","Are you sure you want to authorize full order amount?"
"Authorize","Εξουσιοδότηση"
"View Transaction Details","Δείτε Λεπτομέρειες της Συναλλαγής"
"Reference Information","Πληροφορίες αναφοράς"
"Transaction Information","Στοιχεία Συναλλαγής"
"PayPal Fee Information","Πληροφορίες Προμήθειας PayPal"
"PayPal Settlement Reports","Εκθέσεις Διευθέτησης PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Συνδεόμαστε με το διακομιστή PayPal SFTP για να ανακτήσουμε νέες εκθέσεις. Είστε βέβαιοι ότι θέλετε να συνεχίσετε;"
"Fetch Updates","Λήψη ενημερωμένων εκδόσεων"
"button_label","button_label"
"sandbox_button_label","sandbox_button_label"
"Help","Βοήθεια"
"Configure","Ρύθμιση"
"Close","Κλείσιμο"
"Learn More","Μάθετε Περισσότερα"
"View Demo","Προβολή Δοκιμής"
"See terms","Δείτε τους όρους"
"You will be redirected to the PayPal website.","Θα μεταφερθείτε στην ιστοσελίδα του PayPal."
"You will be redirected to the PayPal website when you place an order.","Θα μεταφερθείτε στην ιστοσελίδα του PayPal όταν κάνετε μια παραγγελία."
"Incl. Tax","Με ΦΠΑ"
"Billing Information","Πληροφορίες Χρέωσης"
"Shipping Information","Πληροφορίες Αποστολής"
"Invalid block type","Άκυρος τύπος μπλοκ"
"Please specify the correct billing agreement ID and try again.","Παρακαλούμε να καθορίσετε το σωστό ID συμφωνίας χρέωσης και προσπαθήστε ξανά."
"You canceled the billing agreement.","Ακυρώσατε τη συμφωνία χρέωσης."
"We can't cancel the billing agreement.","Δεν μπορούμε να ακυρώσουμε τη συμφωνία χρέωσης."
"You deleted the billing agreement.","Διαγράψατε τη συμφωνία χρέωσης."
