"Billing Agreements","Acuerdos de pago"
"ID","Número de Identificación (ID)"
"Email","Correo electrónico"
"First Name","Nombre"
"Last Name","Apellidos"
"Reference ID","ID de referencia"
"Status","Estatus"
"Created","Creado"
"N/A","N/D"
"Updated","Actualizado"
"Back","Atrás"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Cancel","Cancelar"
"Billing Agreement #%1","Acuerdo de pago nº %1"
"General Information","Información general"
"Related Orders","Pedidos relacionados"
"Order","Encargar"
"Purchased","Comprada"
"Bill-to Name","Nombre de facturación"
"Ship-to Name","Nombre de envío"
"Order Total","Total del pedido"
"Purchase Point","Punto de compra"
"Billing Agreement View","Ver acuerdo de pago"
"Are you sure you want to authorize full order amount?","¿Está seguro de que desea autorizar el importe total del pedido?"
"Authorize","Autorizar"
"View Transaction Details","Ver detalles de la transacción"
"Reference Information","Información de Referencia"
"Transaction Information","Información de Transacción"
"PayPal Fee Information","Información de tarifa de PayPal"
"PayPal Settlement Reports","Informes de liquidación de PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Conectándose al servidor SFTP de PayPal para recuperar nuevos informes. ¿Estás seguro de querer continuar?"
"Fetch Updates","Nuevos resultados obtenidos"
"button_label","button_label"
"sandbox_button_label","sandbox_button_label"
"Help","Ayuda"
"Configure","Configurar"
"Close","Cerrar"
"Learn More","Saber más"
"View Demo","Vea la demostración"
"See terms","Ver términos"
"You will be redirected to the PayPal website.","Se le redirigirá al sitio web de PayPal."
"You will be redirected to the PayPal website when you place an order.","Cuando realice el pedido se le devolverá a la página PayPal."
"Incl. Tax","Impuestos incl."
"Billing Information","Información de facturación"
"Shipping Information","Información de envío"
"Invalid block type","Tipo de bloque no válido"
"Please specify the correct billing agreement ID and try again.","Por favor, especifique el ID de acuerdo facturación correcto y vuelva a intentarlo."
"You canceled the billing agreement.","Se ha cancelado el acuerdo de facturación."
"We can't cancel the billing agreement.","No podemos cancelar el acuerdo de facturación."
"You deleted the billing agreement.","Se ha eliminado el acuerdo de facturación."
"We can't delete the billing agreement.","No podemos eliminar el acuerdo de facturación."
"Payment authorization has been successfully created.","Autorización de pago ha sido creada con éxito."
"Unable to make payment authorization.","No se puede realizar la autorización de pago."
"Reports","Informes"
"Sales","Ventas"
"View Transaction","Ver transacción"
"We found nothing to fetch because of an empty configuration.","No hemos encontrado nada para buscar debido a falta de configuración."
"We fetched %1 report rows from ""%2@%3.""","Se obtuvieron %1 filas de los reportes de ""%2@%3"""
"We can't fetch reports from ""%1@%2.""","No podemos obtener informes de ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","El acuerdo de facturación ""%1"" se ha cancelado."
"The billing agreement ""%1"" has been created.","El acuerdo de facturación ""%1"" se ha creado."
"We couldn't finish the billing agreement wizard.","El asistente de acuerdos de facturación no ha podido finalizar."
"We can't start the billing agreement wizard.","El asistente de acuerdos de facturación no ha podido iniciarse."
"Billing Agreement # %1","Acuerdo de pago nº %1"
"We can't initialize Express Checkout.","No podemos inicializar Express Checkout."
"PayPal Express Checkout Token does not exist.","El símbolo para la Salida Express con Paypal no existe."
"A wrong PayPal Express Checkout Token is specified.","Se ha especificado incorrectamente un Token de PayPal Express Checkout."
"Express Checkout and Order have been canceled.","El pedido y la Caja Express se han cancelado."
"Express Checkout has been canceled.","La Caja Express se ha cancelado."
"Unable to cancel Express Checkout","No se ha podido cancelar Express Checkout"
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"We can't process Express Checkout approval.","No podemos procesar la aprobación de Express Checkout."
"We can't initialize Express Checkout review.","No podemos inicializar la revisión de Checkout Express."
"We can't update shipping method.","No se puede actualizar el método de envío."
"We can't start Express Checkout.","No podemos iniciar Express Checkout."
"To check out, please sign in with your email address.","Para efectuar el check out, por favor inicie sesión con su cuenta de email."
"Sorry, but something went wrong","Lo sentimos, pero algo salió mal"
"Your payment has been declined. Please try again.","Su pago ha sido rechazado. Por favor, inténtelo de nuevo."
"Requested payment method does not match with order.","La forma de pago seleccionada no coincide con el pedido."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","¿Le gustaría firmar un contrato de facturación para agilizar sus futuras compras con PayPal?"
"Error processing payment, please try again later.","Error al procesar el pago, por favor inténtalo más tarde."
"Authorization is not allowed.","No se permite la autorización."
"Payment Gateway is unreachable at the moment. Please use another payment option.","La pasarela de pago está inaccesible en este momento. Por favor utilice otro método de pago."
"PayPal response hasn't required fields.","La respuesta de PayPal no tiene campos obligatorios."
"Something went wrong while processing your order.","Algo salió mal durante el procesamiento de su pedido."
"PayPal gateway has rejected request. %1","La puerta de enlace de PayPal ha rechazado la solicitud. %1"
"The PayPal gateway rejected the request. %1","La pasarela de PayPal rechazó la petición. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Lo sentimos, pero no hemos podido procesar su pago. Por favor, introduzca otro método de pago o póngase en contacto con nosotros si necesita ayuda."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Lo sentimos, pero no hemos podido finalizar su transacción. Por favor, póngase en contacto con nosotros si necesita ayuda."
"A match of the Shipping Address City, State, and Postal Code failed.","Una combinación de la Dirección de Envío, Provincia y Código Postal no es correcta."
"We can't place the order.","No se puede realizar el pedido."
"The payment method code is not set.","No se estableció el código de método de pago."
"The reference ID is not set.","No se estableció el ID de referencia."
"Unable to save Billing Agreement:","No se puede guardar el contrato de facturación:"
"Active","Activo"
"Canceled","Cancelado"
"The customer ID is not set.","No se ha establecido la Id. del cliente."
"The Billing Agreement status is not set.","No se ha establecido el estado del acuerdo de facturación."
"The PayPal certificate does not exist.","Certificado PayPal no existe."
"We prefer PayPal (150 X 60)","Preferimos PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Preferimos PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Ahora se acepta Paypal (150 X 60)"
"Now accepting PayPal (150 X 40)","Se acepta PayPal (150 X 40)"
