"Billing Agreements","Acordos de Facturamento"
"ID","Id."
"Email","Correio electrónico"
"First Name","Nome"
"Last Name","Sobrenome"
"Reference ID","ID da Referência"
"Status","Estado"
"Created","Criado"
"N/A","N/D"
"Updated","Atualizado"
"Back","Voltar"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Cancel","Cancelar"
"Billing Agreement #%1","Acordo de Facturação #%1"
"General Information","Informação Geral"
"Related Orders","Encomendas Relacionadas"
"Order","Encomenda"
"Purchased","Comprado"
"Bill-to Name","Nome do Destinatário de Faturação"
"Ship-to Name","Nome do Destinatário de Envio"
"Order Total","Total da encomenda"
"Purchase Point","Ponto de Compra"
"Billing Agreement View","Vista do Acordo de Facturação"
"Are you sure you want to authorize full order amount?","Are you sure you want to authorize full order amount?"
"Authorize","Authorize"
"View Transaction Details","Exibir Detalhes da Transacção"
"Reference Information","Informação da Referência"
"Transaction Information","Informação de Transações"
"PayPal Fee Information","Informação da Taxa PayPal"
"PayPal Settlement Reports","Relatórios de Liquidação do PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Estamos a ligar ao servidor SFTP do PayPal para obter novos relatórios. Tem certeza que deseja continuar?"
"Fetch Updates","Buscar Atualizações"
"button_label","button_label"
"sandbox_button_label","sandbox_button_label"
"Help","Ajuda"
"Configure","Configurar"
"Close","Fechar"
"Learn More","Saiba Mais"
"View Demo","Ver Demonstração"
"See terms","Ver termos"
"You will be redirected to the PayPal website.","Será redireccionado para o sítio web do PayPal."
"You will be redirected to the PayPal website when you place an order.","Será redirecionado para o site do PayPal quando confirmar a sua encomenda."
"Incl. Tax","Imposto incl."
"Billing Information","Informação de Faturação"
"Shipping Information","Informação de Envio"
"Invalid block type","Tipo de bloco inválido"
"Please specify the correct billing agreement ID and try again.","Por favor especifique o ID do acordo de faturação e tente novamente."
"You canceled the billing agreement.","Cancelou o acordo de facturação."
"We can't cancel the billing agreement.","Não foi possível cancelar o acordo de faturação."
"You deleted the billing agreement.","Eliminou o acordo de faturação."
"We can't delete the billing agreement.","Não foi possível eliminar o acordo de faturação."
"Payment authorization has been successfully created.","Payment authorization has been successfully created."
"Unable to make payment authorization.","Unable to make payment authorization."
"Reports","Relatórios"
"Sales","Vendas"
"View Transaction","Ver Transação"
"We found nothing to fetch because of an empty configuration.","Não encontrámos nada para ir buscar devido à falta de configuração."
"We fetched %1 report rows from ""%2@%3.""","Obtivemos %1 linhas de relatório do ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","We can't fetch reports from ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","O acordo de facturação ""%1"" foi cancelado."
"The billing agreement ""%1"" has been created.","O acordo de faturação ""%1"" foi criado."
"We couldn't finish the billing agreement wizard.","Não foi possível concluir o assistente do acordo de faturação."
