"Billing Agreements","බිල්පත් ගිවිසුම්"
"ID","හැඳුනුම්පත"
"Email","විද්යුත් තැපෑල"
"First Name","මුල් නම"
"Last Name","අවසන් නම"
"Reference ID","යොමු හැඳුනුම්පත"
"Status","තත්ත්වය"
"Created","නිර්මාණය කළා"
"N/A","N/A"
"Updated","යාවත්කාලීන කරන ලදී"
"Back","ආපසු"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Cancel","අවලංගු කරන්න"
"Billing Agreement #%1","බිල්පත් ගිවිසුම #%1"
"General Information","සාමාන්ය තොරතුරු"
"Related Orders","අදාළ නියෝග"
"Order","නියෝග"
"Purchased","මිලදී ගත්තා"
"Bill-to Name","නමට බිල්පත්"
"Ship-to Name","නමට නැව්ගත කරන්න"
"Order Total","මුළු ඇණවුම"
"Purchase Point","මිලදී ගැනීමේ ස්ථානය"
"Billing Agreement View","බිල්පත් ගිවිසුම් දසුන"
"Are you sure you want to authorize full order amount?","ඔබට සම්පූර්ණ ඇණවුම් මුදල අනුමත කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Authorize","අවසරලත්"
"View Transaction Details","ගනුදෙනු විස්තර බලන්න"
"Reference Information","යොමු තොරතුරු"
"Transaction Information","ගනුදෙනු තොරතුරු"
"PayPal Fee Information","PayPal ගාස්තු තොරතුරු"
"PayPal Settlement Reports","PayPal බේරුම්කරණ වාර්තා"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","අපි නව වාර්තා ලබා ගැනීමට PayPal SFTP සේවාදායකයට සම්බන්ධ වෙමින් සිටිමු. ඔබට දිගටම කරගෙන යාමට අවශ්‍ය බව විශ්වාසද?"
"Fetch Updates","යාවත්කාලීන ලබා ගන්න"
"button_label","බොත්තම_ලේබලය"
"sandbox_button_label","sandbox_button_label"
"Help","උදව්"
"Configure","වින්‍යාස කරන්න"
"Close","වසන්න"
"Learn More","තවත් හදාරන්න"
"View Demo","Demo බලන්න"
"See terms","කොන්දේසි බලන්න"
"You will be redirected to the PayPal website.","ඔබව PayPal වෙබ් අඩවියට හරවා යවනු ලැබේ."
"You will be redirected to the PayPal website when you place an order.","ඔබ ඇණවුමක් කරන විට ඔබව PayPal වෙබ් අඩවියට හරවා යවනු ලැබේ."
"Incl. Tax","ඇතුළු. බද්ද"
"Billing Information","බිල්කරණ තොරතුරු"
"Shipping Information","නැව්ගත කිරීමේ තොරතුරු"
"Invalid block type","වලංගු නොවන වාරණ වර්ගය"
"Please specify the correct billing agreement ID and try again.","කරුණාකර නිවැරදි බිල්පත් ගිවිසුම් ID සඳහන් කර නැවත උත්සාහ කරන්න."
"You canceled the billing agreement.","ඔබ බිල්පත් ගිවිසුම අවලංගු කළා."
"We can't cancel the billing agreement.","අපිට බිල්පත් ගිවිසුම අවලංගු කරන්න බැහැ."
"You deleted the billing agreement.","ඔබ බිල්පත් ගිවිසුම මකා ඇත."
"We can't delete the billing agreement.","අපට බිල්පත් ගිවිසුම මකා දැමිය නොහැක."
"Payment authorization has been successfully created.","ගෙවීම් අවසරය සාර්ථකව නිර්මාණය කර ඇත."
"Unable to make payment authorization.","ගෙවීම් අවසරය සිදු කළ නොහැක."
"Reports","වාර්තා"
"Sales","විකුණුම්"
"View Transaction","ගනුදෙනු බලන්න"
"We found nothing to fetch because of an empty configuration.","හිස් වින්‍යාසයක් නිසා අපට ලබා ගැනීමට කිසිවක් සොයාගත නොහැකි විය."
