"Billing Agreements","Umowy rozliczeniowe"
"ID","Identyfikator"
"Email","E-mail"
"First Name","Imię"
"Last Name","Nazwisko"
"Reference ID","ID referencji"
"Status","Stan"
"Created","Utworzono"
"N/A","N/D"
"Updated","Zaktualizowano"
"Back","Powrót"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Cancel","Anuluj"
"Billing Agreement #%1","Umowa rozliczeniowa nr %1"
"General Information","Ogólne"
"Related Orders","Powiązane zamówienia"
"Order","Zamówienie"
"Purchased","Zakupiono"
"Bill-to Name","Rachunek na"
"Ship-to Name","Dostawa do"
"Order Total","Podsumowanie"
"Purchase Point","Miejsce zakupu"
"Billing Agreement View","Widok umowy rozliczeniowej"
"Are you sure you want to authorize full order amount?","Are you sure you want to authorize full order amount?"
"Authorize","Autoryzujautoryzuj"
"View Transaction Details","Zobacz szczegóły transakcji"
"Reference Information","Informacje referencji"
"Transaction Information","Informacje o transakcji"
"PayPal Fee Information","PayPal Fee Information"
"PayPal Settlement Reports","PayPal Settlement Reports"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Łączenie z PayPal SFTP serwer do pobierania nowych raportów. Czy na pewno chcesz kontynuować?"
"Fetch Updates","Pobierz aktualizacje"
"button_label","button_label"
"sandbox_button_label","sandbox_button_label"
"Help","Pomoc"
"Configure","Konfiguruj"
"Close","Zamknij"
"Learn More","Dowiedz się więcej"
"View Demo","Zobacz demo"
"See terms","Zobacz regulamin"
"You will be redirected to the PayPal website.","You will be redirected to the PayPal website."
"You will be redirected to the PayPal website when you place an order.","You will be redirected to the PayPal website when you place an order."
"Incl. Tax","Z podatkiem"
"Billing Information","Informacje rozliczeniowe"
"Shipping Information","Informacje o dostawie"
"Invalid block type","Nieprawidłowy typ bloku"
"Please specify the correct billing agreement ID and try again.","Proszę określić poprawny identyfikator umowy rozliczeniowej i spróbować ponownie."
"You canceled the billing agreement.","Anulowano umowę rozliczeniową."
"We can't cancel the billing agreement.","Nie możemy anulować umowy rozliczeniowej."
"You deleted the billing agreement.","Usunąłeś umowę rozliczeniową."
"We can't delete the billing agreement.","Nie można usunąć umowy rozliczeniowej."
"Payment authorization has been successfully created.","Payment authorization has been successfully created."
"Unable to make payment authorization.","Unable to make payment authorization."
"Reports","Raporty"
"Sales","Sprzedaż"
"View Transaction","Zobacz transakcję"
"We found nothing to fetch because of an empty configuration.","Nie znaleźliśmy nic do pobrania ze względu na pustą konfigurację."
"We fetched %1 report rows from ""%2@%3.""","Pobrane wiersze raportu %1 z ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","Nie można pobrać raportu z ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","Umowa rozliczeniowa ""%1"" została anulowana."
"The billing agreement ""%1"" has been created.","Umowa rozliczeniowa ""%1"" została utworzona."
"We couldn't finish the billing agreement wizard.","Nie możemy zakończyć Kreatora umowy płatności."
"We can't start the billing agreement wizard.","Nie możemy uruchomić kreatora umowy rozliczeniowej."
"Billing Agreement # %1","Umowa rozliczeniowa nr %1"
"We can't initialize Express Checkout.","Nie możemy zainicjować Ekspresowej Realizacji."
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"A wrong PayPal Express Checkout Token is specified.","Zły PayPal Express Checkout Token jest określony."
"Express Checkout and Order have been canceled.","Express Checkout i zamówienie zostały anulowane."
"Express Checkout has been canceled.","Express Checkout został anulowany."
"Unable to cancel Express Checkout","Nie można anulować zamówienia Express"
"Please agree to all the terms and conditions before placing the order.","Prosimy zatwierdzić warunki zamawiania przed jego złożeniem."
"We can't process Express Checkout approval.","Nie możemy przetworzyć zgody Ekspresowej Realizacji."
"We can't initialize Express Checkout review.","Nie możemy zainicjować recenzji Ekspresowej Realizacji."
"We can't update shipping method.","Nie udało się zaktualizować metody dostawy."
"We can't start Express Checkout.","Nie możemy uruchomić Ekspresowej Realizacji."
"To check out, please sign in with your email address.","Aby sprawdzić, Proszę Zaloguj się przy użyciu adresu e-mail."
"Sorry, but something went wrong","Przepraszamy, coś poszło nie tak"
"Your payment has been declined. Please try again.","Twoja płatność została odrzucona. Proszę spróbować ponownie."
"Requested payment method does not match with order.","Żądana metoda płatności jest niezgodna z zamówieniem."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Czy chcesz podpisać umowę rozliczeniową, aby przetwarzać dalsze zakupy z PayPal?"
"Error processing payment, please try again later.","Błąd podczas przetwarzania płatności, prosimy spróbować ponownie później."
"Authorization is not allowed.","Authorization is not allowed."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Bramka płatności jest nieosiągalna w tej chwili. Proszę użyć innej opcji płatności."
"PayPal response hasn't required fields.","PayPal response hasn't required fields."
"Something went wrong while processing your order.","Coś poszło nie tak podczas przetwarzania Twojego zamówienia."
"PayPal gateway has rejected request. %1","Bramka PayPal odrzuciła żądanie. %1"
"The PayPal gateway rejected the request. %1","Brama PayPal odrzucił żądanie. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Przepraszamy - ale nie byliśmy w stanie przetwarzać płatności. Proszę spróbować innej metody płatności lub skontaktuj się z nami, możemy pomóc."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Przepraszamy - ale nie jesteśmy w stanie ukończyć transakcji. Skontaktuj się z nami, więc możemy pomóc."
"A match of the Shipping Address City, State, and Postal Code failed.","Nie udało się dopasować adresu wysyłki: miasta, ulicy i numeru pocztowego."
"We can't place the order.","Nie można złożyć zamówienia."
"The payment method code is not set.","Kod metody płatności nie jest ustawiony."
"The reference ID is not set.","Identyfikator referencji nie jest ustawiony."
"Unable to save Billing Agreement:","Nie można zapisać umory rozliczeniowej:"
"Active","Aktywny"
"Canceled","Anulowane"
"The customer ID is not set.","Identyfikator klienta nie jest ustawiony."
"The Billing Agreement status is not set.","Stan umowy rozliczeniowej nie jest ustawiony."
"The PayPal certificate does not exist.","Certyfikat PayPal nie istnieje."
"We prefer PayPal (150 X 60)","Preferujemy PayPal (150 x 60))"
"We prefer PayPal (150 X 40)","Preferujemy PayPal (150 x 40))"
"Now accepting PayPal (150 X 60)","Akceptujemy teraz PayPal (150 x 60)"
"Now accepting PayPal (150 X 40)","Akceptujemy teraz PayPal (150 x 40)"
"Payments by PayPal (150 X 60)","Płatności PayPal (150 x 60)"
"Payments by PayPal (150 X 40)","Płatności PayPal (150 x 40)"
"Shop now using (150 X 60)","Kupuj teraz używając (150 x 60)"
"Shop now using (150 X 40)","Kupuj teraz używając (150 x 40)"
"Dynamic","Dynamiczny"
"Static","Statyczny"
"Shortcut","Skrót"
"Acceptance Mark Image","Obrazek znaku akceptacji"
"Authorization","Autoryzacja"
"Sale","Sprzedaż"
"Yes","Tak"
"No","Nie"
"For Virtual Quotes Only","Tylko dla wirtualnych wycen"
"Auto","Auto"
"Ask Customer","Zapytaj klienta"
"Never","Nigdy"
"IPN (Instant Payment Notification) Only","Tylko IPN (Instant Payment Notification) "
"API Signature","Podpis API"
"API Certificate","Certyfikat API"
"The maximum number of child authorizations is reached.","The maximum number of child authorizations is reached."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Autoryzacja ilości %1 od razu jak bramka płatności go zatwierdzi."
"The authorized amount is %1.","Autoryzacja ilości %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal nie przetwarza zamówień z zerowym saldem należności. Aby zakończyć zakupu, proszę przejść przez standardowy proces."
"A payer is not identified.","Zleceniodawca nie jest zidentyfikowany."
"Cannot get secure form URL from PayPal","Nie można uzyskać adresu URL bezpiecznego formularza z PayPal"
"Last Transaction ID","Ostatnie ID transakcji"
"This customer didn't include a confirmed address.","Klient nie załączył potwierdzonego adresu."
"The payment is authorized but not settled.","The payment is authorized but not settled."
"The payment eCheck is not cleared.","ECheck płatności nie jest czyszczony."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Handlowiec posiada konto z poza USA i nie ma mechanizmu wycofywania."
"The payment currency doesn't match any of the merchant's balances currency.","Waluta płatności nie pasuje do żadnej z walut z sald sprzedwacy."
"The payment is pending while it is being reviewed by PayPal for risk.","The payment is pending while it is being reviewed by PayPal for risk."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","The payment is pending because it was made to an email address that is not yet registered or confirmed."
"The merchant account is not yet verified.","Konto handlowca nie jest zweryfikowane."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status."
"Sorry, but something went wrong. Please contact PayPal customer service.","Przepraszamy, ale coś poszło nie tak. Proszę skontaktować się z obsługa klienta PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"Reversal of an adjustment.","Reversal of an adjustment."
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Reimbursement for a chargeback.","Reimbursement for a chargeback."
"Settlement of a chargeback.","Settlement of a chargeback."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Kupujący twierdzi, iż towary lub usługi które otrzymał, różnią się od opisu dostarczonego przez sprzedawcę."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"A case that has been resolved and close requires a reimbursement.","Sprawa zakończona i zamknięta wymaga zwrotu kosztów. "
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Unknown reason. Please contact PayPal customer service.","Unknown reason. Please contact PayPal customer service."
"Payer ID","ID płatnika"
"Payer Email","E-mail płatnika"
"Payer Status","Status płatnika"
"Payer Address ID","ID adresu płatnika"
"Payer Address Status","Status adresu płatnika"
"Merchant Protection Eligibility","Kwalifikowalność ochrony handlowca"
"Triggered Fraud Filters","Triggered Fraud Filters"
"Last Correlation ID","Ostatnie ID korelacji"
"Address Verification System Response","Odpowiedź systemu weryfikacji adresu"
"CVV2 Check Result by PayPal","Rezultat sprawdzenia CVV2 przez PayPal"
"AVS Street Match","AVS Street Match"
"AVS zip","AVS zip"
"International AVS response","Międzynarodowa odpowiedź AVS"
"Buyer's Tax ID","ID podatkowe klienta"
"Buyer's Tax ID Type","Typ ID podatkowego klienta"
"Chargeback","Zwrot"
"Complaint","Skarga"
"Dispute","Dyskutuj"
"Matched Address only (no ZIP)","Pasujący tylko adres (bez kodu)"
"Matched Address only (no ZIP) International","Pasujący tylko adres (bez kodu). Międzynarodowe"
"No Details matched","Szczegóły nie pasują"
"No Details matched. International","Szczegóły nie pasują. Międzynarodowo"
"Exact Match.","Dokładne dopasowany."
"Exact Match. Address and Postal Code. International","Dokładne dopasowania. Adres i kod pocztowy. Międzynarodowe"
"Exact Match. Address and Postal Code. UK-specific","Dokładne dopasowania. Adres i kod pocztowy. Tylko UK"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/D. Nie dozwolone dla transakcji MOTO (interner/telefon)"
"N/A. Global Unavailable","N/D. Globalnie niedostepne"
"N/A. International Unavailable","N/D. Niedostepne międzynarodowo"
"Matched five-digit ZIP only (no Address)","Pasujący tylko 5-cyfrowy kod pocztowy (bez adresu)"
"Matched Postal Code only (no Address)","Pasujący tylko kod pocztowy (bez adresu)"
"N/A. Retry","N/D. Spróbuj ponownie"
"N/A. Service not Supported","N/D. Usługa niewspierana"
"N/A. Unavailable","N/D. Niedostepne"
"Matched whole nine-digit ZIP (no Address)","Matched whole nine-digit ZIP (no Address)"
"Yes. Matched Address and five-digit ZIP","Yes. Matched Address and five-digit ZIP"
"All the address information matched","Wszystki informacje o adresie pasują."
"None of the address information matched","Żadna z informacji adresowych nie porównana"
"Part of the address information matched","Część informacji adresowych nie porównana"
"N/A. The merchant did not provide AVS information","N/D. Handlowiec nie dostarcza informacji AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/D. Adres niesprawdzony, lub nie było odpowiedzi. Usług nie jest dostępna"
"Matched (CVV2CSC)","Pasujące (CVV2CSC)"
"No match","Brak zgodności"
"N/A. Not processed","N/D. Nie przetworzono"
"N/A. Service not supported","N/D. Usługa niewspierana"
"N/A. Service not available","N/D. Usługa niedostępna"
"N/A. No response","N/D. Brak odpowiedzi"
"Matched (CVV2)","Pasujące (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/D. Handlowiec nie zaimplementował obsługi kodu CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/D. Handlowiec zaznaczył, że na karcie brak CVV2"
"CNPJ","CNPL"
"CPF","CPF"
"Credit Card","Karta kredytowa"
"ending","końcówka"
"expires","wygasa"
"Note: %1","Uwaga: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Spór został rozwiązany i zamknięty. %2 kwota transakcji %3."
"You notified customer about invoice #%1.","Powiadomienia klienta o fakturze #%1."
"We cannot cancel this order.","Nie możemy anulować tego zamówienia."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 %3 kwota transakcji. Identyfikator transakcji: ""%4"""
"You notified customer about creditmemo #%1.","Powiadomienia klienta o fakturze korygującej #%1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Unable to fetch transaction details.","Nie można pobrać szczegóły transakcji."
"Invalid method %1::%2","Nieprawidłowa metoda %1::%2"
"Transaction has been declined","Transakcja została odrzucona"
"Error processing payment. Please try again later.","Błąd podczas przetwarzania płatności. Prosimy spróbować ponownie później."
"We cannot send the new order email.","Nie można wysłać nowego e-mailu zamówienia."
"Payment error. %value was not found.","Payment error. %value was not found."
"You cannot void a verification transaction.","Nie można unieważnić weryfikacji transakcji."
"You need an authorization transaction to void.","Potrzebujesz autoryzacji transakcji do unieważnienia."
"We can't issue a refund transaction because there is no capture transaction.","Nie możemy wydać transakcji zwrotnej, ponieważ żadna transakcja nie została przechwycona."
"We cannot create a target file for reading reports.","Nie można utworzyć docelowego pliku dla odczytania raportów."
"Report Date","Data raportu"
"Merchant Account","Konto handlowca"
"Transaction ID","Identyfikator transakcji"
"Invoice ID","ID faktury"
"PayPal Reference ID","PayPal Reference ID"
"PayPal Reference ID Type","PayPal Reference ID Type"
"Event Code","Kod wydarzenia"
"Event","Wydarzenie"
