"Billing Agreements","הוראות קבע"
"ID","מזהה"
"Email","דואר אלקטרוני"
"First Name","שם פרטי"
"Last Name","שם משפחה"
"Reference ID","מזהה ההפניה"
"Status","סטטוס"
"Created","נוצר"
"N/A","לא זמין"
"Updated","עודכן"
"Back","חזור"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Cancel","ביטול"
"Billing Agreement #%1","הוראת קבע #%1"
"General Information","מידע כללי"
"Related Orders","Related Orders"
"Order","הזמנה"
"Purchased","נרכש"
"Bill-to Name","שלח חיוב לשם"
"Ship-to Name","נשלח אל שם"
"Order Total","סה""כ להזמנה"
"Purchase Point","נקודת רכישה"
"Billing Agreement View","Billing Agreement View"
"Are you sure you want to authorize full order amount?","Are you sure you want to authorize full order amount?"
"Authorize","Authorize"
"View Transaction Details","צפיה בפרטי הזמנה"
"Reference Information","Reference Information"
"Transaction Information","Transaction Information"
"PayPal Fee Information","פרטי עמלות PayPal"
"PayPal Settlement Reports","PayPal Settlement Reports"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Fetch Updates"
"button_label","תווית הכפתור"
"sandbox_button_label","sandbox_button_label"
"Help","Help"
"Configure","הגדר"
"Close","סגור"
"Learn More","מידע נוסף"
"View Demo","צפה בהדגמה"
"See terms","צפייה בתנאים"
"You will be redirected to the PayPal website.","בסיום ההזמנה תנותב לדף המאובטח של פייפאל לביצוע התשלום."
"You will be redirected to the PayPal website when you place an order.","You will be redirected to the PayPal website when you place an order."
"Incl. Tax","כולל מס"
"Billing Information","פרטי חיוב"
"Shipping Information","פרטי משלוח"
"Invalid block type","סוג בלוק לא חוקי"
"Please specify the correct billing agreement ID and try again.","Please specify the correct billing agreement ID and try again."
"You canceled the billing agreement.","You canceled the billing agreement."
"We can't cancel the billing agreement.","לא ניתן לבטל את החיוב."
"You deleted the billing agreement.","You deleted the billing agreement."
"We can't delete the billing agreement.","לא ניתן למחוק את החיוב."
"Payment authorization has been successfully created.","Payment authorization has been successfully created."
"Unable to make payment authorization.","Unable to make payment authorization."
"Reports","דו""חות"
"Sales","מכירות"
"View Transaction","צפייה בעסקה"
"We found nothing to fetch because of an empty configuration.","We found nothing to fetch because of an empty configuration."
"We fetched %1 report rows from ""%2@%3.""","We fetched %1 report rows from ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","We can't fetch reports from ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","בוטל ההסכם החיוב ""%1""."
"The billing agreement ""%1"" has been created.","The billing agreement ""%1"" has been created."
"We couldn't finish the billing agreement wizard.","איננו יכולים לסיים את אשף החיוב."
"We can't start the billing agreement wizard.","אין לנו אפשרות להפעיל את אשף החיוב."
"Billing Agreement # %1","Billing Agreement # %1"
"We can't initialize Express Checkout.","אין לנו אפשרות לאתחל את חיוב אקספרס."
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"A wrong PayPal Express Checkout Token is specified.","A wrong PayPal Express Checkout Token is specified."
"Express Checkout and Order have been canceled.","Express Checkout and Order have been canceled."
"Express Checkout has been canceled.","תשלום באמצעות PayPal בוטל."
"Unable to cancel Express Checkout","Unable to cancel Express Checkout"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't process Express Checkout approval.","איננו יכולים לעבד אישור לחיוב אקספרס."
"We can't initialize Express Checkout review.","אין לנו אפשרות לאתחל ביקורת לחיוב אקספרס."
"We can't update shipping method.","איננו יכולים לעדכן את שיטת המשלוח."
