"Billing Agreements","Ödeme anlaşmaları"
"ID","No"
"Email","E-posta"
"First Name","Adı"
"Last Name","Soyadı"
"Reference ID","Referans No"
"Status","Durum"
"Created","Oluşturuldu"
"N/A","Mevcut Değil"
"Updated","Güncellendi"
"Back","Geri"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Cancel","İptal"
"Billing Agreement #%1","Faturalandırma Sözleşmesi #%1"
"General Information","Genel Bilgi"
"Related Orders","İlişkili Siparişler"
"Order","Sipariş"
"Purchased","Satın alınan"
"Bill-to Name","Fatura adı"
"Ship-to Name","İsme Sevk"
"Order Total","Sipariş Toplamı"
"Purchase Point","Satın alma Noktası"
"Billing Agreement View","Ödeme Sözleşmesi Göster"
"Are you sure you want to authorize full order amount?","Are you sure you want to authorize full order amount?"
"Authorize","Authorize"
"View Transaction Details","İşlem Detayını Göster"
"Reference Information","Referans Bilgisi"
"Transaction Information","İşlem Bilgisi"
"PayPal Fee Information","PayPal Ücret Bilgisi"
"PayPal Settlement Reports","PayPal Bakiye Raporları"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Yeni raporlar almak için PayPal SFTP sunucusuna bağlanıyoruz. Devam etmek istediğinize emin misiniz?"
"Fetch Updates","Güncellemeleri Getir"
"button_label","etiket_butonu"
"sandbox_button_label","sanalalan__etiket_butonu"
"Help","Yardım"
"Configure","Yapılandır"
"Close","Kapat"
"Learn More","Daha fazla bilgi"
"View Demo","Demo Göster"
"See terms","Terimlere bakınız"
"You will be redirected to the PayPal website.","PayPal web sitesine yönlendirileceksiniz."
"You will be redirected to the PayPal website when you place an order.","Siparişinizi tamamlamak için PayPal sitesine yönlendirileceksiniz."
"Incl. Tax","Vergi Dahil"
"Billing Information","Fatura Adresi Bilgisi"
"Shipping Information","Teslimat Bilgisi"
"Invalid block type","Geçersiz blok türü"
"Please specify the correct billing agreement ID and try again.","Lütfen doğru faturalandırma sözleşmesi kimliğini belirtin ve tekrar deneyin."
"You canceled the billing agreement.","Faturalandırma Sözleşmesi iptal edildi."
"We can't cancel the billing agreement.","Faturalandırma Sözleşmesi iptal edilemiyor."
"You deleted the billing agreement.","Faturalandırma Sözleşmesi silindi."
"We can't delete the billing agreement.","Faturalandırma Sözleşmesi iptal edilemiyor."
"Payment authorization has been successfully created.","Payment authorization has been successfully created."
"Unable to make payment authorization.","Unable to make payment authorization."
"Reports","Raporlar"
"Sales","Satışlar"
"View Transaction","İşlemi Göster"
"We found nothing to fetch because of an empty configuration.","Boş bir yapılandırma yüzünden getirilecek bir şey bulamadık."
"We fetched %1 report rows from ""%2@%3.""","''%2@%3.'' den %1 rapor satırı aldık"
"We can't fetch reports from ""%1@%2.""","''%1@%2.'' den raporlar getirilemiyor"
"The billing agreement ""%1"" has been canceled.","""%1"" Faturalandırma Sözleşmesi iptal edildi."
"The billing agreement ""%1"" has been created.","Faturalandırma Sözleşmesi ""%1"" oluşturuldu."
"We couldn't finish the billing agreement wizard.","Faturalandırma sözleşmesi sihirbazını bitiremedik."
"We can't start the billing agreement wizard.","Faturalandırma sözleşmesi sihirbazını başlatamıyoruz."
"Billing Agreement # %1","Faturalandırma Sözleşmesi #%1"
"We can't initialize Express Checkout.","Hızlı Ödemeyi başlangıç konumuna getiremiyoruz."
"PayPal Express Checkout Token does not exist.","PayPal Ekspres Ödeme anahtar bilgisi bulunamadı."
"A wrong PayPal Express Checkout Token is specified.","Yanlış bir PayPal Ekspres Satınalma Kodu belirtildi."
"Express Checkout and Order have been canceled.","Ekspres Ödeme ve Sipariş iptal edildi."
"Express Checkout has been canceled.","Ekspres Ödeme iptal edildi."
"Unable to cancel Express Checkout","Ekspres Satınalma İşlemi iptal edilemiyor"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't process Express Checkout approval.","Hızlı Ödeme onayını işleme koyamıyoruz."
"We can't initialize Express Checkout review.","Hızlı Ödeme incelemesini başlangıç konumuna getiremiyoruz."
"We can't update shipping method.","Sevkiyat yöntemi güncelleştiremiyor."
"We can't start Express Checkout.","Hızlı Ödemeyi başlatamıyoruz."
"To check out, please sign in with your email address.","Kontrol etmek için lütfen e-posta adresinizle giriş yapın."
"Sorry, but something went wrong","Üzgünüz, ama bir şeyler ters gitti"
"Your payment has been declined. Please try again.","Ödemeniz reddedildi. Lütfen tekrar deneyin."
"Requested payment method does not match with order.","İstenen ödeme yöntemi sipariş ile eşleşmiyor."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Ödemelerinizi düzenli alabilmek için PayPal ile ödeme sözleşmesi imzalamak ister misiniz?"
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Authorization is not allowed.","Authorization is not allowed."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Ödeme Ağ Geçidine şu anda erişilemiyor. Lütfen başka bir ödeme seçeneği kullanın."
