"Shopping Cart","עגלת קניות"
"Invalid method: %1","שיטה לא חוקית: %1"
"City","עיר"
"Country","ארץ"
"State/Province","מדינה/מחוז"
"Zip/Postal Code","מיקוד"
"My Cart (1 item)","העגלה שלי (פריט 1)"
"My Cart (%1 items)","העגלה שלי (%1 פריטים)"
"My Cart","העגלה שלי"
"For delivery questions.","לשאלות משלוח."
"Customer is already registered","לקוח כבר רשום"
"Your session has expired","ההפעלה שלך פגה"
"A letter with further instructions will be sent to your email.","מכתב עם הוראות נוספות ישלח לכתובת הדואר האלקטרונית שלך."
"You added %1 to your shopping cart.","%1 נוסף לעגלת הקניות."
"We can't add this item to your shopping cart right now."," לא ניתן להוסיף פריט זה לסל הקניות שלך כרגע."
"Out of stock","אזל מהמלאי"
"We can't find the quote item.","אי אפשר למצוא את הפריט."
"We cannot configure the product.","אנחנו לא יכולים להגדיר את המוצר."
"You used coupon code ""%1"".","השתמשת בקוד הקופון ""%1""."
"The coupon code ""%1"" is not valid.","קוד הקופון ""%1"" אינו תקין."
"You canceled the coupon code.","ביטלת את קוד הקופון."
"We cannot apply the coupon code.","לא ניתן להחיל את קוד הקופון."
"We can't remove the item.","לא ניתן להסיר את הפריט."
"%1 was updated in your shopping cart.","%1 עודכן בעגלת הקניות שלך."
"We can't update the item right now."," לא ניתן לעדכן את הפריט כרגע."
"We can't update the shopping cart.","לא ניתן לעדכן את סל הקניות."
"One-page checkout is turned off.","קופה בעמוד אחד כבויה."
"Guest checkout is disabled.","תשלום כאורח אינו זמין."
"Checkout","קופה"
"Page not found.","העמוד לא נמצא."
"Please agree to all the terms and conditions before placing the order.","בבקשה הסכם לכלל תנאי השימוש לפני ביצוע ההזמנה."
"Something went wrong while processing your order. Please try again later.","משהו השתבש בעת עיבוד הזמנתך. אנא נסה שוב מאוחר יותר."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1. אינו יורש מ-\Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","שיטת התשלום"
"Payment Page","עמוד תשלום"
"We can't find the product.","לא ניתן למצוא את המוצר."
"We found an invalid request for adding product to quote.","מצאנו כמות לא חוקית למשלוח עבור פריט ""%1""."
"The product does not exist.","המוצר אינו קיים."
"We don't have some of the products you want.","אין לנו חלק מהמוצרים שרצית."
"We don't have as many of some products as you want.","אין לנו חלק מהכמויות של מהמוצרים שרצית."
"Quantity was recalculated from %1 to %2","הכמות השתנה מ-%1 ל-%2"
"We adjusted product quantities to fit the required increments.","התאמנו את כמויות המוצר כדי להתאים למרווחים הדרושים."
"This quote item does not exist.","פריט הצעת מחיר זה אינו קיים."
"Display number of items in cart","הצג כמות פריטים בעגלה"
"Display item quantities","הצגת כמויות פריטים"
"An error occurred on the server. Please try to place the order again.","אירעה שגיאה בעת שמירה. נא סקור את דוח השגיאות."
"Shipping address is not set","כתובת למשלוח אינה מוגדרת"
"Unable to save shipping information. Please check input data.","לא ניתן לשמור את פרטי המשלוח. אנא בדוק את הפרטים שהזנת."
"Carrier with such method not found: %1, %2","מוביל עם שיטה כזו לא נמצא: %1, %2"
"Shipping method is not applicable for empty cart","שיטת משלוח אינה ישימה עבור עגלה ריקה"
" item"," פריט"
" items"," פריטים"
"Totals calculation is not applicable to empty cart","חישוב סכום אינו ישים עבור עגלה ריקה"
"Invalid data","נתונים לא חוקיים"
"The customer address is not valid.","כתובת הלקוח אינה חוקית."
"Invalid shipping method","שיטת המשלוח אינה חוקית"
"There are more than one shipping addresses.","יש יותר מכתובות אחת למשלוח."
"Sorry, guest checkout is not available.","מצטערים, הזמנה בתור אורח לא זמינה."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","עליך לאמת את החשבון שלך. נא בדוק את הדוא״ל שלך עבור קישור לאישור או <a href=""%1""> לחץ כאן</a> לקבלת קישור חדש."
"Load customer quote error","שגיאה בטעינת הצעת המחיר של הלקוח"
"Error message!","הודעת שגיאה!"
"Error!","שגיאה!"
"DB exception","חריגת מסד נתונים"
"Message","הודעה"
"Print receipt","הדפס קבלה"
"Apply Discount Code","שימוש בקוד הנחה"
"Enter discount code","הזינו קוד הנחה"
"Apply Discount","מימוש"
"Cancel Coupon","בטל קופון"
"Shopping Cart Items","פריטים בעגלת הקניות"
"Item","פריט"
"Price","מחיר"
"Qty","כמות"
"Subtotal","סכום ביניים"
"Continue Shopping","המשך בקניות"
"Clear Shopping Cart","ניקוי עגלת קניות"
"Update Shopping Cart","רענון עגלת קניות"
"Update Cart","עדכון עגלת קניות"
"See price before order confirmation.","ראה מחיר לפני אישור ההזמנה."
"What's this?","מה זה?"
"Edit item parameters","עריכת אפשרויות הפריט"
"Edit","ערוך"
"Remove item","הסר פריט"
"You have no items in your shopping cart.","סל הקניות שלך ריק."
"Click <a href=""%1"">here</a> to continue shopping.","לחץ <a href=""%1"">כאן</a> כדי להמשיך לקניות נוספות."
"Estimate Tax","עלות מע""מ משוערת"
"Estimate Shipping and Tax","עלות משלוח ומע""מ משוערת"
"Excl. Tax","למעט מע""מ"
"Loading...","טוען..."
"Order #","# הזמנה"
"Proceed to Checkout","המשך לתשלום"
"Product Name","שם מוצר"
"Incl. Tax","כולל מע""מ"
"Your order number is: %1.","מספר ההזמנה שלך: %1."
"Your order # is: <span>%1</span>.","מספר ההזמנה שלך: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","יישלח אימייל אישור עם פרטים על ההזמנה ומידע למעקב אחר החבילה."
"Payment Transaction Failed Reminder","תזכורת עבור עסקת תשלום שנכשלה"
"Payment Transaction Failed","עסקה תשלום שנכשלה"
"Reason","סיבה"
"Checkout Type","סוג קופה"
"Customer:","לקוח:"
"Items","פריטים"
"Total:","סך הכל:"
"Billing Address:","כתובת חיוב:"
"Shipping Address:","כתובת למשלוח:"
"Shipping Method:","שיטות המשלוח:"
"Payment Method:","שיטת תשלום:"
"Date & Time:","תאריך ושעה:"
"Sign In","כניסה"
"Email Address","כתובת דוא""ל"
"Password","סיסמה"
"Forgot Your Password?","שכחת סיסמה?"
"My billing and shipping address are the same","כתובת החיוב וכתובת המשלוח שלי זהות"
"Update","עדכן"
"Cancel","ביטול"
"Save in address book","שמור בספר הכתובות"
"Estimated Total","סכום משוער"
"You can create an account after checkout.","ניתן ליצור חשבון לקוח בסיום הרכישה."
