"Shopping Cart","Корзина"
"Invalid method: %1","Недействительный метод: %1"
"City","Город"
"Country","Страна"
"State/Province","Область"
"Zip/Postal Code","Почтовый индекс"
"My Cart (1 item)","Моя корзина (1 шт.)"
"My Cart (%1 items)","Моя корзина (%1 шт.)"
"My Cart","Моя корзина"
"For delivery questions.","По вопросам доставки."
"Customer is already registered","Покупатель уже зарегистрирован"
"Your session has expired","Ваша время истекло"
"A letter with further instructions will be sent to your email.","Письмо с дальнейшими инструкциями будет отправлено на ваш адрес электронной почты."
"You added %1 to your shopping cart.","%1 добавлены в вашу корзину."
"We can't add this item to your shopping cart right now.","Мы не может добавить этот элемент в корзину прямо сейчас."
"Out of stock","Нет в наличии"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Мы не можем конфигурировать товар."
"You used coupon code ""%1"".","Вы использовали код купона ""%1""."
"The coupon code ""%1"" is not valid.","Купон код «%1» не действительный."
"You canceled the coupon code.","Вы отменили код купона."
"We cannot apply the coupon code.","Мы не можем использовать код купона."
"We can't remove the item.","Мы не можем удалить элемент."
"%1 was updated in your shopping cart.","%1 было обновлено в вашей корзине покупок."
"We can't update the item right now.","Мы не можем обновить элемент прямо сейчас."
"We can't update the shopping cart.","Мы не можем обновить корзину."
"One-page checkout is turned off.","Одностраничная проверка отключена."
"Guest checkout is disabled.","Для гостей оформление заказа отключено."
"Checkout","Checkout"
"Page not found.","Страница не найдена."
"Please agree to all the terms and conditions before placing the order.","Пожалуйста, согласитесь со всеми условиями до размещения заказа."
"Something went wrong while processing your order. Please try again later.","Во время обработки вашего заказа что-то пошло не так. Пожалуйста, повторите попытку позже."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Метод оплаты"
"Payment Page","Страница оплаты"
"We can't find the product.","Мы не можем найти продукт."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"The product does not exist.","Продукт не существует."
"We don't have some of the products you want.","У нас нет некоторых товаров, которые вы хотите."
"We don't have as many of some products as you want.","У нас нет так много продуктов, как вы хотите."
"Quantity was recalculated from %1 to %2","Количество была пересчитана от %1 до %2"
"We adjusted product quantities to fit the required increments.","Мы скорректировали количество товаров, чтобы соответствовать требуемым приращениям."
"This quote item does not exist.","Данная инструкция не существует."
"Display number of items in cart","Показать количество товаров в корзине"
"Display item quantities","Показ количество товаров"
"An error occurred on the server. Please try to place the order again.","Произошла ошибка на сервере. Пожалуйста, попробуйте повторить размещение заказа."
"Shipping address is not set","Адрес доставки не установлен"
"Unable to save shipping information. Please check input data.","Не удалось сохранить информацию о доставке. Пожалуйста, проверьте входные данные."
