"Shopping Cart","සාප්පු ට්රොලිය"
"Invalid method: %1","වලංගු නොවන ක්‍රමය: %1"
"City","නගරය"
"Country","රට"
"State/Province","ප්රාන්තය/පළාත"
"Zip/Postal Code","සිප් / තැපැල් කේතය"
"My Cart (1 item)","මගේ කරත්තය (අයිතම 1)"
"My Cart (%1 items)","මගේ කරත්තය (අයිතම%1)"
"My Cart","මගේ කරත්තය"
"For delivery questions.","බෙදාහැරීමේ ප්රශ්න සඳහා."
"Customer is already registered","පාරිභෝගිකයා දැනටමත් ලියාපදිංචි වී ඇත"
"Your session has expired","ඔබගේ සැසිය කල් ඉකුත් වී ඇත"
"A letter with further instructions will be sent to your email.","වැඩිදුර උපදෙස් සහිත ලිපියක් ඔබගේ විද්‍යුත් තැපෑලට එවනු ලැබේ."
"You added %1 to your shopping cart.","ඔබ ඔබේ සාප්පු කරත්තයට %1 එකතු කළා."
"We can't add this item to your shopping cart right now.","අපට මෙම අයිතමය දැන් ඔබේ සාප්පු කරත්තයට එක් කළ නොහැක."
"Out of stock","තොග අවසන්"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","අපට නිෂ්පාදනය වින්‍යාස කළ නොහැක."
"You used coupon code ""%1"".","ඔබ කූපන් කේතය ""%1"" භාවිත කළා."
"The coupon code ""%1"" is not valid.","කූපන් කේතය ""%1"" වලංගු නැත."
"You canceled the coupon code.","ඔබ කූපන් කේතය අවලංගු කළා."
"We cannot apply the coupon code.","අපට කූපන් කේතය යෙදිය නොහැක."
"We can't remove the item.","අපට අයිතමය ඉවත් කළ නොහැක."
"%1 was updated in your shopping cart.","%1 ඔබේ සාප්පු කරත්තයේ යාවත්කාලීන කර ඇත."
"We can't update the item right now.","අපට දැන් අයිතමය යාවත්කාලීන කළ නොහැක."
"We can't update the shopping cart.","අපට සාප්පු කරත්තය යාවත්කාලීන කළ නොහැක."
"One-page checkout is turned off.","එක් පිටුවක පිටවීම අක්‍රිය කර ඇත."
"Guest checkout is disabled.","අමුත්තන් පිටවීම අබල කර ඇත."
"Checkout","පරීක්ෂාකාරී වන්න"
"Page not found.","පිටුව හමු නොවීය."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","ඔබගේ ඇණවුම සැකසීමේදී යම් දෙයක් වැරදී ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 \Magento\Checkout\CustomerData\Item Interface දිගු නොකරයි"
"Payment Method","ගෙවීම් ක්රමය"
"Payment Page","ගෙවීම් පිටුව"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","උපුටා දැක්වීමට නිෂ්පාදනයක් එක් කිරීම සඳහා වලංගු නොවන ඉල්ලීමක් අපට හමු විය."
"The product does not exist.","නිෂ්පාදනය නොපවතී."
"We don't have some of the products you want.","ඔබට අවශ්‍ය සමහර නිෂ්පාදන අප සතුව නොමැත."
"We don't have as many of some products as you want.","සමහර නිෂ්පාදන ඔබට අවශ්‍ය තරම් අප සතුව නොමැත."
"Quantity was recalculated from %1 to %2","ප්‍රමාණය %1 සිට %2දක්වා නැවත ගණනය කරන ලදී"
"We adjusted product quantities to fit the required increments.","අවශ්‍ය වර්ධකවලට සරිලන පරිදි අපි නිෂ්පාදන ප්‍රමාණය සකස් කළෙමු."
"This quote item does not exist.","මෙම උපුටා දැක්වීමේ අයිතමය නොපවතී."
"Display number of items in cart","කරත්තයේ ඇති අයිතම ගණන ප්‍රදර්ශනය කරන්න"
"Display item quantities","අයිතම ප්‍රමාණ පෙන්වන්න"
"An error occurred on the server. Please try to place the order again.","සේවාදායකයේ දෝෂයක් ඇති විය. කරුණාකර නැවත ඇණවුම කිරීමට උත්සාහ කරන්න."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","එවැනි ක්‍රමයක් සහිත වාහකය හමු නොවීය: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," අයිතමය"
" items"," අයිතම"
"Totals calculation is not applicable to empty cart","මුළු ගණනය හිස් කරත්තයට අදාළ නොවේ"
"Invalid data","වලංගු නොවන දත්ත"
"The customer address is not valid.","පාරිභෝගික ලිපිනය වලංගු නොවේ."
"Invalid shipping method","වලංගු නොවන නැව්ගත කිරීමේ ක්‍රමය"
"There are more than one shipping addresses.","නැව්ගත කිරීමේ ලිපින එකකට වඩා තිබේ."
"Sorry, guest checkout is not available.","සමාවන්න, ආගන්තුක පිටවීම ලබා ගත නොහැක."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","ඔබ ඔබගේ ගිණුම තහවුරු කළ යුතුය. කරුණාකර තහවුරු කිරීමේ සබැඳිය සඳහා ඔබේ විද්‍යුත් තැපෑල පරීක්ෂා කරන්න හෝ නව සබැඳියක් සඳහා <a href=""%1"">මෙතැන ක්ලික් කරන්න</a>."
"Load customer quote error","පාරිභෝගික උද්ධෘත දෝෂය පූරණය කරන්න"
"Error message!","Error message!"
"Error!","දෝෂයක්!"
"DB exception","DB ව්යතිරේකය"
"Message","පණිවුඩය"
"Print receipt","මුද්‍රණ ලදුපත"
"Apply Discount Code","වට්ටම් කේතය යොදන්න"
"Enter discount code","වට්ටම් කේතය ඇතුළත් කරන්න"
"Apply Discount","වට්ටම් අයදුම් කරන්න"
"Cancel Coupon","කූපනය අවලංගු කරන්න"
"Shopping Cart Items","සාප්පු කරත්ත අයිතම"
"Item","අයිතමය"
"Price","මිල"
"Qty","Qty"
"Subtotal","උප එකතුව"
"Continue Shopping","තවත් දෑ මිලදී ගන්න"
"Clear Shopping Cart","පැහැදිලි සාප්පු කරත්තය"
"Update Shopping Cart","සාප්පු කරත්තය යාවත්කාලීන කරන්න"
"Update Cart","කරත්තය යාවත්කාලීන කරන්න"
"See price before order confirmation.","ඇණවුම තහවුරු කිරීමට පෙර මිල බලන්න."
"What's this?","මෙය කුමක් ද?"
"Edit item parameters","අයිතම පරාමිතීන් සංස්කරණය කරන්න"
"Edit","සංස්කරණය කරන්න"
"Remove item","අයිතමය ඉවත් කරන්න"
"You have no items in your shopping cart.","ඔබේ සාප්පු කරත්තයේ ඔබට අයිතම නොමැත."
"Click <a href=""%1"">here</a> to continue shopping.","සාප්පු යාම දිගටම කරගෙන යාමට මෙහි <a href=""%1""></a> ක්ලික් කරන්න."
"Estimate Tax","ඇස්තමේන්තු බදු"
"Estimate Shipping and Tax","ඇස්තමේන්තුගත නැව්ගත කිරීම සහ බදු"
"Excl. Tax","හැර. බද්ද"
"Loading...","පූරණය වෙමින්..."
"Order #","නියෝග #"
"Proceed to Checkout","පරීක්ෂා කිරීම වෙත යන්න"
"Product Name","නිෂ්පාදන නාමය"
"Incl. Tax","ඇතුළු. බද්ද"
"Your order number is: %1.","ඔබගේ ඇණවුම් අංකය: %1."
"Your order # is: <span>%1</span>.","ඔබගේ ඇණවුම # වන්නේ: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","අපි ඔබට විස්තර සහ ලුහුබැඳීමේ තොරතුරු සහිත ඇණවුම තහවුරු කිරීමක් ඊමේල් කරන්නෙමු."
"Payment Transaction Failed Reminder","ගෙවීම් ගනුදෙනුව අසාර්ථක වූ සිහිකැඳවීම"
"Payment Transaction Failed","ගෙවීම් ගනුදෙනුව අසාර්ථක විය"
"Reason","හේතුව"
"Checkout Type","පිටවීමේ වර්ගය"
"Customer:","පාරිභෝගික:"
"Items","අයිතම"
"Total:","සමස්ත:"
"Billing Address:","බිල්පත් ලිපිනය:"
"Shipping Address:","බෙදාහැරීමේ ලිපිනය:"
"Shipping Method:","නැව්ගත කිරීමේ ක්රමය:"
"Payment Method:","ගෙවීම් ක්රමය:"
"Date & Time:","දිනය වෙලාව:"
"Sign In","පුරන්න"
"Email Address","විද්යුත් තැපැල් ලිපිනය"
"Password","මුරපදය"
"Forgot Your Password?","මුරපදය අමතක වුනාද?"
"My billing and shipping address are the same","මගේ බිල්පත් සහ නැව්ගත කිරීමේ ලිපිනය සමාන වේ"
"Update","යාවත්කාලීන කරන්න"
"Cancel","අවලංගු කරන්න"
"Save in address book","ලිපින පොතේ සුරකින්න"
"Estimated Total","ඇස්තමේන්තුගත එකතුව"
"You can create an account after checkout.","පිටවීමෙන් පසු ඔබට ගිණුමක් සෑදිය හැක."
"You already have an account with us. Sign in or continue as guest.","ඔබට දැනටමත් අප සමඟ ගිණුමක් ඇත. පුරන්න හෝ ආගන්තුකයෙකු ලෙස ඉදිරියට යන්න."
"Login","ඇතුල් වන්න"
"See Details","විස්තර බලන්න"
"Options Details","විකල්ප විස්තර"
"Remove","ඉවත් කරන්න"
"Cart Subtotal","කරත්ත උප එකතුව"
"Payment Information","ගෙවීම් තොරතුරු"
"No Payment method available.","ගෙවීමේ ක්‍රමයක් නොමැත."
"You can track your order status by creating an account.","ගිණුමක් නිර්මාණය කිරීමෙන් ඔබට ඔබගේ ඇණවුම් තත්ත්වය නිරීක්ෂණය කළ හැක."
"Place Order","ඇනවුම කරන්න"
"Forgot an Item?","අයිතමයක් අමතකද?"
"Edit Your Cart","ඔබේ කරත්තය සංස්කරණය කරන්න"
"Ship Here","මෙහි නැව්ගත කරන්න"
"Ship To:","වෙත නැව්ගත කරන්න:"
"edit","සංස්කරණය කරන්න"
"Order Summary","ඇණවුම් සාරාංශය"
"View and Edit Cart","කරත්තය බලන්න සහ සංස්කරණය කරන්න"
"View Details","තොරතුරු පෙන්වන්න"
"Field ","ක්ෂේත්රය "
" is required."," අවශ්යයි."
"Provided Zip/Postal Code seems to be invalid.","සපයා ඇති සිප්/තැපැල් කේතය වලංගු නොවන බව පෙනේ."
" Example: "," උදාහරණයක්: "
"If you believe it is the right one you can ignore this notice.","එය නිවැරදි බව ඔබ විශ්වාස කරන්නේ නම්, ඔබට මෙම දැනුම්දීම නොසලකා හැරිය හැක."
"New Address","නව ලිපිනය"
"Are you sure you would like to remove this item from the shopping cart?","ඔබ මෙම අයිතමය සාප්පු කරත්තයෙන් ඉවත් කිරීමට කැමති බව ඔබට විශ්වාසද?"
"Review & Payments","සමාලෝචනය සහ ගෙවීම්"
"Select a new payment method","නව ගෙවීම් ක්‍රමයක් තෝරන්න"
"Shipping","නාවික"
"Save Address","ලිපිනය සුරකින්න"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","පිටවීමේ විකල්ප"
"Enable Onepage Checkout","Onepage Checkout සබල කරන්න"
"Allow Guest Checkout","අමුත්තන් පිටවීමට ඉඩ දෙන්න"
"Display Billing Address On","බිල්පත් ලිපිනය පෙන්වන්න"
"Maximum Number of Items to Display in Order Summary","අනුපිළිවෙලෙහි සාරාංශයේ ප්‍රදර්ශනය කළ යුතු උපරිම අයිතම සංඛ්‍යාව"
"Quote Lifetime (days)","ආයු කාලය (දින) උපුටා දක්වන්න"
"After Adding a Product Redirect to Shopping Cart","සාප්පු කරත්තයට නිෂ්පාදන යළි-යොමුකිරීමක් එක් කිරීමෙන් පසු"
"Number of Items to Display Pager","පේජරය පෙන්විය යුතු අයිතම ගණන"
"My Cart Link","මගේ කරත්ත සබැඳිය"
"Display Cart Summary","සංදර්ශක කරත්ත සාරාංශය"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","අනුචලන තීරුව පෙන්වීමට අයිතම ගණන"
