"Shopping Cart","Giỏ mua hàng"
"Invalid method: %1","Phương thức không hợp lệ: %1"
"City","Thành phố"
"Country","Quốc gia"
"State/Province","Bang/tỉnh"
"Zip/Postal Code","Mã bưu chính"
"My Cart (1 item)","Giỏ hàng của tôi (1 sản phẩm)"
"My Cart (%1 items)","Giỏ hàng của tôi (%1 sản phẩm)"
"My Cart","Giỏ hàng của tôi"
"For delivery questions.","Đối với câu hỏi cho vận chuyển."
"Customer is already registered","Khách hàng đã được đăng ký"
"Your session has expired","Phiên làm việc của bạn đã hết hạn"
"A letter with further instructions will be sent to your email.","Một bức thư với hướng dẫn thêm sẽ được gửi tới email của bạn."
"You added %1 to your shopping cart.","Bạn đã thêm %1 vào giỏ mua hàng của bạn."
"We can't add this item to your shopping cart right now.","Hiện tại không thể thêm sản phẩm này vào giỏ hàng của bạn."
"Out of stock","Tạm hết hàng"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Chúng tôi không thể cấu hình sản phẩm."
"You used coupon code ""%1"".","Bạn đã sử dụng mã giảm giá ""%1""."
"The coupon code ""%1"" is not valid.","Mã giảm giá ""%1"" không hợp lệ."
"You canceled the coupon code.","Bạn đã hủy mã giảm giá."
"We cannot apply the coupon code.","Chúng tôi không thể áp dụng mã giảm giá."
"We can't remove the item.","Bạn không thể xóa sản phẩm này."
"%1 was updated in your shopping cart.","%1 đã được cập nhật trong giỏ hàng của bạn."
"We can't update the item right now.","Bạn không thể cập nhập sản phẩm vào lúc này."
"We can't update the shopping cart.","Chúng tôi không thể cập nhật giỏ mua hàng."
"One-page checkout is turned off.","One-page checkout đã tắt."
"Guest checkout is disabled.","Thanh toán như khách đã bị tắt."
"Checkout","Thanh toán"
"Page not found.","Không tìm thấy trang."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Có lỗi xảy ra khi xử lý đơn hàng của bạn. Xin vui lòng thử lại sau."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 không được kế thừa từ \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Phương thức thanh toán"
"Payment Page","Kiểu thanh toán"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","Chúng tôi tìm thấy một yêu cầu không hợp lệ cho việc thêm sản phẩm để báo giá."
"The product does not exist.","Sản phẩm không tồn tại."
"We don't have some of the products you want.","Chúng tôi không có một số sản phẩm mà bạn muốn."
"We don't have as many of some products as you want.","Chúng tôi không có nhiều sản phẩm như bạn muốn."
"Quantity was recalculated from %1 to %2","Số lượng được tính toán lại từ %1 thành %2"
"We adjusted product quantities to fit the required increments.","Chúng tôi điều chỉnh số lượng sản phẩm để phù hợp với yêu cầu từng bước."
"This quote item does not exist.","Mục báo giá này không tồn tại."
"Display number of items in cart","Hiển thị số lượng sản phẩm trong giỏ hàng"
"Display item quantities","Hiển thị số lượng sản phẩm"
"An error occurred on the server. Please try to place the order again.","Lỗi xuất hiện trên máy chủ. Hãy thử đặt hàng lại một lần nữa."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Phương pháp vận chuyển: %1, %2 không tìm thấy"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," sản phẩm"
" items"," sản phẩm"
"Totals calculation is not applicable to empty cart","Tính toán tổng số không áp dụng với giỏ hàng rỗng"
"Invalid data","Dữ liệu không hợp lệ"
"The customer address is not valid.","Địa chỉ khách hàng không hợp lệ."
"Invalid shipping method","Phương thức vận chuyển không hợp lệ"
"There are more than one shipping addresses.","Có nhiều hơn một địa chỉ giao hàng."
"Sorry, guest checkout is not available.","Xin lỗi, thanh toán như khách không có sẵn."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Bạn phải xác nhận tài khoản của bạn. Vui lòng kiểm tra email của bạn để thấy liên kết xác nhận hoặc <a href=""%1""> bấm vào đây</a> để nhận một liên kết mới."
"Load customer quote error","Lỗi khi tải trích dẫn khách hàng"
"Error message!","Error message!"
"Error!","Lỗi!"
"DB exception","Ngoại lệ cơ sở dữ liệu"
"Message","Tin nhắn"
"Print receipt","In hoá đơn"
"Apply Discount Code","Áp dụng mã giảm giá"
"Enter discount code","Nhập mã giảm giá"
"Apply Discount","Áp dụng giảm giá"
"Cancel Coupon","Hủy bỏ phiếu giảm giá"
"Shopping Cart Items","Giỏ hàng sản phẩm"
"Item","Sản phẩm"
"Price","Giá"
"Qty","Số lượng"
"Subtotal","Tổng phụ"
"Continue Shopping","Tiếp tục mua sắm"
"Clear Shopping Cart","Xóa giỏ hàng"
"Update Shopping Cart","Cập nhật giỏ hàng"
"Update Cart","Cập nhật giỏ hàng"
"See price before order confirmation.","Xem giá trước khi xác nhận đơn hàng."
"What's this?","Đây là gì?"
"Edit item parameters","Sửa thông số sản phẩm"
"Edit","Chỉnh sửa"
"Remove item","Xóa sản phẩm"
"You have no items in your shopping cart.","Bạn có không có sản phẩm nào trong giỏ hàng của bạn."
"Click <a href=""%1"">here</a> to continue shopping.","Bấm vào <a href=""%1""> đây</a> để tiếp tục mua sắm."
"Estimate Tax","Ước tính thuế"
"Estimate Shipping and Tax","ước tính vận chuyển và thuế"
"Excl. Tax","Chưa bao gồm thuế"
"Loading...","Đang tải..."
"Order #","Đơn hàng #"
"Proceed to Checkout","Tiến hành thanh toán"
"Product Name","Tên sản phẩm"
"Incl. Tax","Đã bao gồm thuế"
"Your order number is: %1.","Mã số đơn hàng của bạn là: %1."
"Your order # is: <span>%1</span>.","Đơn hàng của bạn # là: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Chúng tôi sẽ gửi cho bạn một email xác nhận đơn hàng với thông tin chi tiết của đơn hàng."
"Payment Transaction Failed Reminder","Nhắc nhở thanh toán giao dịch thất bại"
"Payment Transaction Failed","Giao dịch thanh toán không thành công"
"Reason","Lý do"
"Checkout Type","Loại hình thanh toán"
"Customer:","Khách hàng:"
"Items","Sản phẩm"
"Total:","Tổng:"
"Billing Address:","Địa chỉ thanh toán:"
"Shipping Address:","Địa chỉ giao hàng:"
"Shipping Method:","Phương thức vận chuyển:"
"Payment Method:","Phương thức thanh toán:"
"Date & Time:","Ngày & Giờ:"
"Sign In","Đăng nhập"
