"Shopping Cart","Prekių krepšelis"
"Invalid method: %1","Invalid method: %1"
"City","Miestas"
"Country","Šalis"
"State/Province","Rajonas/apskritis"
"Zip/Postal Code","Pašto kodas"
"My Cart (1 item)","Mano krepšelis (1 prekė)"
"My Cart (%1 items)","Mano krepšelis (%1 prekės)"
"My Cart","Mano krepšelis"
"For delivery questions.","Pristatymo klausimais."
"Customer is already registered","Customer is already registered"
"Your session has expired","Jūsų sesijos laikas baigėsi"
"A letter with further instructions will be sent to your email.","Laiškas su tolesnėmis instrukcijomis bus išsiųstas į jūsų elektroninio pašto adresą."
"You added %1 to your shopping cart.","%1 įkelta į krepšelį."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"Out of stock","Nėra sandėlyje"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","We cannot configure the product."
"You used coupon code ""%1"".","Panaudotas kupono kodas ""%1""."
"The coupon code ""%1"" is not valid.","Kupono kodas ""%1"" negalioja."
"You canceled the coupon code.","Jūs atšaukėte kupono kodą."
"We cannot apply the coupon code.","Mes negalime pritaikyti kupono kodą."
"We can't remove the item.","We can't remove the item."
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
"We can't update the item right now.","We can't update the item right now."
"We can't update the shopping cart.","We can't update the shopping cart."
"One-page checkout is turned off.","One-page checkout is turned off."
"Guest checkout is disabled.","Guest checkout is disabled."
"Checkout","Pirkti"
"Page not found.","Puslapis nerastas."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Something went wrong while processing your order. Please try again later."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Mokėjimo būdas"
"Payment Page","Payment Page"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"The product does not exist.","The product does not exist."
"We don't have some of the products you want.","We don't have some of the products you want."
"We don't have as many of some products as you want.","We don't have as many of some products as you want."
"Quantity was recalculated from %1 to %2","Quantity was recalculated from %1 to %2"
"We adjusted product quantities to fit the required increments.","We adjusted product quantities to fit the required increments."
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart","Display number of items in cart"
"Display item quantities","Display item quantities"
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," prekė"
" items"," items"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
"Invalid data","Invalid data"
"The customer address is not valid.","The customer address is not valid."
"Invalid shipping method","Invalid shipping method"
"There are more than one shipping addresses.","There are more than one shipping addresses."
"Sorry, guest checkout is not available.","Sorry, guest checkout is not available."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Turėsite aktyvuoti savo paskyrą. Jūsų el. paštu išsiuntėme laišką su aktyvavimo nuoroda. Jeigu jūs negavote laiško <a href=""%1""> paspaudę čia</a> išsiūsime naują."
"Load customer quote error","Įkelto kliento klaida"
"Error message!","Error message!"
"Error!","Klaida!"
"DB exception","Duomenų bazės klaida"
"Message","Žinutė"
"Print receipt","Spausdinti kvitą"
"Apply Discount Code","Įvesk nuolaidos kodą"
"Enter discount code","Nuolaidos kodas"
"Apply Discount","Pritaikyti nuolaidą"
"Cancel Coupon","Atšaukti kuponą"
"Shopping Cart Items","Shopping Cart Items"
"Item","Prekė"
"Price","Kaina"
"Qty","Kiekis"
"Subtotal","Tarpinė suma"
"Continue Shopping","Tęsti apsipirkimą"
"Clear Shopping Cart","Išvalyti krepšelį"
"Update Shopping Cart","Atnaujinti krepšelį"
"Update Cart","Atnaujinti krepšelį"
"See price before order confirmation.","See price before order confirmation."
"What's this?","Kas tai?"
"Edit item parameters","Redaguoti prekės parametrus"
"Edit","Redaguoti"
"Remove item","Ištrinti"
"You have no items in your shopping cart.","Jūs neturite prekių savo krepšelyje."
"Click <a href=""%1"">here</a> to continue shopping.","Spauskite <a href=""%1"">čia</a> norėdami tęsti apsipirkimą."
"Estimate Tax","Estimate Tax"
"Estimate Shipping and Tax","Įvertinti siuntimo išlaidas ir mokesčius"
"Excl. Tax","Be PVM"
"Loading...","Loading..."
"Order #","Užsakymo nr."
"Proceed to Checkout","Pradėti pirkimą"
"Product Name","Prekės pavadinimas"
"Incl. Tax","Su PVM"
"Your order number is: %1.","Jūsų užsakymo nr.: %1."
"Your order # is: <span>%1</span>.","Jūsų užsakymo nr.: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","El. paštu gausite užsakymo patvirtinimą."
