"Shopping Cart","Kosár"
"Invalid method: %1","Érvénytelen metódus: %1"
"City","Város"
"Country","Ország"
"State/Province","Állam/megye"
"Zip/Postal Code","Irányítószám"
"My Cart (1 item)","Kosár (1 termék)"
"My Cart (%1 items)","Kosár (%1 termék)"
"My Cart","Kosaram"
"For delivery questions.","Szállítással kapcsolatos kérdések."
"Customer is already registered","A vásárló már regisztrált"
"Your session has expired","A munkamenet lejárt"
"A letter with further instructions will be sent to your email.","A további teendőket emailben küldjük el önnek."
"You added %1 to your shopping cart.","%1 a kosárba került."
"We can't add this item to your shopping cart right now.","Jelenleg ezt a terméket nem teheti a kosarába."
"Out of stock","Nincs raktáron"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Nem tudjuk konfigurálni a terméket."
"You used coupon code ""%1"".","A felhasznált kupon: ""%1""."
"The coupon code ""%1"" is not valid.","A ""%1"" kuponkód érvénytelen."
"You canceled the coupon code.","Ön nem használta fel a kupon kódot."
"We cannot apply the coupon code.","Kuponkód érvényesítése sikertelen."
"We can't remove the item.","A termék törlése sikertelen."
"%1 was updated in your shopping cart.","%1 frissítve a kosárban."
"We can't update the item right now.","A termék szerkesztése sikertelen."
"We can't update the shopping cart.","A kosár frissítése sikertelen."
"One-page checkout is turned off.","Egyoldalas fizetés kikapcsolva."
"Guest checkout is disabled.","Vendég vásárlás letiltva."
"Checkout","Fizetés"
"Page not found.","Az oldal nem található."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Valami elromlott a megrendelés feldolgozása közben. Kérjük, próbálkozz később."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Fizetési mód"
"Payment Page","Fizetési oldal"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","Érvénytelen kérés a termék kosárhoz adásakor."
"The product does not exist.","A termék nem létezik."
"We don't have some of the products you want.","Némelyik kívánt termék nem áll rendelkezésre."
"We don't have as many of some products as you want.","Némely termékből nem áll rendelkezésre elegendő mennyiség."
"Quantity was recalculated from %1 to %2","A mennyiség megváltoztatva: %1 - %2"
"We adjusted product quantities to fit the required increments.","Néhány termék mennyiségét megváltoztattuk hogy a kívánt darabszámnövekedést kiszolgálhassuk."
"This quote item does not exist.","A tétel nem létezik."
"Display number of items in cart","A termék-darabszám mutatása a kosárban"
"Display item quantities","Termékmennyiségek megjelenítése"
"An error occurred on the server. Please try to place the order again.","Hiba történt a kiszolgálón. Kérjük, próbálja meg újra leadni a megrendelését."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","A beállításoknak megfelelő szállító nem található: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," tétel"
" items"," tétel"
