"Shopping Cart","Koszyk"
"Invalid method: %1","Nieprawidłowa metoda: %1"
"City","Miasto"
"Country","Kraj"
"State/Province","Województwo"
"Zip/Postal Code","Kod pocztowy"
"My Cart (1 item)","Koszyk (1)"
"My Cart (%1 items)","Koszyk (%1)"
"My Cart","Mój koszyk"
"For delivery questions.","W przypadku pytań o dostawę."
"Customer is already registered","Klient został właśnie zarejestrowany"
"Your session has expired","Twoja sesja wygasła"
"A letter with further instructions will be sent to your email.","Mail z dalszymi instrukcjami zostanie wysłany na Twój adres e-mail."
"You added %1 to your shopping cart.","Dodałeś %1 do koszyka."
"We can't add this item to your shopping cart right now.","Teraz nie ma możliwości dodania tego produktu do Twojego koszyka."
"Out of stock","Brak w magazynie"
"We can't find the quote item.","Nie możemy znaleźć produktu."
"We cannot configure the product.","Nie możemy skonfigurować produktu."
"You used coupon code ""%1"".","Użyłeś kod kuponu ""%1""."
"The coupon code ""%1"" is not valid.","Kod kuponu ""%1"" nie jest prawidłowy."
"You canceled the coupon code.","Anulowałeś kod kuponu."
"We cannot apply the coupon code.","Nie jest możliwe zastosowanie tego kodu kuponu."
"We can't remove the item.","Nie można usunąć produktu."
"%1 was updated in your shopping cart.","%1 został zaktualizowany w Twoim koszyku."
"We can't update the item right now.","Nie można zaktualizować elementu już teraz."
"We can't update the shopping cart.","Nie jest możliwe zaktualizowanie zawartości koszyka."
"One-page checkout is turned off.","Jednostronny proces zakupowy jest wyłączony."
"Guest checkout is disabled.","Możliwość składania zamówień przez użytkowników niezalogowanych jest wyłączona."
"Checkout","Zamówienie"
"Page not found.","Nie znaleziono strony."
"Please agree to all the terms and conditions before placing the order.","Prosimy zatwierdzić warunki zamawiania przed jego złożeniem."
"Something went wrong while processing your order. Please try again later.","Coś się poszło nie tak jak powinno podczas przetwarzania Twojego zamówienia. Prosimy spróbować ponownie później."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 nie rozszerza \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Metoda płatności"
"Payment Page","Strona płatności"
"We can't find the product.","Produkt nie został odnaleziony."
"We found an invalid request for adding product to quote.","Znaleźliśmy błędne polecenia dodania produktu do zapytania."
"The product does not exist.","Produkt nie istnieje."
"We don't have some of the products you want.","Nie posiadamy kilku produktów, których potrzebujesz."
"We don't have as many of some products as you want.","Nie posiadamy tak dużej ilości produktów jakiej oczekujesz."
