"Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"Invalid method: %1","ಅಸಿಂಧುವಾದ ವಿಧಾನ: %1"
"City","ನಗರ"
"Country","ದೇಶ"
"State/Province","ರಾಜ್ಯ"
"Zip/Postal Code","ಪಿನ್ ಕೋಡ್"
"My Cart (1 item)","ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ(1 item)"
"My Cart (%1 items)","ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ (%1 items)"
"My Cart","ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"For delivery questions.","ಸಾಗಾಣಿಕೆ ಪ್ರಶ್ನೆಗಳಿಗಾಗಿ."
"Customer is already registered","ಗ್ರಾಹಕರು ಈಗಾಗಲೇ ನೋಂದಣಿಯಾಗಿದ್ದಾರೆ"
"Your session has expired","ನಿಮ್ಮ ಸೆಶನ್ನಿನ ಅವಧಿ ಅಂತ್ಯವಾಗಿದೆ"
"A letter with further instructions will be sent to your email.","ಹೆಚ್ಚಿನ ಮಾಹಿತಿಯನ್ನೊಳಗೊಂಡ ಪತ್ರವನ್ನು ನಿಮ್ಮ ಮಿಂಚೆಗೆ ಕಳುಹಿಸಲಾಗುವುದು."
"You added %1 to your shopping cart.","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ %1 ಅನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"We can't add this item to your shopping cart right now.","ಈ ವಸ್ತುವನ್ನು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಲು ಸಧ್ಯಕ್ಕೆ ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ."
"Out of stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","ನಾವು ಉತ್ಪನ್ನವನ್ನು ಸಂರಚಿಸಲಾಗುವುದಿಲ್ಲ."
"You used coupon code ""%1"".","ಕೂಪನ್ ಕೋಡ್ ""%1"" ನ್ನು ನೀವು ಬಳಸಿದ್ದೀರಿ."
"The coupon code ""%1"" is not valid.","ಕೂಪನ್ ಕೋಡ್ ""%1"" ಅಸಿಂಧುವಾಗಿದೆ."
"You canceled the coupon code.","ನೀವು ಕೂಪನ್ ಕೋಡ್ ಅನ್ನು ರದ್ದುಗೊಳಿಸಿದ್ದೀರಿ."
"We cannot apply the coupon code.","ನಮಗೆ ಕೂಪನ್ ಕೋಡ್ ಅನ್ನು ಅನ್ವಯಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"We can't remove the item.","ನಾವು ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಲು ಸಾಧ್ಯವಿಲ್ಲ."
"%1 was updated in your shopping cart.","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ %1 ಅನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಿದೆ."
"We can't update the item right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ವಸ್ತುವನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ."
"We can't update the shopping cart.","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ನಾವು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ."
"One-page checkout is turned off.","ಏಕ-ಪುಟ ಚೆಕೌಟ್ ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ."
"Guest checkout is disabled.","ಅತಿಥಿ ಚೆಕೌಟ್ ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ."
"Checkout","ಚೆಕೌಟ್"
"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","ನಿಮ್ಮ ಖರೀದಿಯನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸುವಲ್ಲಿ ಯಾವುದೋ ತೊಂದರೆ ಸಂಭವಿಸಿಸಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","ಪಾವತಿ ವಿಧಾನ"
"Payment Page","ಪಾವತಿ ಪುಟ"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"The product does not exist.","ಉತ್ಪನ್ನ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"We don't have some of the products you want.","ನೀವು ಬಯಸಿರುವ ಕೆಲವು ಉತ್ಪನ್ನಗಳು ನಮ್ಮ ಬಳಿ ಲಭ್ಯವಿಲ್ಲ."
"We don't have as many of some products as you want.","ನೀವು ಬಯಸಿರುವ ಸಂಖ್ಯೆಯಲ್ಲಿ ಕೆಲವು ಉತ್ಪನ್ನ(ಗಳು) ನಮ್ಮ ಬಳಿ ಲಭ್ಯವಿಲ್ಲ."
"Quantity was recalculated from %1 to %2","ಪರಿಮಾಣವನ್ನು %1 ರಿಂದ %2 ಗೆ ಮರುಲೆಕ್ಕಹಾಕಲಾಗಿದೆ"
"We adjusted product quantities to fit the required increments.","We adjusted product quantities to fit the required increments."
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತುಗಳ ಸಂಖ್ಯೆಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display item quantities","ವಸ್ತುವಿನ ಪರಿಮಾಣವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"An error occurred on the server. Please try to place the order again.","ಸರ್ವರ್ ನಲ್ಲಿ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಮತ್ತೊಮ್ಮೆ ಸಲ್ಲಿಸಿ."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," ವಸ್ತು"
" items"," ವಸ್ತುಗಳು"
"Totals calculation is not applicable to empty cart","ಖಾಲಿ ಶಾಪಿಂಗೆ ಬುಟ್ಟಿಗೆ ಒಟ್ಟು ಮೊತ್ತದ ಲೆಕ್ಕ ಅನ್ವಯವಾಗುವುದಿಲ್ಲ"
"Invalid data","ಅಸಿಂಧುವಾದ ದತ್ತಾಂಶ"
"The customer address is not valid.","ಗ್ರಾಹಕರ ವಿಳಾಸ ಅಸಿಂಧುವಾಗಿದೆ."
"Invalid shipping method","ಅಸಿಂಧುವಾದ ರವಾನೆ ವಿಧಾನ"
"There are more than one shipping addresses.","ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ರವಾನೆ ವಿಳಾಸಗಳಿವೆ."
