"Shopping Cart","Carrinho de compras"
"Invalid method: %1","Método inválido: %1"
"City","Cidade"
"Country","País"
"State/Province","Concelho/Distrito"
"Zip/Postal Code","Código Postal"
"My Cart (1 item)","O Meu Carrinho (1 artigo)"
"My Cart (%1 items)","O Meu Carrinho (%1 artigos)"
"My Cart","O Meu Carrinho"
"For delivery questions.","Para questões de entrega."
"Customer is already registered","O cliente já se encontra registado"
"Your session has expired","A sua sessão expirou"
"A letter with further instructions will be sent to your email.","Irá receber um email com mais instruções."
"You added %1 to your shopping cart.","%1 foi adicionado ao carrinho de compras."
"We can't add this item to your shopping cart right now.","De momento não é possível adicionar este item ao seu carrinho de compras."
"Out of stock","Esgotado"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Não é possível configurar o produto."
"You used coupon code ""%1"".","Usou o cupão com o código ""%1""."
"The coupon code ""%1"" is not valid.","O código de desconto ""%1"" não é válido."
"You canceled the coupon code.","Cancelou o código de cupão."
"We cannot apply the coupon code.","Não foi possível aplicar o código de cupão."
"We can't remove the item.","Não é possível remover o artigo."
"%1 was updated in your shopping cart.","%1 foi atualizado no seu carrinho de compras."
"We can't update the item right now.","De momento não é possível atualizar o artigo."
"We can't update the shopping cart.","Não foi possível atualizar o carrinho de compras."
"One-page checkout is turned off.","O checkout de uma página está desligado."
"Guest checkout is disabled.","O checkout para utilizadores não registados está desativado."
"Checkout","Finalizar Compra"
"Page not found.","Página não encontrada."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Algo correu mal durante o processamento da sua encomenda. Por favor, tente novamente mais tarde."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 não estende \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Método de Pagamento"
"Payment Page","Página de pagamento"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","Encontrámos um pedido inválido para adicionar um produto ao orçamento."
"The product does not exist.","O produto não existe."
"We don't have some of the products you want.","Não temos alguns dos produtos que deseja."
"We don't have as many of some products as you want.","Não temos tantas unidades de alguns produtos quantas pretende."
"Quantity was recalculated from %1 to %2","A quantidade foi recalculada de %1 para %2"
"We adjusted product quantities to fit the required increments.","Ajustámos as quantidades dos produtos para satisfazer os incrementos necessários."
"This quote item does not exist.","Este artigo de orçamento não existe."
"Display number of items in cart","Mostrar o número de itens no carrinho"
"Display item quantities","Mostrar as quantidades dos artigos"
"An error occurred on the server. Please try to place the order again.","Ocorreu um erro no servidor. Por favor, tente fazer o pedido novamente."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Não foi encontrada a transportadora com esse método: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," artigo"
" items"," artigos"
"Totals calculation is not applicable to empty cart","O cálculo de totais não é aplicável a um carrinho de compras vazio"
"Invalid data","Dados inválidos"
"The customer address is not valid.","A morada do cliente não é válida."
"Invalid shipping method","Modo de envio inválido"
"There are more than one shipping addresses.","Existe mais do que uma morada de envio."
"Sorry, guest checkout is not available.","Desculpe, a opção de finalizar compra não está disponível para os utilizadores não registados."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Tem de confirmar o seu registo. Por favor procure no seu e-mail o link de confirmação ou <a href=""%1"">clique aqui</a> para pedir um novo link."
"Load customer quote error","Erro ao carregar o orçamento do cliente"
"Error message!","Error message!"
"Error!","Erro!"
"DB exception","Excecção de BD"
"Message","Mensagem"
"Print receipt","Imprimir recibo"
"Apply Discount Code","Aplicar Código de Desconto"
"Enter discount code","Inserir código de desconto"
"Apply Discount","Aplicar Desconto"
"Cancel Coupon","Cancelar Cupão"
"Shopping Cart Items","Itens do carrinho de compras"
"Item","Artigo"
"Price","Preço"
"Qty","Qtd"
"Subtotal","Sub-total"
"Continue Shopping","Continuar a Comprar"
"Clear Shopping Cart","Esvaziar Carrinho de Compras"
"Update Shopping Cart","Atualizar Carrinho de Compras"
"Update Cart","Atualizar Carrinho"
"See price before order confirmation.","Consulte o preço antes da confirmar a encomenda."
"What's this?","O que é isto?"
"Edit item parameters","Editar os parâmetros do item"
"Edit","Editar"
"Remove item","Remover item"
"You have no items in your shopping cart.","Não tem nenhum item no seu carrinho de compras."
"Click <a href=""%1"">here</a> to continue shopping.","Clique <a href=""%1"">aqui</a> para continuar a comprar."
"Estimate Tax","Calcular Impostos"
"Estimate Shipping and Tax","Calcular Portes e Impostos"
"Excl. Tax","Excluindo impostos"
"Loading...","Carregando..."
"Order #","Encomenda #"
"Proceed to Checkout","Avançar para Finalizar Compra"
"Product Name","Nome do Produto"
"Incl. Tax","Imposto incl."
"Your order number is: %1.","O seu número de encomenda é: %1."
"Your order # is: <span>%1</span>.","O seu número de encomenda é: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Vamos enviar-lhe a confirmação do seu pedido por email com detalhes e informações para seguir a sua encomenda."
"Payment Transaction Failed Reminder","Lembrete para Falha na Transação de Pagamento"
"Payment Transaction Failed","Transação de Pagamento Falhada"
"Reason","Motivo"
"Checkout Type","Tipo de Finalizar Compra"
"Customer:","Cliente:"
"Items","Itens"
"Total:","Total:"
"Billing Address:","Morada de Faturação:"
"Shipping Address:","Morada de Envio:"
"Shipping Method:","Modo de Envio:"
"Payment Method:","Método de Pagamento:"
"Date & Time:","Data & Hora:"
"Sign In","Iniciar Sessão"
"Email Address","Endereço de Email"
"Password","Palavra-passe"
"Forgot Your Password?","Esqueceu-se da Palavra-passe?"
"My billing and shipping address are the same","A minha morada de faturação e envio é a mesma"
"Update","Actualizar"
"Cancel","Cancelar"
"Save in address book","Gravar no livro de endereços"
"Estimated Total","Total Estimado"
"You can create an account after checkout.","Pode criar uma conta depois do checkout."
"You already have an account with us. Sign in or continue as guest.","Já tem uma conta no nosso site. Inicie sessão ou continue como convidado."
"Login","Iniciar Sessão"
"See Details","Ver Detalhes"
"Options Details","Detalhes das Opções"
"Remove","Eliminar"
"Cart Subtotal","Subtotal do Carrinho"
"Payment Information","Informação do Pagamento"
"No Payment method available.","Não está disponível nenhum Modo de Pagamento."
"You can track your order status by creating an account.","Pode acompanhar o estado da sua encomenda ao criar uma conta."
"Place Order","Encomendar"
"Forgot an Item?","Esqueceu-se de um Item?"
"Edit Your Cart","Editar O Seu Carrinho"
"Ship Here","Entregar Aqui"
"Ship To:","Enviar Para:"
"edit","editar"
"Order Summary","Resumo da Encomenda"
"View and Edit Cart","Ver e editar carrinho"
"View Details","Ver Detalhes"
"Field ","Campo "
" is required."," é obrigatório."
"Provided Zip/Postal Code seems to be invalid.","O código postal fornecido parece ser inválido."
" Example: "," Exemplo: "
"If you believe it is the right one you can ignore this notice.","Se acredita que está correto então pode ignorar este aviso."
"New Address","Nova Morada"
"Are you sure you would like to remove this item from the shopping cart?","Tem certeza que deseja remover este item do carrinho de compras?"
"Review & Payments","Revisão & Pagamentos"
"Select a new payment method","Selecione um novo método de pagamento"
"Shipping","Envio"
"Save Address","Gravar Morada"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Opções de Finalizar Compra"
"Enable Onepage Checkout","Ativar Pagamento numa única Página"
"Allow Guest Checkout","Permitir Compras por Visitantes"
"Display Billing Address On","Exibir o endereço de facturação em"
"Maximum Number of Items to Display in Order Summary","Número máximo de itens a serem exibidos no Resumo de Encomenda"
"Quote Lifetime (days)","Tempo de Vida de Orçamento (dias)"
"After Adding a Product Redirect to Shopping Cart","Depois de Adicionar um Produto, Redirecionar para o Carrinho de Compras"
"Number of Items to Display Pager","Número de itens para visualizar o Pager"
"My Cart Link","Link para O Meu Carrinho"
"Display Cart Summary","Mostrar Resumo do Carrinho"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Número de itens para visualizar o Scrollbar"
"Maximum Number of Items to Display","Número máximo de items a mostrar"
"Payment Failed Emails","Emails de Falha de Pagamento"
"Payment Failed Email Sender","Remetente de Emails de Falha de Pagamento"
"Payment Failed Email Receiver","Destinatário de Email de Falha de Pagamento"
"Payment Failed Template","Template de Falha de Pagamento"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O template de email é escolhido com base no tema de recurso quando a opção ""Default"" está selecionada."
"Send Payment Failed Email Copy To","Enviar Cópia do Email de Falha de Pagamento Para"
"Separate by "","".","Separados por "",""."
