"Shopping Cart","Nákupní košík"
"Invalid method: %1","Chybný způsob: %1"
"City","Město"
"Country","Země"
"State/Province","Kraj / region"
"Zip/Postal Code","PSČ"
"My Cart (1 item)","Můj košík (1)"
"My Cart (%1 items)","Můj košík (%1)"
"My Cart","Můj košík"
"For delivery questions.","Pro dotazy týkající se doručení."
"Customer is already registered","Zákazník je již registrován"
"Your session has expired","Platnost relace vypršela"
"A letter with further instructions will be sent to your email.","Na váš e-mail bude zaslána zpráva s dalšími instrukcemi."
"You added %1 to your shopping cart.","%1 byl vložen do košíku."
"We can't add this item to your shopping cart right now.","Tuto položku momentálně nelze do košíku přidat."
"Out of stock","Není skladem"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Produkt nelze konfigurovat."
"You used coupon code ""%1"".","Kupón s kódem ""%1"" byl použit."
"The coupon code ""%1"" is not valid.","Kód kupónu ""%1"" není platný."
"You canceled the coupon code.","Kód kupónu byl zrušen."
"We cannot apply the coupon code.","Kód kupónu nelze použít."
"We can't remove the item.","Položku nelze odebrat."
"%1 was updated in your shopping cart.","%1 v nákupním košíku byl upraven."
"We can't update the item right now.","Tuto položku momentálně nelze upravit."
"We can't update the shopping cart.","Nákupní košík nelze aktualizovat."
"One-page checkout is turned off.","Jednostránková pokladna je vypnuta."
"Guest checkout is disabled.","Pokladna je pro hosty vypnuta."
"Checkout","Pokladna"
"Page not found.","Stránka nebyla nalezena."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Při zpracování objednávky došlo k chybě. Opakujte akci později prosím."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 nerozšiřuje \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Způsob platby"
"Payment Page","Stránka platby"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","Byl nalezen neplatný požadavek na přidání produktu k nabídce."
"The product does not exist.","Tento produkt neexistuje."
"We don't have some of the products you want.","Některé z požadovaných produktů nejsou dostupné."
"We don't have as many of some products as you want.","Některé z požadovaných produktů nejsou dostupné."
"Quantity was recalculated from %1 to %2","Množství bylo přepočítáno z %1 na %2"
"We adjusted product quantities to fit the required increments.","Počet produktů byl upraven tak, aby odpovídal požadovaným násobkům."
"This quote item does not exist.","Tato požadovaná položka neexistuje."
"Display number of items in cart","Zobrazený počet produktů v košíku"
"Display item quantities","Zobrazit množství položky"
"An error occurred on the server. Please try to place the order again.","Na serveru došlo k chybě. Zkuste provést objednávku znovu."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Přepravce s tímto způsobem nebyl nalezen: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," položka"
" items"," položky"
"Totals calculation is not applicable to empty cart","Pro prázdný košík není výpočtu součtů třeba"
"Invalid data","Chybné údaje"
"The customer address is not valid.","Adresa zákazníka je neplatná."
"Invalid shipping method","Způsob přepravy je neplatný"
"There are more than one shipping addresses.","Existuje více než jedna doručovací adresa."
"Sorry, guest checkout is not available.","Je nám líto, pokladna je pro hosty vypnuta."
