"Shopping Cart","Warenkorb"
"City","Stadt"
"Country","Land"
"State/Province","Bundesland"
"Zip/Postal Code","PLZ"
"My Cart (1 item)","Mein Warenkorb (1 Artikel)"
"My Cart (%1 items)","Mein Warenkorb (%1 Artikel)"
"My Cart","Mein Warenkorb"
"%1: Line %2","%1: Line %2"
"For delivery questions.","Für Fragen zur Lieferung."
"Customer is already registered","Kunde ist bereits registriert"
"Your session has expired","Ihre Sitzung ist abgelaufen"
"A letter with further instructions will be sent to your email.","Ein Brief mit weiteren Anweisungen wird an Ihre E-Mail gesendet."
"You added %1 to your shopping cart.","Sie haben %1 in Ihren Warenkorb gelegt."
"We can't add this item to your shopping cart right now.","Der Artikel konnte nicht in Ihren Warenkorb gelegt werden."
"Out of stock","Nicht lieferbar"
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"We cannot configure the product.","Wir können das Produkt nicht konfigurieren."
"You used coupon code ""%1"".","Sie haben den Gutschein-Code ""%1"" verwendet."
"The coupon code ""%1"" is not valid.","Der Gutschein-Code ""%1"" ist ungültig."
"You canceled the coupon code.","Sie haben den Gutschein-Code abgebrochen."
"We cannot apply the coupon code.","Wir konnten den Gutschein-Code nicht anwenden."
"We can't remove the item.","Der Artikel kann nicht entfernt werden."
"%1 was updated in your shopping cart.","%1 wurde in Ihrem Warenkorb aktualisiert."
"We can't update the item right now.","Wir können das Element jetzt nicht aktualisieren."
"Page Not Found","Page Not Found"
"Something went wrong while saving the page. Please refresh the page and try again.","Beim Speichern der Seite ist etwas schief gelaufen. Bitte aktualisieren Sie die Seite und versuchen Sie es erneut."
"We can't update the shopping cart.","Warenkorb konnte nicht aktualisiert werden."
"One-page checkout is turned off.","One-Page Checkout ist deaktiviert."
"Guest checkout is disabled.","Gastbestellungen sind nicht erlaubt."
"Checkout","Kasse"
"Page not found.","Seite nicht gefunden."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Something went wrong while processing your order. Please try again later.","Etwas ist bei der Abwicklung Ihrer Bestellung schief gegangen. Bitte versuchen Sie es später erneut."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 erweitert nicht \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Zahlungsart"
"Payment Page","Zahlungsseite"
"Could not store billing/shipping information at the moment but you can proceed with the checkout","Could not store billing/shipping information at the moment but you can proceed with the checkout"
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Please provide CAPTCHA code and try again","Please provide CAPTCHA code and try again"
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"We found an invalid request for adding product to quote.","Es wurde eine ungültige Anforderung zum Hinzufügen eines Produkts zum Angebot gefunden."
"The product does not exist.","Der Artikel existiert nicht."
"We don't have some of the products you want.","Wir haben einige der Produkte, die Sie wollen nicht."
"We don't have as many of some products as you want.","Wir haben nicht so viele Produkte, wie Sie wollen."
"Quantity was recalculated from %1 to %2","Menge wurde von %1 zu %2 geändert"
"We adjusted product quantities to fit the required increments.","Die Produktmengen wurden angepasst, um den erforderlichen Schritten zu entsprechen."
