"Shopping Cart","Indkøbskurv"
"Invalid method: %1","Ugyldig metode: %1"
"City","By"
"Country","Land"
"State/Province","Stat eller Region"
"Zip/Postal Code","Postnummer"
"My Cart (1 item)","Min Indkøbskurv (1 vare)"
"My Cart (%1 items)","Min Indkøbskurv (%1 varer)"
"My Cart","Min indkøbskurv"
"For delivery questions.","For levering spørgsmål."
"Customer is already registered","Kunden er allerede registreret"
"Your session has expired","Din session er udløbet"
"A letter with further instructions will be sent to your email.","Et brev med yderligere instruktioner vil blive sendt til din e-mail."
"You added %1 to your shopping cart.","Du har tilføjet %1 til din indkøbskurv."
"We can't add this item to your shopping cart right now.","Vi kan ikke føje dette produkt til din indkøbskurv lige nu."
"Out of stock","Udsolgt"
"We can't find the quote item.","Vi kan ikke finde tilbuddet."
"We cannot configure the product.","Vi kan ikke konfigurere produktet."
"You used coupon code ""%1"".","Du brugte kuponkode ""%1""."
"The coupon code ""%1"" is not valid.","Rabatkoden ""%1"" er ikke gyldig."
"You canceled the coupon code.","Du annullerede kuponkoden."
"We cannot apply the coupon code.","Vi kan ikke tilføje kuponkoden."
"We can't remove the item.","Vi kan ikke fjerne varen."
"%1 was updated in your shopping cart.","%1 blev opdateret i din indkøbskurv."
"We can't update the item right now.","Vi kan ikke opdatere varen lige nu."
"We can't update the shopping cart.","Vi kan ikke opdatere indkøbskurven."
"One-page checkout is turned off.","One-page checkout er slået fra."
"Guest checkout is disabled.","Gæste checkout er deaktiveret."
"Checkout","Til kassen"
"Page not found.","Siden blev ikke fundet."
"Please agree to all the terms and conditions before placing the order.","Accepter venligst alle vilkår og betingelser, før du afgiver ordren."
"Something went wrong while processing your order. Please try again later.","Noget gik galt under behandling af din ordre. Prøv igen senere."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 forlænger ikke \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Betalingsmetode"
"Payment Page","Betalingsside"
"We can't find the product.","Vi kan ikke finde produktet."
"We found an invalid request for adding product to quote.","Vi fandt en ugyldig anmodning om at tilføje produkt til ordren."
"The product does not exist.","Produktet findes ikke."
"We don't have some of the products you want.","Vi har ikke det ønskede antal af alle produkterne."
"We don't have as many of some products as you want.","Vi har ikke så mange af nogle af produkterne, som du ønsker."
"Quantity was recalculated from %1 to %2","Antal ændret fra %1 til %2"
"We adjusted product quantities to fit the required increments.","Vi har justeret produktantallet for at overholde bestillingsintervallerne."
"This quote item does not exist.","Det ønskede produkt findes ikke."
"Display number of items in cart","Vis antallet af varer i indkøbskurven"
"Display item quantities","Få vist vare antal"
"An error occurred on the server. Please try to place the order again.","Der opstod en fejl på serveren. Prøv at lægge ordren igen."
"Shipping address is not set","Forsendelsesadresse er ikke angivet"
"Unable to save shipping information. Please check input data.","Kan ikke gemme forsendelsesoplysninger. Kontroller venligst inputdata."
"Carrier with such method not found: %1, %2","Kurér ikke fundet: %1, %2"
"Shipping method is not applicable for empty cart","Forsendelsesmetode gælder ikke for tom varekurv"
" item"," vare"
" items"," varer"
"Totals calculation is not applicable to empty cart","Ordrebeløb kan ikke beregnes indkøbskurven er tom"
"Invalid data","Ugyldige data"
"The customer address is not valid.","Kundeadressen er ikke gyldig."
"Invalid shipping method","Ugyldig leveringsmetode"
