"Shopping Cart","Kereta Belanja"
"Invalid method: %1","Metode tidak valid: %1"
"City","Kota"
"Country","Negara"
"State/Province","Negara Bagian/Provinsi"
"Zip/Postal Code","Kode pos"
"My Cart (1 item)","Keranjang belanja (1 item)"
"My Cart (%1 items)","Keranjang belanja (%1 item)"
"My Cart","Keranjang belanja"
"For delivery questions.","Untuk pertanyaan pengiriman."
"Customer is already registered","Pelanggan sudah terdaftar"
"Your session has expired","Sesi Anda telah kedaluwarsa"
"A letter with further instructions will be sent to your email.","Surat dengan petunjuk lebih lanjut akan dikirim ke email Anda."
"You added %1 to your shopping cart.","%1 ke keranjang belanja Anda."
"We can't add this item to your shopping cart right now.","Kami tidak dapat menambahkan pilihan ini ke keranjang belanja Anda sekarang juga."
"Out of stock","Habis terjual"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Kami tidak dapat mengkonfigurasi produk."
"You used coupon code ""%1"".","Anda menggunakan kode kupon ""%1""."
"The coupon code ""%1"" is not valid.","Kode kupon ""%1"" tidak valid."
"You canceled the coupon code.","Anda membatalkan kode kupon."
"We cannot apply the coupon code.","Kami tidak dapat menerapkan kode kupon."
"We can't remove the item.","Kami tidak dapat menghapus item tersebut."
"%1 was updated in your shopping cart.","%1 diperbarui dalam keranjang belanja Anda."
"We can't update the item right now.","Kami tidak dapat memperbarui item sekarang."
"We can't update the shopping cart.","Kami tidak dapat memperbarui keranjang belanja."
"One-page checkout is turned off.","Satu halaman checkout dimatikan."
"Guest checkout is disabled.","Tamu checkout dinonaktifkan."
"Checkout","Checkout"
"Page not found.","Halaman tidak ditemukan."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Sesuatu yang tidak beres saat memproses pesanan Anda. Silakan coba lagi nanti."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 tidak memperpanjang \ Magento \ Checkout \ CustomerData \ ItemInterface"
"Payment Method","Metode pembayaran"
"Payment Page","Halaman pembayaran"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","Kami menemukan permintaan yang tidak valid untuk menambahkan produk untuk mengutip."
"The product does not exist.","Produknya tidak ada."
"We don't have some of the products you want.","Kami tidak memiliki beberapa produk yang Anda inginkan."
"We don't have as many of some products as you want.","Kami tidak memiliki beberapa produk yang Anda inginkan sebanyak itu."
"Quantity was recalculated from %1 to %2","Kuantitas itu dihitung ulang dari %1 untuk %2"
"We adjusted product quantities to fit the required increments.","Kami menyesuaikan jumlah produk untuk menyesuaikan bertahap diperlukan."
"This quote item does not exist.","Item kutipan ini tidak ada."
"Display number of items in cart","Menampilkan jumlah item dalam keranjang"
"Display item quantities","Menampilkan jumlah item"
"An error occurred on the server. Please try to place the order again.","Kesalahan terjadi pada server. Silakan coba untuk memesan lagi."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Kurir dengan metode tersebut tidak ditemukan: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," item"
" items"," item"
"Totals calculation is not applicable to empty cart","Perhitungan total ini tidak berlaku ke keranjang belanja kosong"
"Invalid data","Data tidak valid"
"The customer address is not valid.","Alamat pelanggan ini tidak berlaku."
"Invalid shipping method","Metode pengiriman yang tidak valid"
"There are more than one shipping addresses.","Ada alamat pengiriman lebih dari satu."
"Sorry, guest checkout is not available.","Maaf, checkout tamu ini tidak tersedia."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Anda harus mengkonfirmasi akun Anda. Silakan periksa email Anda untuk tautan konfirmasi atau <a href=""%1"">klik di sini</a> untuk tautan baru."
"Load customer quote error","Kesalahan saat memuat kuotasi pelanggan"
"Error message!","Error message!"
"Error!","Kesalahan!"
"DB exception","Kesalahan DB"
"Message","Pesan"
"Print receipt","Cetak tanda terima"
"Apply Discount Code","Terapkan Kode Diskon"
"Enter discount code","Masukkan kode diskon"
"Apply Discount","Terapkan Diskon"
"Cancel Coupon","Membatalkan kupon"
"Shopping Cart Items","Item di Keranjang belanja"
"Item","Barang"
"Price","Harga"
"Qty","Jml"
"Subtotal","Subtotal"
"Continue Shopping","Lanjutkan Belanja"
"Clear Shopping Cart","Hapus keranjang belanja"
"Update Shopping Cart","Memperbarui keranjang belanja"
"Update Cart","Perbarui Keranjang"
