"Shopping Cart","Keranjang Belanja"
"Invalid method: %1","Metode Salah: %1"
"City","Kota"
"Country","Negara"
"State/Province","Negara/Provinsi"
"Zip/Postal Code","Zip/Kode Pos"
"My Cart (1 item)","Keranjang saya (1item)"
"My Cart (%1 items)","Keranjang saya (%1 items)"
"My Cart","Keranjang saya"
"For delivery questions.","Untuk pertanyaan pengiriman."
"Customer is already registered","Pelanggan sudah terdaftar"
"Your session has expired","Sesi Anda telah berakhir"
"A letter with further instructions will be sent to your email.","Surat dengan instruksi lebih lanjut akan dikirim ke email Anda."
"You added %1 to your shopping cart.","Anda menambahkan %1 ke keranjang belanja anda."
"We can't add this item to your shopping cart right now.","Kami tidak dapat menambahkan item ini ke keranjang belanja anda sekarang."
"Out of stock","Persediaan Habis"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Kami tidak dapat mengkonfigurasi produk."
"You used coupon code ""%1"".","Anda menggunakan kode kupon ""%1""."
"The coupon code ""%1"" is not valid.","Kode Kupon ""% 1"" tidak valid."
"You canceled the coupon code.","Anda membatalkan kode kupon."
"We cannot apply the coupon code.","Kami tidak dapat menerapkan kode kupon."
"We can't remove the item.","Barang tidak dapat kami hapus."
"%1 was updated in your shopping cart.","%1 telah diupdate di keranjang belanja Anda."
"We can't update the item right now.","Item tidak dapat kami perbarui sekarang."
"We can't update the shopping cart.","Troli tidak dapat kami perbarui."
"One-page checkout is turned off.","Satu halaman checkout dimatikan."
"Guest checkout is disabled.","Tamu checkout dinonaktifkan."
"Checkout","Checkout"
"Page not found.","Halaman tidak ditemukan."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Ada yang tidak beres saat memproses pesanan Anda. Silakan coba lagi nanti."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Metode pembayaran"
"Payment Page","Halaman Pembayaran"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","Kami menemukan permintaan yang tidak valid untuk menambahkan produk ke penawaran."
"The product does not exist.","Produk tidak tersedia."
"We don't have some of the products you want.","Kami tidak memiliki beberapa produk yang anda inginkan."
"We don't have as many of some products as you want.","Kami tidak memiliki produk sebanyak yang anda inginkan."
"Quantity was recalculated from %1 to %2","Kuantitas dihitung ulang dari %1 sampai %2"
"We adjusted product quantities to fit the required increments.","Kami menyesuaikan jumlah produk agar sesuai dengan penambahan yang dibutuhkan."
"This quote item does not exist.","Item kutipan ini tidak ada."
"Display number of items in cart","Tampilan jumlah item dalam keranjang"
"Display item quantities","Tampilkan banyaknya barang"
"An error occurred on the server. Please try to place the order again.","Terjadi kesalahan pada server. Silakan mencoba untuk memesan kembali."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Carrier dengan metode seperti itu tidak ditemukan: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," item"
" items"," items"
"Totals calculation is not applicable to empty cart","Perhitungan total tidak berlaku untuk keranjang kosong"
"Invalid data","Data tidak valid"
"The customer address is not valid.","Alamat pelanggan tidak valid."
"Invalid shipping method","Metode Pengiriman Tidak valid"
"There are more than one shipping addresses.","Ada lebih dari satu alamat pengiriman."
"Sorry, guest checkout is not available.","Maaf, checkout tamu tidak tersedia."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Anda harus mengkonfirmasi akun anda. Silakan cek email anda untuk tautan konfirmasi atau <a href=""%1"">klik disini</a>uuntuk tautan baru."
"Load customer quote error","Muat kesalahan penawaran pelanggan"
"Error message!","Error message!"
"Error!","Kesalahan!"
"DB exception","Pengecualian DB"
"Message","Pesan"
"Print receipt","Cetak tanda terima"
"Apply Discount Code","Terapkan Kode Diskon"
"Enter discount code","Masukkan Kode Diskon"
"Apply Discount","Terapkan Dsikon"
"Cancel Coupon","Batalkan Kupon"
"Shopping Cart Items","Produk Daftar Belanja"
"Item","Barang"
"Price","Harga"
"Qty","Jumlah"
"Subtotal","Total bagian"
"Continue Shopping","Lanjutkan Belanja"
"Clear Shopping Cart","Hapus Daftar Belanja"
